review,rating,date
Selalu puas belanja di sini. Produknya bagus buat kulit pengiriman dan packaging juga aman. Akan beli lagi,bintang 5,6 bulan lalu
"menurutku ukurannya pas banget buat highlighter, bulunya sangat lembut, sepertinya terlalu lembut untuk highlighter. tapered blending juga ukurannya pas, sangat lembut ju...",bintang 4,
"brushnya lembut banget, pengiriman juga aman, seneng banget deh, terima kasih somethinc!",bintang 5,
"Pengiriman cepat & barang sampai dengan selamat. Dah ga aneh sih. Udah langganan supple power emang selalu apik ngirimnya hihihi. Btw, dapet bonus bando & brow pr...",bintang 5,
Bahannya bagus dan sepertinya tahan lama. Kualitas bagus.,bintang 5,4 bulan lalu
"Bagus. dapat bonus lg  bulunya lembut dan sesuai ekspektasi dech
thanks",bintang 5,4 bulan lalu
bahan kuasnya bagus. dipakai enak banget. pegangannya mantap,bintang 5,7 bulan lalu
"bulunya halus, tidak gatal, pengiriman cepat, packing rapi",bintang 5,
"baru coba, packaging oke, pengiriman cepat. semoga cocok",bintang 5,
Awalnya cuman beli satu brush. Dan abis itu beli 5 brush jenis yg lain gara2 seenak itu brush nya💜 ga kecewa sama sekali beli ini,bintang 5,4 bulan lalu
bagus kuas nya .. bulu nya lembut .. suka banget .   packing aman meski beli cuma 1 ... pengiriman cepat .. makasih seller ;),bintang 5,10 bulan lalu
"barang orii, packing aman dan pengiriman cepat sekali
terimakasih",bintang 5,
"lembuuuuut kuasnya, semoga pengaplikasiannya juga oke hasilnya...sejauh ini ga kecewa deh sama produk somethinc 😘",bintang 5,
"baru sampai, beli 4 dpt bonus 1, trmksh ya...
baru mau di coba, semoga cocok",bintang 5,
Baru di buka belum di coba packing maksimal amannya,bintang 5,
Sesuai pesanan dan pengiriman cepat..,bintang 5,
Brush-nya lembut Nyaman di kulit Packaging aman 🙏,bintang 5,
Brushnya gak terlalu besar tapi lembut banget😻,bintang 5,
"kuasnya sangat lembut, jadi bedak powder bisa merata sempurna. bikin kulit terlihat flawless",bintang 5,
"agak kurang tipis sihhhh tapi ya oke lah, bearable",bintang 5,
"barang sesuai deskripsi. packing aman dan baik. pengiriman cepat, sesuai kurir yg direkomendasikan dan dipilih. thank you. recommended seller!",bintang 5,
"Beli pas diskon gede kirain gabakalan dikirim ternyata beneran dikirim dong❤️
Beli di somethinc emang gapernah mengecewakan selalu sesuai dan kualitasnya pasti bagus bang...",bintang 5,8 bulan lalu
"Kuasnya nyaman, lembut, dan blendingnya bagus",bintang 5,
"lembut kuasnya, nyaman juga pas dipakainya.",bintang 5,
pas buat eye brow yg pomade. dipakai nya pas. uda dipakai kok.,bintang 5,9 bulan lalu
Sudah jadi pelanggan setia. Terima kasih bonus kipas portable nya sangat bermanfaat. Sukses selalu.,bintang 5,
"Duh somethinc warna brushnya secakep itu, lembut bgd kuasnya. suka deh

love love",bintang 5,
"produk bagus, rapi, kuasnya halus...",bintang 5,9 bulan lalu
"brush nya lembut banget, mantap pokoknya",bintang 5,
"Brush-nya lembut
Kemasannya compact",bintang 5,
makasi ya kak pouch unyunya gemes banget,bintang 5,
Barang sesuai,bintang 5,
paket sampai dgn selamat. makasih utk bonusnya,bintang 5,
salah kirim tapi bikin ribet sampe gue relain aja,bintang 1,2 minggu lalu
bulunya lembut banget....,bintang 5,
selalu puaaaassss... dpt bonus pula,bintang 5,
bulunya halus banget,bintang 5,11 bulan lalu
bgus tp terlalu panjang,bintang 5,10 bulan lalu
Ok nih brushnya. Blending dengan baik,bintang 5,
sangat enak untuk blend,bintang 5,
packing aman dan brushnya oke,bintang 5,
Makasih free gift nya 😊☺️,bintang 5,10 bulan lalu
Halus,bintang 5,
,bintang 5,2 bulan lalu
,bintang 5,
,bintang 5,
lembut banget,bintang 5,
mantap,bintang 5,
lumayan enakk,bintang 4,
