review,rating,date
shippingnya agak lamaa sih tapi alhamdulillah barangnya sampee dengan selamat. terus warnanya jg cantikk bgt,bintang 5,8 bulan lalu
"warnannya baguss, pertama nyobain semoga cocok dibibir",bintang 5,
"pelayanan cepat dan ramah
belum coba tp dr review2 sih warna nya bagus dan nggak bikin kering",bintang 5,
"Shade ini mirip dgn O*G yg coffee break, warna deep brown gitu yg masih oke utk diombre sm warna deep red juga. Sadly aku lebih suka O*G punya. 

Alasannya krn Salsa hasi...",bintang 5,
"Aku beli shade nomer 2 kali ini. selalu puas dengan pelayanan salsa, aku berkali kali beli di marketplace lain juga selalu cepet pengirimannya, packing rapi. Apalagi sby-...",bintang 5,
kirain lebih kecoklat ternyata diaku gini warnanya,bintang 5,3 minggu lalu
"pengiriman cepat, nyampe barang aman gak pecah, udah dicoba enak banget enteng dibibir dan gak lengket jadi berasa gak pake lip cream, trus warnanya sesuai dan cocok bang...",bintang 5,
Hasilnya tahan lama. Cocok buat kulit gelap. Aplikator mudah dipakai. Desainnya lucu. Hasilnya matte. Nggak cepat pudar. Nggak lengket. Packaging aman 🙏.,bintang 5,
"lipstik nya cocok, baik warna maupun teksturnya. gak kering dibibir. cuman sayanng kemaren beli no 05 dan 06. yg no 05 kayak bau myk gas. yg no 06 aman. ternyata dr saput...",bintang 4,
"Ombrenya cakep sekali.. Koleksi ke 4 akuh sebelumnya udh pada abis. Dibibir ringan, hny mudah ilang aja saat dibawa makan dan minum, hrs retouch lg tp suka aja sih aku",bintang 5,7 bulan lalu
"Emang warna fav yang dua ini :)
lumayan puas walaupun agak lama ngirimnya",bintang 5,
Produk original dengan harga yg rerjangkau pengenasan sangat rapi rekomendasi dan bakal repeat order,bintang 5,8 bulan lalu
"Nyaman di bibir, so far ga bikin kering Mudah2an cocok",bintang 5,
"Teksturenya lembut, wangi dan warnanya bagus sesuai",bintang 5,11 bulan lalu
"ringan, bagys warnanya, pesanan sesuai, pengiriman cepat",bintang 5,
"kemana aja baru tau salsa punya base ombre cakep bgtt 😭😭😭next bakal repurchase sih dan coba warna lain.nya ,💋 cuma ga suka baunya aja , selebihnya okee 😉",bintang 5,
"suka sama warnanya, cocok banget di bibir",bintang 5,
"lip creamnya  nggak sekering yg aku bayangkan..
wanginya enak, cuma teksturnya lebih cair dari lip cream lain",bintang 5,
"Mantep 20k dapet 3. Suka banget sama aroma kuenya :"") warnanya juga bagus2",bintang 5,
Cantik bangettt Bgus untuk di buat ombre nya sma implora 12 ❤️🔥 mnyla salsa ku coffe break memang cakep mantul ak suka mksih kak sesuai nexts order lagi nntik ❤️❤️,bintang 5,5 hari lalu
dapat harga promo yg lumayan. warna cantik buat ombre. terima kasih tokopedia dan id,bintang 5,
"Alhamdulillah barang sudah sampai toko pedia emang dhebes👍👍👍padahal alamat sempat salah tp tetap sampai dengan aman dan selamt.
trimakasih mimin dan seler semoga semak...",bintang 5,4 bulan lalu
Hasilnya tahan lama. Hasilnya tahan lama. Cocok buat kulit gelap. Cocok buat kulit gelap. Aplikator mudah dipakai. Aplikator mudah dipakai. Desainnya mewah. Desainnya luc...,bintang 5,
