review,rating,date
"ringan dan praktis, gampang digunakan untuk pemula, sangat mudah dibawa kemana saja. packing nya juga mantap sangat safety",bintang 5,7 bulan lalu
"keren bgt dr adminnya yg responsif, trs packaging dan pengiriman semuanya mantep deh. pdhl tertulis PO sebulan tp ternyata nyampe cuma 2 hari😭 trus walaupun aku cuma bel...",bintang 5,
kecil banget! jadi bikin gampang dipake dan dibawa bawa teruuus jugaa ga bikin alis jadi aneh atau gimana gegara ketebelaan hihi,bintang 5,
"BAGUS BANGEET sangat amat thin jadi lebih mudah buat ngalis, thank youu 🫰🏻🫰🏻",bintang 5,1 bulan lalu
Enak dipakai ksrna aplicatornya kecil !!,bintang 5,9 bulan lalu
aaa seneng bgtt akhirnya punya pencil alis ini dah gitu dqper diskonn 7.7 sukaa bgtt❤️‍🔥😫,bintang 5,10 bulan lalu
"Kecil banget enak nih untuk pemula,jadi gampang bikin alis nya 😍
Pengiriman dan pengemasan sangat cepat sekali 👍",bintang 5,10 bulan lalu
jujur ga ada masalah sama produknya. tapi sedih bgt liat packingan nya yg super tebel bubble wrap. its a plastic waste :(. Terlebih barang yang dikirim bukan barang pecah...,bintang 4,10 bulan lalu
"kecil banget ternyata enak dibawa kemana² ga makan tempat, warnanya okey banget keluar dikit² cocok buat pemula",bintang 5,
Teksturnya creamy Gampang dipakai Gampang dibawa-bawa Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penjualnya top,bintang 5,
"teksturnya creamy, warna mudah keluar tapi agak gampang patah",bintang 4,6 bulan lalu
"cocok buat pemula, gampang di aplikasi kan. dapet diskon jadi lebih murah!😍 pengiriman dan pengemasan nya sangat cepat !!",bintang 5,9 bulan lalu
bagus bgt aplicatornya gampang dan waranya keluar,bintang 5,8 bulan lalu
aplikatornya enak gampang bngt buat di alis aku yg ga terlalu tipis dan ga terlalu tebel,bintang 5,2 bulan lalu
"suka banget dia tipis gitu, sayangnya salah checkout, pengennya beli yg ada browcara itu",bintang 5,
"modelnya kecil, enak banget buat bentuk alis",bintang 5,8 bulan lalu
"Warna nya natural banget cocok buat sehari hari, ujung nya juga lancip jadi enak buat ngebentuk alis nya.",bintang 5,7 bulan lalu
"barang sesuai deskripsi, pengiriman cepat, packaging aman",bintang 5,9 bulan lalu
"enak dipakee lembut, pigmented, tpi gampang patahh",bintang 5,3 bulan lalu
"lumayan pigmented dan tahan lama, barangnya kecil jadi fleksibel dibawa kemana mana",bintang 5,
bagusss buat alis cm aga kurang keluar aja wrnanya tp bagus ko,bintang 5,7 bulan lalu
"bener-bener cepet bangett pengirimannya sehari langsung dateng, posisinya jg lagi butuh banget pensil alis karena punyaku yg sblmnya udah habiss. pensil alisnya juga bagu...",bintang 5,3 bulan lalu
"gampang diblend, bagus, simpel. warna nya soft, tp kurang tahan",bintang 5,11 bulan lalu
"pengiriman nya keren banget CEPET, produknya mantap sih gampang di pake trs slim gitu kecill sukakk",bintang 5,11 bulan lalu
tekstur nya ga langsung tebel jadi cocok buat aku yg baru belajar bikin alis hihihi😍😘,bintang 5,
"Suka banget sama pensil alisnya keliatan natural, untuk pemula cocok banget puasa semua sama produksi seamekaup 🥰",bintang 5,4 minggu lalu
eh enakkk bgtttt! baru nemu pensil alis yg bentuknya tear drop tp kicillll,bintang 5,8 bulan lalu
"Pas dipakai gampang muprul.. 
Atau putus waktu dipakai",bintang 3,2 minggu lalu
"warna bagus, tahan lama, pemakaiannya jg mudah ga perlu effort bgt",bintang 5,
"sudah tube ke 3, karena sebagus itu dah lagi dapat promo 🤗",bintang 5,7 bulan lalu
"aku kira warna nya bakal item ke abu2an, ternyata agak ke coklat dikit, tp masih okey sih, masih cocok di wajahku, soalnya wajahku itu ga cocok kalo yg warna coklat",bintang 4,
"gampang di aplikasiin, warna nya cocok di aku",bintang 5,7 bulan lalu
"Pensil alis lunak, warnanya natural, pigmented.
Enak banget deh buat ngalis & hasilnya juga natural.
Yang paling juara brushnya sih.",bintang 5,
warnanya bagus bangettt gaisss. pigmented dan ujung nya nyiripitt,bintang 5,7 bulan lalu
"Mini tapi lucu bangetttt, ada spoolingnya suka banget",bintang 5,5 bulan lalu
"Produknya bagus, simple mudah dibawa kemana mana",bintang 5,6 bulan lalu
"ukurannya supeeer slimmmm..
warnanya cakeeep
gampang di blend dan awet",bintang 5,7 bulan lalu
"jadi gampag buat ngebentuk alis, fix bakal beli lai sihh🥰",bintang 5,
"gampang dipake 
warnanya natural",bintang 5,8 bulan lalu
bagus banget produknya sangat cocok terimakasih,bintang 5,
"baguss, warnanya coklat kehitaman😍😍😍😍😍😍
datang cepat",bintang 5,1 bulan lalu
"cepet pengirimannya, warna nya pas🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻",bintang 5,
"sukaaa bgt sama pensil alisnya, worth it to buyyy💕💕💕💕💕💕",bintang 5,7 bulan lalu
Alisnya juga bagus mudah untuk di aplikasiin karna aplikatornya kecil. Suka deh apalagi 2 ini cuman 95,bintang 5,2 minggu lalu
"bentuknya kecil tapi top banget, langsung keluar warnanya.. thanks <3",bintang 5,8 bulan lalu
walau kecil namun kurang lebih selama hampir 1 bulan pakai in sama sekali ga pernah patahhh 🥹,bintang 5,7 bulan lalu
"Kecil banget, tp kecil2 cabe rawit. Pigmented, diteken lembut pun warnanya udah kentara. Tapi ya itu tadi, keciiiil, jd harus hati2 pas make suoaya ga patah",bintang 5,
