review,rating,date
"pengirimannya lamaaaaaaa bgt ini salah di ekspedisi sih, padahal true to skinnya udh kirim cepat
untuk cushionnya ringan, coverage nya bisa nutupin bekas jerawat, cocok d...",bintang 5,8 bulan lalu
"sayang sekali aku kurang cocok dengan formula dan warna shadesnya, menurutku terlalu tone up jadinya abu-abu(skintone medium undertone neutral), trs formulasinya di kulit...",bintang 5,10 bulan lalu
"Bahannya ringan, cocok untuk dipake daily dan kerja. Shade ini cocok di kuliy yg sawo matang/kuning langsat. Tp puffnya kekny hrus dilebihin satu bisa gk si ka? Kadang kl...",bintang 5,6 bulan lalu
"Rekomendasi dari temen cocok bat dikulit aksss, pas Dateng langsung nyoba ternyata shade nya juga pas di aku btw muka aku kuning langsat cerah milih waffle dan ternyata p...",bintang 5,2 bulan lalu
"barang mendarat dengan aman selamat terkendali tidak ada lecet rapih dibungkus bubble wrapnya banyak, lucuuu banget pinky girly 💗 shadenya pas cocok sama kulitku, tekstu...",bintang 5,8 bulan lalu
"tipe kulitku kombinasi 
tipe kulitku berminyak 
tipe kulitku sensitif under tone kulitku netral

Keterangan 1 tingkat. Tapi masih aman. Suka sama teksturnya dan hasilnya....",bintang 5,10 bulan lalu
"enak bgt ringan best pokonya, awal awal emg agak kok gini ya tapi makin sini makin yes ga salah beli good tengkyu",bintang 5,6 bulan lalu
"packagingnya sih jadi nilai plus karena super lucu dan gemesin! apalagi warnanya warna pink kesukaanku hehe, coveragenya baguss dan minim oksidasi, shade nya juga cocok d...",bintang 5,6 bulan lalu
"Pengirimannya cepet, packagingnya juga lucu banget! Warnanya agak sedikit kekuningan pas pertama kali di tap tapi setelah di blend warnanya nyatu sama warna kulitku sih j...",bintang 5,8 bulan lalu
"bahannya baguss, ngeblend sama kulit, warnanya juga cocok buat kulitku ini, ada spf 35 PA++++ nya juga",bintang 5,9 bulan lalu
"cocok sama kulit aku, hasilnya bagus juga, pengiriman nya cepat, tahan lama",bintang 5,7 bulan lalu
"Udah inceran dari lama ini cushion akhirnya kesampean juga, packagingnya lucu coveragenya juga mantul! 
Shadenya kayaknya kurang terang di aku tapi masih okee ttp sukaa!!...",bintang 5,8 bulan lalu
"sebenarnya suka sama cushionnya, pas ngeset jadi soft glow matte but smooth, tapi sayangnya aku salah pilih warna huhu. buat yg bingung pilih shade ini tuh lebih terang j...",bintang 5,8 bulan lalu
"pink pink lucuu bangett, awalnya bingung mau yang shade apaa terus akhirnya aku nanya admin katanya cocok pake yang croissant jadi aku mau nyoba belii hihi",bintang 5,
"cushionnya bagus, tapi salah pilih shade huhuu. kalo tap lgsg harus di blend soalnya cepet set. puffnya juga kecil bgt.",bintang 5,8 bulan lalu
"barang nya bagus, cocok di kulit akuuu dan pengiriman nya juga cepet bangett, SUKAAA BANGETTT",bintang 5,7 bulan lalu
"medium coverage, cocok buat kulit kombinasi, pengiriman standar. thanks seller",bintang 5,12 bulan lalu
"cushionnya bagus, cocok juga. TAPI SAYANG TUTUPNYA PECAHHH 😭😭😭😭😭 JADI GABISA DITUTUP sayang bangett :(",bintang 3,10 bulan lalu
"cushion yang ringan banget ketika di apply, suka bangett! sesuai sama skin tone aku",bintang 5,9 bulan lalu
"Paket sampai dengan baik, cushion bagus, tidak ada yang cacat, sesuai dengan pesanan.💜💙💜💙💜💙",bintang 5,2 bulan lalu
"baru cobain cushion ini semoga cocok dan sesuai ekspetasi, pengiriman sama pengemasan lumayan cepet",bintang 5,8 bulan lalu
Dapet harga murah bgtt cushion yang di nanti nanti akhirnya nyobain jiga semoga awet dan sering sering ya tokopedia adain discont Gede,bintang 5,8 bulan lalu
"gampang meresap, ringan dipake dan warnanya menyatu dgn tone kulit ngga expect bakal se flawless ini",bintang 5,8 bulan lalu
"barangnya sudah datangg dan real pict, sangat sesuaii, cushion nyaa sudaa dicobaa, sangatt bagussss‼️",bintang 5,7 bulan lalu
pengemasan sangat baik pelayanan sangat baik kualitas barang sangat baik terimakasih true to skin,bintang 5,4 bulan lalu
"warnanya cocok dengan kulikku, pengemasannya sangat aman",bintang 5,
"baguss poll murah meriah, minim oksidasii",bintang 5,8 bulan lalu
lucu bgt ih pinky pinkyy.. shade nya cocok bgt di aku yang punya undertone neutral skintone sawo matangg,bintang 5,6 bulan lalu
"First time si beli cushion tts, semoga shade ini match sama tone kulit aku, soalny awalny mau beli yg croissant. Thanks.",bintang 5,9 bulan lalu
warna lebih cerah dari kulit tapi ga beda jauh sih sangat menutupi merah” padahal ga pake apa” lagi,bintang 5,
"bagus banget plis sekarang puffnya ganti jd love omg so cute, ini warna nya cocok dikulit aku bagus Tts ngeluarin shade baru karna shade sblmnya keputihan bgt tapi yg ini...",bintang 5,9 bulan lalu
tipe kulitku berminyak under tone kulitku netral,bintang 5,
tipe kulitku berminyak under tone kulitku netral,bintang 5,
"barang sampai sesuai dengan pesanan, dapet free toner sama sticker lucu juga. exp produk masih lama",bintang 5,10 bulan lalu
"tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku cool
hasil akhir cerah alami coverage sih ga medok kayak foundation tp ini lebih tinggi covwrage dbdg cus...",bintang 5,
"tipe kulitku cool undertone, sblumnya aku pake shade chesseecake. Aku beli shade mufiin, karena aku punya bedak yang keterangan, supaya bedak itu kepake, aku turuni shade...",bintang 5,10 bulan lalu
"semoga cocok, terimakasih seller... shadenya menurut aku kurang banyak dan agak beda yhhhhhhg",bintang 5,8 bulan lalu
"packagingnya lucu bangettt, warna pink.. semoga cocok yah shade nya sm muka kuu",bintang 5,8 bulan lalu
barang sampai dengan selamat... packing aman...barang sesuai pesanan....cocok...coverage..makasih,bintang 5,8 bulan lalu
"paketnya sudah sampaiii~🧚🏻‍♀️🤍 
belum cobaa produk nya, semoga cocokk
shade nya pass~~ dapet harga promo
makasihh banyakk 🤍🤍🤍🤍 🤍🤍",bintang 5,8 bulan lalu
belum dicoba tp biasanya puasss. smoga tonenya sesuai tone kulit asli,bintang 5,10 bulan lalu
"tipe kulitku berminyak
sumpah ini matte finish bgt dimuka😩😍😍😍
bakalan repushe lagi dan sebagus itu cuma pake cushion aja gaditimpa bedak ngikut cara kaya teh dinan is...",bintang 5,11 bulan lalu
Pengemasan dan pengiriman cepat. Pesanan sesuai. Thankyou,bintang 5,8 bulan lalu
tipe kulitku berminyak under tone kulitku cool,bintang 5,
under tone kulitku netral tipe kulitku kombinasi,bintang 5,10 bulan lalu
"baguss bangett, lucu lagii packagingnya,",bintang 5,2 bulan lalu
tipe kulitku berminyak under tone kulitku netral,bintang 5,
tipe kulitku berminyak under tone kulitku netral,bintang 5,
sukak bgt sama packaging nyaa luuvvv,bintang 5,8 bulan lalu
"ternyata bagus bangetttt, langsung ngset",bintang 5,
"nge cover bekas jerawat,",bintang 5,9 bulan lalu
dapet harga 18rb mantappppppppppppppppppppppppppppppppppppppppppp,bintang 5,8 bulan lalu
"packaging bagus
coveragenya lumayan
ketahanannya cukup bagus di bawah panas matahari
cocok di kulit kering",bintang 5,"packaging bagus
coveragenya lumayan
ketahanannya cukup bagus di bawah panas matahari
cocok di kulit kering"
"Barang sampai dengan aman. Bahannya ringan, coverage medium to full cocok untuk daily. Tidak susah untuk di blend, minim oksidasi juga",bintang 5,7 bulan lalu
jajananakwkwlsoxnwjskzngxbehd. hd bd di negbvghhhhjjnjij,bintang 5,8 bulan lalu
tipe kulit aku berminyak packaging nya lucu bgt bisa refill juga dpt diskon gede banget huhu bagus juga ini nyoba ditangan udh dicuci pake sabun tapi masih stay keren tha...,bintang 5,11 bulan lalu
"Bahannya ingan, gampang diserap & cocok sama kulit kering aku. Melembabkan banget. Favorit, deh! tipe kulitku berminyak",bintang 5,11 bulan lalu
"pengiriman lumayan lama, aku mesen shade Muffin yang dateng malah Croissant... tapi ngga begitu kecewa karna pas dicoba malah pas banget shadenya sama aku (lain kali lebi...",bintang 5,9 bulan lalu
"bahannya ringan, mudah untuk diblend, cocok buat dikulit berminyak juga. buat puffnya juga gak terlalu tipis",bintang 5,
"finishnya cakep bgt dan minim oksidasi, tp shade yg ku co ternyata masih keterangan, sedih. packing nya rapi dan aman, cuma kurir dr ekspedisi yg dipake tts bermasalah, b...",bintang 5,8 bulan lalu
"Cepet nge set, shade nya lumayan match di aku cmn emang agak tricky krn ada bagian wajah yg lebih terang n gelap tp overall okeee! blm dicoba oksidasi nya tp semoga ga ov...",bintang 5,9 bulan lalu
"seneng banget dapet harga promo, kirain bakal dapet puffnya yang love ternyata masih puff lama tapi gapapa tetep suka banget 😆💘 salah satu wishlist aku! shade biscoff d...",bintang 5,7 bulan lalu
"aaa bagus bangett packaging nya😭 first time beli cushion, sempet bingung sm shade nya soalnya shade nya terang² takut bikin abuu, jd konsul dulu sm adminnya, d suruh pak...",bintang 5,11 bulan lalu
Kemaren beli cuma salah shade. Jd beli lg yg biscoff dan ini cocok ke kulit. Suka bgt pake cushion tts soalnya nempel seharian dan nyatu bgt ke kulit. Terus kerena tekstu...,bintang 5,
Bagus bgttt cocok di muka aku yg acne prone skin dan oily😍 dipake keluar dari jam 10-4 masih aman bgtt tinggal touch up bedak sedikit tapi aku gak touch up ahahha cuma p...,bintang 5,
"Cakep banget, cepet juga nyampenya iih cuman sehari doang. Alhamdulillah shade pas diakuu, baguslaa pokonya, mana ringan bgt lagii. loovee makasii tts ❤️❤️❤️❤️ tipe kulit...",bintang 5,11 bulan lalu
"warna nya cocok banget di aku yang light to neutral undertone😭😘  puff nya juga halus, lightweight and also skincare infused yang bikin muka kita jadi flawless, nempel d...",bintang 5,11 bulan lalu
"Cushionnya lucu banget, udah gitu dapet bonus sticker jadi bisa di custom sendiri. Cuma shade tergelapnya ternyata masih keterangan dikulit sawo matang 😔😔",bintang 5,10 bulan lalu
"bagus bgt cushion nya asliii uda gitu packaging nya bagus bgtt , dengan harga seginii menurut aku worth it to buy , tdi baru smpe trs lngsng aku pake , saran aku kl mau l...",bintang 5,
"packagingnya lucu pinky🦩🎀, shadenya jg pas di kulit, dpt di harga 50k💗 tipe kulitku kering",bintang 5,9 bulan lalu
"baguss, beli dapat promo harga murah dan shade yang dipilih juga pas, tp coverage nya kurang sama sering crack gtu:(",bintang 5,7 bulan lalu
"keputihan njir, gua kira shade croissant udah paling cocok, ga keputihan dan ga kegelapan, tapi nyata nya zonk. padahal di foto lampiran kalian sangat meyakinkan warnanya...",bintang 4,
"ringan, coverage oke, simple dibawa kemana mana, packaging cantik",bintang 5,
"dia matte sekalii, bagus sih tp buat ak yg dry skin hrs skinprep yang moist bgt dulu. temenku yg oil skin blg dia cocok bgt. coveragenya juga mayan bisa menutup dosa2 &am...",bintang 5,10 bulan lalu
"Cushionnya bagus dimuka aku dan ga gampang oksidasi. Pembelian kedua, dapat harga promo pula👌",bintang 5,7 bulan lalu
"bahannya ringan, mudah menyerap,kata keponakan sesuai dengan kulitnya yang kering mudah² bermanfaat dan tidak ada kendala",bintang 5,8 bulan lalu
"suka banget sama cushion satu ini,fav deh,recommended banget nih🤩seller nya juga baik banget dan bertanggung jawab,pertama yang dikirim pesanan nya salah tpi setelah kon...",bintang 5,8 bulan lalu
"first time beli cushion dari true to skin, direkomen shade sm sller ternyata cocok, bagus & gampang di blend 🤩",bintang 5,9 bulan lalu
"Dapat harga murah banget mgkn karna baru pertama belanja di tokped. Tapi pengiriman lama banget, hampir seminggu. Untuk cushionnya baru pertama coba semoga cocok.",bintang 4,8 bulan lalu
sedih banget padahal tulisannya shade muffin untuk neutral dan cocok untuk yg kuning langsat cerah. tp di aku malah beda shade jd kayak pake bedak putih gtu ga cocok warn...,bintang 3,11 bulan lalu
"tempatnya bagus, warnanya cocok, dan minim oksidasi",bintang 5,11 bulan lalu
"sejujurnya agak keputihan di akuu, tp krn undertonenya sama jari masuk2 aja sii. bagus dan ringan bangett 😗 lop ttt, cuma kl kena air emang luncur gitchuu soalnya emg wu...",bintang 5,7 bulan lalu
"shade cocok, bagus banget lucu pinky. spons nya jg lucu bentuk love ♥️",bintang 5,9 bulan lalu
"yayy akhirnya dateng juga. shadenya cocok di aku,tapi belum aku coba full make up. semoga bagus 😍",bintang 5,9 bulan lalu
"Sebenernya enak teksturnya, coveragenya manteb tapi ringan. Cuma keputihan banget di aku yang shade muffin 😭😭😭 guidenya soalnya netral. Mungkin bisa lebih dibanyakin s...",bintang 5,7 bulan lalu
"Sepertinya aku salah shade 😭
Tapi gak papa deh, jadinya next tau mana warna shade yg cocok buat aku. Terima kasih!",bintang 5,8 bulan lalu
"packing lucu tpi buat yg kulitnya bnr bnr sawo matang pertimbangan lagi yahh karna aku pake biscoff keterangan bgt bgt , and buat true to skin semoga ada shade baru lagi...",bintang 5,6 bulan lalu
"ini bukan warm sih 😭 lebih ke neutral. nggak cocok di aku yang undertone nya jelas banget warm. saran buat tts, coba varian tan dan undertone warm nya dibanyakin deh 😭�...",bintang 4,9 bulan lalu
"Finally... Kemarin belinya yang muffin dan sedikit keterangan di aku, so I've decided to buy this one. Glad it's suit on me! Bakalan repurchase Waffle sihh. True...",bintang 5,6 bulan lalu
"packaging lucuuu teksturnya ringan, mudah diblend, belum cek oksidasi tapi semoga aman",bintang 5,11 bulan lalu
"real pict, first time coba cushion true to skin ternyata emg bneran bguss minim oksidasi🤍",bintang 5,
Kemasannya cantik bangettt. Sengaja pilih naik satu shade warnanya. Ssmoga cocok dimuka ku. Terimakasih.,bintang 5,
"mantap banget min sy suka deh huhu bagus tapi kecerahan di aku, next bakal di naikin 1 tingkat shade nya. tp sedih huhu aku ga dapet puff yang love nya kecewa :(",bintang 5,8 bulan lalu
"barangnya oke, tp pengemasan dan pengiriman cukup mengecewakan 🥲",bintang 5,8 bulan lalu
Hasil akhir semi matte. Coverage lumayan lah. Tapi sayang bgt gak dapat sticker,bintang 5,
"sumpa ini cuantik banget, baru pake 2j. masih oke sih, semoga minim oksidasii",bintang 4,11 bulan lalu
"ga ngerti lagi ini lucu banget, shadenya cocok buat aku yg sawo matang gessss",bintang 5,7 bulan lalu
"yess akhirnya datengg, cubanget packaging nyaa 🥰",bintang 5,10 bulan lalu
"lucu pol pol pol, tadi nyoba di Swatch cocok banget sama kulit, kemasannya juga lucu banget!!!!",bintang 4,
"skinlike finish betulz, tp masih keputihan jujur. walaupun aku light to medium",bintang 5,8 bulan lalu
dapet cushionnya 23 rb wwkkwkwkwkwkwkwk  tipe kulitku sensitif tipe kulitku kombinasi,bintang 5,10 bulan lalu
tipe kulitku kombinasi tipe kulitku normal tipe kulitku berminyak tipe kulitku kering under tone kulitku cool under tone kulitku warm under tone kulitku netral tipe kulit...,bintang 5,
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi under tone kulitku netral tipe kulitku sensitif under tone kulitku warm under tone k...,bintang 5,9 bulan lalu
"BAGUSS BANGETT CUSHION NYA WKWKWK, DI BAWA HUJAN HUJANANN GA LUNTURR!! UDH GITU SHADE NYA JUGA COCOKKK BGTT MANTAPP DEH FULL COVERAGE.
LUCUU BANGET LAGI PINKK GITU AKU TA...",bintang 5,1 bulan lalu
Saya sangat suka karena kualitas produk sesuai dengan yang tercantum di dalam deskripsi produk. very recommended. tipe kulitku berminyak tipe kulitku sensitif under tone...,bintang 5,
