review,rating,date
"Beli saat harga special, warna mauve cocok utk semua tone bibir, tekstur oily, bahan agak ringan bibir, delicate lipstick lebih aman hny tahan 6 jam daripada matte yang b...",bintang 5,3 bulan lalu
bagus terbaik lipstik terkesukaan pengiriman cpt semua cepet cepet cepet kurang cepet nikah bae bang saya jadi gasingasingasingasin beli bagus beneran ak punya tp mager a...,bintang 5,5 bulan lalu
"sesuain deskripsi, dpt bonus yg bener2 kepake banget buatbpas lagi bepergian. tutupnya dual fungsi, bisa buat ngaca juga. keren. 

sukses selalu",bintang 5,9 bulan lalu
"pengiriman cepat, seller reslonsif, packing rapi, dan dikasi bonus day lotion",bintang 5,7 bulan lalu
"Warna lipstik nya bagus, lembut dan netral. Packaging aman. Dikasih bonus Lip liquid Wonderwear. Makasiii",bintang 5,8 bulan lalu
"favorit banget 🥰 bahan ringan aman, warna cantiiik.. recommended banget 😍🥰 sesuka itu dg lisptik ginger",bintang 5,
Terima kasih banyak atas pelayanannya. Semoga warna lipstick nya sesuai dengan kebutuhan saya. Terima kasih atas bonusnya. Lega order barang dari official store.,bintang 5,5 bulan lalu
"warna lipstikya bagus aku sukaaa, maaksih seller🙏🏻",bintang 5,
"Alhamdulillah barang nya sesuai,blm di pakai mudah²an cocok dan terima kasih hadiahnya🙏",bintang 5,8 bulan lalu
packing aman. produk cakep warnanya. belum dicoba karena buat spare gantiin yang lama bentar lagi habis. baca-baca dari review sih pada bilang bagus dan lembut ga bikin k...,bintang 5,
"Sdh diterima paketnya baik jg aman,dpt bonus pula,exp semua nya msh jauh,perdana beli lipstik ini moga awet dan cocok dipakainya,pengiriman lbh cepat dibanding estimasi d...",bintang 5,6 bulan lalu
Respon cepat dari penjual. Produk diterima dengan baik. Produk sesuai deskripsi,bintang 5,
"wah ini lipstiknya lembut banget di bibir, warnanyapun bagus... packing luar ada yg penyok, tp barang terbungkus rapi, jd masih utuh.. dapet sampel juga",bintang 5,
"Lipstiknya  ringan, melembabkan, warnanya di bibir nggak norak.  Varian apricot agak oranye coklat.
Varian Rose warnanya lebih ke maroon padahal saya kira agak pink.
Teri...",bintang 5,10 bulan lalu
"hasil matte, warna cocok dgn kulit sy, tidak kering di bibir, pengiriman cepat",bintang 5,2 bulan lalu
