review,rating,date
"Paket udh sampai, no 12 agk ke merahan nya. Aku dpt bonus lipstik cantik",bintang 5,2 bulan lalu
"Setelah dipakai light banget enak ringan very moist dibibir next order warna lain dapat hadia palet lipstik bagus2 warnanya
Sukses buat Viva cosmetics 🥰",bintang 5,1 bulan lalu
"Pengirimannya cepat, packaging aman, pesanan lengkap dan sesuai, makasih free nya, blm dicoba di bibir tp warnanya cerah",bintang 5,1 bulan lalu
"Ok, warna bagus, lembab dipke di bibir g kering.. Enak banget pko nya.. Pengiriman cepat , dapat bonus lagi 
Next bakal order lagi",bintang 5,6 bulan lalu
"Ih lucu ada tester nya
Love love sekebon 🥰💄💄💄💄
Warna: Bagus
Performa: Oke",bintang 5,5 hari lalu
"Bagus tahan lama, makasih bonus nya",bintang 5,3 bulan lalu
Pokok nya bagus dapet bonus lagi,bintang 5,3 bulan lalu
"Lipstiknya bagus bgt sumpah. Warnanya cucok, apalagi ternyata dapat bonus satu lipstik lagi. Luar biasa, makasih untk tolong yg amanah. Packaging nya juga cantik, aman be...",bintang 5,2 bulan lalu
"Ga bisa berkata² lagi, baru pertama kali beli lipstick viva, dan ternyata sebagus ini, kemana aja aku selama ini?😭 Ringan bgt dibibir, pigmented bgt, super simple, packi...",bintang 5,2 bulan lalu
"Utk klt sawo matang tdk dianjurkan no 22 krn berasa gak pake lipstick gak nampak warnanya,apalagi kl bibir two tong,next beli lg warna laenkrn dah dikasi sampe all variab...",bintang 5,4 hari lalu
"Suka banget warnanya bikin cerah dimuka,tekstur lembut ,bikin lembab ,dapat bonus lagi.makasih sellerp",bintang 5,2 bulan lalu
"Lembut, hidrasi, tapi warna emang gak sesuai sama di foto but its okay lah. Dapet bonus concealer",bintang 5,4 bulan lalu
"Bagus nggak kering dibibir, akhirnya kembali ke kosmetik jaman dulu kala 
Pake yg lain kering di bibir,dpt free tester",bintang 5,1 bulan lalu
"Brg sesuai pesanan 
Proses dan pengiriman tepat waktu 
Packing aman 
Exp msh lama 
Warna sesuai 
Dpt free lipstick lagi",bintang 5,3 bulan lalu
"Paketnya Tiba dengan selamat, cuman emang agak lama ternyata jauh pengrman dari Surabaya. Untuk lipstiknya ok cuman gak sesuai ekspetasi warna gk sama kaya di gambar, pas...",bintang 2,1 bulan lalu
"produk bagus, pengiriman cepat, kurir baik, amanah,, Alhamdulillah dpt free juga",bintang 5,3 bulan lalu
Barang ya sd sampai dan sesuai. Packing ya sangat rapi sekali dan dapat bonus limstik merah maroon. Thx buat penjual,bintang 5,1 bulan lalu
"Bagus banget, barang sesuai dengan pesanan, packing aman, pengiriman cepat. Dapat bonus pula, owner nya baik banget, semoga sukses selalu 😇 Jossss. Rekomended banget❤ Se...",bintang 5,6 bulan lalu
"Alhamdulillah sudah datang sesuai dengan pesanan pengiriman cepat dan pengemasan super aman terima kasih banyak 
Terimakasih juga bonusnya",bintang 5,3 bulan lalu
Baru mau coba pakai produk viva semoga cocok. Warna lipstiknya di bibir saya pucat saya salah pilih warna dan lipstiknya agak berminyak di bibir saya. Pengemasan dan peng...,bintang 5,1 bulan lalu
Alhamdulillah sudah datang sesuai dengan pesanan pengiriman cepat dan pengemasan super aman terima kasih banyak,bintang 5,3 bulan lalu
