review,rating,date
"Puas sama warnanya! Cocok untuk tone kulit orang Indonesia pada umumnya. Tekstur lembut. Semoga taham lama, karena belum dicoba seharian. Beli nomor 07 dan 12. Dua²nya CA...",bintang 5,6 bulan lalu
"pengiriman cepat, kemasan juga aman sampai tujuan,. udah sering beli di sini,.. kosmetiknya ringan, jadi aman,...",bintang 5,6 bulan lalu
lipstiknya ringan warnanya ok saya beli yang no 1 dan 10,bintang 5,3 bulan lalu
Bagus! Viva gitu loch! Brand kepercayaan Indonesia. Produk Indonesia pulak. Terima kasih. Sukses selalu.,bintang 5,11 bulan lalu
Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Awet seharian 💄. Aplikator mudah dipakai.,bintang 5,Coverage-nya high. Cocok buat bibir gelap. Gampang dibawa-bawa. Awet seharian 💄. Aplikator mudah dipakai.
"Pengiriman barang cepat, pangepakan barang bagus, barang datang sesuai pesanan, harga terjangkau",bintang 5,7 bulan lalu
Suka sekali sama lipstick viva ini dari jaman masih kuliah 10 th yg lalu sampe sekarang. Ringan dipakai dan warnanya cocok untuk kulit mukaku,bintang 5,
"Sangat cocok untuk iklim tropis, ringan, warnanya cantik👍 packaging rapi dan aman. Recommanded.",bintang 5,
"Barang sesuai, pengiriman cepat & aman. Menghemat waktu & tenaga. Terima kasih...",bintang 5,7 bulan lalu
"Proses dan pengirimannya cepat, warna bagus, main aman warna2 soft aja yg dipilih.😀",bintang 5,9 bulan lalu
Akhirnya menemukan lipstick yang pinknya tuh pink lembut. terus juga dia ada oilynya. Pas bgt buat kebutuhan aku. Terima kasih ❤️,bintang 5,8 bulan lalu
Produk sesuai dengan deskripsi & pesanan.  Kualitasnya baik    👍,bintang 5,
pengiriman cepat barang pun sampai sesuai pesananan,bintang 4,
"barang original, kualitasnya tidak diragukan lagi karena ini Viva brand yang sangat legend.",bintang 5,
bagus ringan dibibir..tekturnya agak berminyak yaa,bintang 5,2 hari lalu
packing kurang rapi cuma pake plastik tdk pakai kemasan kotak lipstiknya!,bintang 4,
"paket sudah diterima dengan kondisi baik, dipacking dengan rapi dan aman, respon penjual cepat, pengiriman standard, selalu puas belanja disini",bintang 5,
barang sudah sampai dengan baik kemasan rapih respon cepat ramah kualitas baik,bintang 5,
"Pakai produk Viva itu sejak SD, sekarang bisa pilih semuanya online... Seneng banget.",bintang 5,
Cocok buat bibir gelap. Awet seharian 💄. Gampang dibawa-bawa. Aplikator mudah dipakai.,bintang 5,Cocok buat bibir gelap. Awet seharian 💄. Gampang dibawa-bawa. Aplikator mudah dipakai.
"ringan, nyaman, warnanya cocok untuk bibir saya.",bintang 4,8 bulan lalu
"Produk bagus bekerja dengan baik, cepat sampai, recommended!",bintang 5,
Sepertinya untuk bibir q yg sedikit gelap hrs pilih yg nomor lain. Klu yg no 10 ini cocok buat yg warna bibirnya cerah,bintang 5,4 minggu lalu
"Belum pernah coba produk ini, semoga cocok. Seller responsif dan informatif, minta dicarikan lipstik yg warna orange dan benar2 dipilihkan yg warnanya pas. Produk Viva ha...",bintang 5,
"warna baguus, masih ada sedikit rasa lilin, tapi tetep setia pake viva aja deh",bintang 5,
produk sesuai deskripsi. semoga cocok pas dipakai,bintang 5,8 bulan lalu
"seller ramah, barang oke, pengiriman ok, terima kasih",bintang 5,
akhirnya sampai juga lipstiknya.. dikasi tambahan lagi.. saya suka.... terimakasih ya buat toko i i...,bintang 5,
Warnanya cerah. ringan di bibir dan cocok untuk diombre dengan warna gelap.,bintang 5,
"respon seller cepat, kurir cepat barang ok. terima kasih",bintang 5,
warna pinknya soft dan tipis. kemasan pink cantik.,bintang 5,11 bulan lalu
"barang sesuai. no 6 dan 7 hampir sama, tp menurut saya yg warna merah nomer 7. 
respon oke. terima kasih 🙏🏻",bintang 5,
bagus cuma ternyata terlalu pink buat bibirku,bintang 5,
Wanginya enak. Lucu bgt kemasan pinknya gak norak. Di bubblewarp jd aman. Harga terjangkau tp kualitas memuaskan. jd mau beli lg yg warna lain.,bintang 5,11 bulan lalu
"Terimakasih barang sudah diterima dengan aman dan cepat. Packingnya juga rapi. Seneng dengan produk viva ini, aman di kulit dan di kantong, produknya oke. Warna lipstick...",bintang 5,
qirain warnanya merah ke peach gitu.. tau nya tetap merah cabe juga.. bingung pilih warnanya kalo gak liat secara langsung.. thanks seller and tokopedia..,bintang 5,2 bulan lalu
"warna nya cantikk banget , ada pelembab nya juga ga bikin bibir kering. sukaa sekali 😍",bintang 5,
