review,rating,date
bahannya ringan dikulit wanginya enak dan ini cocok diaku,bintang 5,1 bulan lalu
"Belum dicoba ke muka (gonna update soon kalo udah). tapi udah ku buka segelnya, pas awal dicoba ke kulit tangan, rasanya dingin seger gitu. baunya wangi, terus teksture n...",bintang 5,5 bulan lalu
Puaaasss.... Semuanya Bagus real aman tidak ada yg rusak atau lecet . Jangan ragu beli disini .Mantuulll next Order lagi ...,bintang 5,4 bulan lalu
"Pengirimannya cepettt bangettttttttttt, kurirnya  baikk,sabarr nyari lokasinya. Tidak marah-marah.sellernya ramahh, kualitas produknyaaaa okee bangettt. Bisa mengurangi k...",bintang 5,8 bulan lalu
"Jenis kulit: normal
Manfaat produk: melembabkan dan mencerahkan",bintang 5,7 bulan lalu
"Warna: Kuning langsat
Daya tutup: Aman
Manfaat produk: Melembabkan
Jenis kulit: Normal
Semogaa aku cocok pake ini dan langsung ada hasilnya...",bintang 4,3 bulan lalu
Cepet banget nyampe... Udah sering order di sini.. barang bener2 ori.. pengemasan ok dan berkualitas .. udah cocok juga pake viva.. lope lope banget pokoknya.. ngaruh bgt...,bintang 5,2 bulan lalu
"Warna: Putih
Daya tutup: Bagus
Manfaat produk: Pelembab wajah
Jenis kulit: Berminyak",bintang 5,8 bulan lalu
"Sesuai pesanan
Performa: Baik dan masih tersegel dengan baik",bintang 5,8 bulan lalu
"pelembab nya sudah datang sesuai pesanan, packing nya aman 👍👍",bintang 5,6 bulan lalu
"Manfaat produk: mencerahkan
beneran lumayan cerah pakai mois Viva
⭐⭐⭐⭐⭐ sesuai, cpt sampai, cocok juga",bintang 5,7 bulan lalu
"Produk dalam kemasan yang baik. Tidak ada kerusakan. Belum dicoba, semoga cocok dengan kulit sayaa.",bintang 5,3 bulan lalu
"Lucu kemasan nya size pocket 🥺🤏, ramah kantong untuk pelajar semoga cocok lah. Makaci yaa💝",bintang 5,7 bulan lalu
"Paket sesuai pesanan, Pekingan aman, pengiriman cepat, dan kurir ramah.",bintang 5,6 bulan lalu
"Bagus bagus harga murmer semoga kualitas juga bagus yaaa dan cocok di mukaku terimaaciwww kaka 
Biasa aku pake buat kerja hehee",bintang 5,8 bulan lalu
"bagus, insya allah di kulit aku cocok, soalnya pas aku pake juga kaya ada efek cerahannya gitu loh, tekstur nya encer tapi mudah nyerap",bintang 5,8 bulan lalu
"Barang sampe dengan cepat, kualitas barang bagus , pakingggan rafih next order lagi😁🤩",bintang 5,11 bulan lalu
"Pesanan sdh sampai, cepet , packing rapi,kurir ramah...ok semua nya .trims ya seller",bintang 5,4 bulan lalu
Produk exp aman 2027 mudah2an bisa jadi langganan,bintang 5,8 bulan lalu
"Makasih seler paket nya sudah sampai dan sesuai dengan yang difoto, kurir cepat dan ramah",bintang 5,8 bulan lalu
"Luar Biasa Kemasannya Bener Bener Bagus TidaK PeLit Untuk Membungkus Produk nya 😍

Thx Admin Next 0rder Lagi 🥰",bintang 5,10 bulan lalu
pengiriman lumayan cepat.. sesuai pesanan.. pesanan lengkap,bintang 5,8 bulan lalu
"Terima kasih paket sudah di terima ,sesuai pesanan terima kasih seller toko sudah amanah sukses dan lancar untuk toko nya ,🙏",bintang 5,5 bulan lalu
bagus barangnya dan cepat pengirimannya makasih🥰🥰,bintang 5,8 bulan lalu
"Realpict, kurir ramah pengiriman cepat",bintang 5,4 bulan lalu
