review,rating,date
"Bahannya ringan, gampang diserap sama kulit kering aku. Pengiriman aman, langsung dari Whitelab. Expired Date masih lama. Harga cakep kalau pas ada diskon 30% dari Tokope...",bintang 5,7 bulan lalu
"tipe kulit ku oily to normal dan oke aja pake ini, teksturnya ga terlalu cair, ada wangi dikit, ga cekat cekit, buat pemula pake sehari sekali dulu karena dosis niacin ny...",bintang 5,1 bulan lalu
"Barang sesuai dan pengiriman cepat. Produk labputih ini emang selain hrgnya bersahabat, cocok hampir buat semua jenis kulit, so far no keluhan. The best, overall puas",bintang 5,7 bulan lalu
"ini botol kedua, sebelumnya pakai yg N5.. krn umur semakin nambah jd upgrade pake yg ini. so far cocok bgt, wajah lebih cerah ga kusam dan ga kering",bintang 5,3 bulan lalu
"Udh cek out kedua kali
Bener2 minyak di muka jd lbh baik, cocok deh buat kulit berminyak.
Produk lokal tp kualitas ga kalah sm produk luar 😃",bintang 5,7 bulan lalu
"Packaging aman, barang original, mantap! Terima kasih ya",bintang 5,
"bagus banget ori dan paket dikemas dengan rapi , sampai ditujuan dengan selamat . terimakasih atas kepercayaan nya 😍 🥰",bintang 5,7 bulan lalu
"Manfaat produk: mencerahkan
Jenis kulit: berminyak
mau coba pake produk ini semoga cocok 
Thank you min",bintang 5,
"awalnya agak ragu si nyoba whitelab tpi Alhamdulillah cocok banget di kulit aku melembabkan banget wajahku juga jadi agak cerahan jdi lebih bersih, suka bangett sih ga ny...",bintang 5,8 bulan lalu
Barang sesuai dan pengiriman cepat. Best value dan best price so far,bintang 5,6 bulan lalu
Bahannya ringan dan sudah saya pakai berkali-kali. Hasilnya lumayan.,bintang 5,8 bulan lalu
Barant sesuai dan pengiriman cepat. Overall puas,bintang 5,2 bulan lalu
"melembabkan dan gampang menyerap,baunya juga wangi",bintang 5,4 bulan lalu
"Manfaat produk: Mencerahkan melembabkan dan untuk menghilangkan dark spot
Thanks seller barang udh sampe barang siap pakai good jobb seller",bintang 5,10 bulan lalu
"sebelumnya pake serum N5-dose setaun dan cocok bgt, skrg mw upgrade yg N10-dose ini, semoga makin sehat dan cerah di kulit wajah.",bintang 5,5 bulan lalu
Banyak bonusnya soalnya beli pas 9.9 dan aku cocok banget pake skincare dari Whitelab🥰,bintang 5,
tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi tipe kulitku kering masalah kulitku kerutan masalah kulitku jerawat tipe kulitku sensitif masalah kulitk...,bintang 5,
"serum whitelab ini bagus d pakai.. cocok d saya ,,menyeram jg saat d pakai",bintang 5,8 bulan lalu
udah repurchase kesekian kali masih tetep nyaman banget dipake. real mencerahkan (setelah pemakaian rutin ya!) dan cocok di kulitku. thanks whitelab semoga sukses selalu!,bintang 5,6 bulan lalu
"maaf baru ngasih ulasan, setelah beberapakali ganti serum niacinemide yang paling nampol ternyata serum ini, ini beneran guys gaboong serum ini kecil kecil tapi jangan di...",bintang 5,11 bulan lalu
"Cocok di kulit, nggak bikin kulit kering & bikin kulit glowing",bintang 5,
Tolong packing dipercepat lagi ya seller. Packing aman lah. Barang ori dan expired masih lama.,bintang 5,8 bulan lalu
"Bahanya ringan gampang diserep, cocok untuk menghilangkan noda hitam bagus bgt pokoknya 😚",bintang 5,9 bulan lalu
"sebelumnya pake whitelab yang niacin 5%, itu enak banget dipakenya, cepet meresap, gak gerah, meskipun efeknya ga gitu ampuh ya buat bekas jerawat di kulitku, tapi one of...",bintang 5,8 bulan lalu
"tekstur cair bening ringan di kulit wajah cepat meresap untuk hasilnya belum kliatan karna aku baru pake so far cocok diaku
Mudah2 an bagus ya",bintang 5,
"Suka pake whitelab, worth the price. Cocok dengan kulitku",bintang 5,
"bahannya ringan& mudah diserap, packing rapih bgt & safety. tipe kulitku berminyak",bintang 5,
"Gak ada dpt free productnya. Buat serumnya sebelumnya coba yg travel size dan trnyata cocok n agak cerahan dikit,",bintang 5,
udah RO kesekian kalinya... dah gak diragukan lagi utk pelayanannya.. semua sesuai dengan yg kita request..,bintang 5,6 bulan lalu
selalu cinta sama loca product 1 ini. bagus dan packaging jg selalu aman. thanks seller!,bintang 5,
Smg makin kecil pori-pori dan makin bersih dr bekas2 jerawat,bintang 5,1 bulan lalu
"pengemasan cepat dan aman, pengiriman cepat, semoga cocok SM serumnya buat mencerahkan
terimakasih",bintang 5,9 bulan lalu
Beli ini karena doktif. Semoga bener2 bs mencerahkan kulit badak ku,bintang 5,6 bulan lalu
"skincare favorit udah 2 th pemakaian kulit wajah sehat, ini yg aku mau dr dulu, love banget sama whitelab, 😘🥰 se cinta itu harga jg pas, apalagi klw pake promo dr tokpe...",bintang 5,10 bulan lalu
Bahannya pas dan tidak perih. Sudah pakai beberapa hari tdk ada masalah. Terima kasih seller 🙏🙏🙏,bintang 5,8 bulan lalu
"aman banget ga pengemasannyaa, enak di pake",bintang 5,7 bulan lalu
"bagus banget serumnya, sudah cocok pakai ini pengiriman cepat",bintang 4,9 bulan lalu
