review,rating,date
"Aku campur dark brown + black, pakenya harus tebel ya jadi lumayan tahan & strong warnanya , tipe alisku tebal ditengah aja di ujung bagian luar tipis 😅",bintang 4,3 minggu lalu
"Alhamdulillah Pket Henna alisnya ud datang dgn selamat, kemasan rapi gk ada yg cacat tokonya amanah sekali belum di coba semoga cocok dan awet 🤲👍",bintang 5,1 bulan lalu
"Mantull siii, warnanya sesuai banget sama yang di mau🥰😍 cakep bgt warna dark brownny di muka kuning langsat cerah😁",bintang 5,3 minggu lalu
"Henna alisnya ud sampe mudah""n sesuai sm janjinya yg awet 72 jam",bintang 5,2 bulan lalu
"barangnya udah lama nyampe... baru sempet di unboxing . baru aja di coba, tuk yg malas ngalis tiap hari, Brown tinta henna alis sangat ngebantu banget . maaf ya enggak ad...",bintang 5,1 bulan lalu
"Pertama make kaki bgt tanganku, soalnya biasa pake yg alis cetak",bintang 5,3 bulan lalu
"barang ya udah yampe ni,moga bagus hsil pas di pake nanti...",bintang 5,3 bulan lalu
"Terimakasih ka seller barang nya udah sampai dengan selamat,, semoga dagangan Kaka laris manis aamiin 🤲",bintang 5,2 bulan lalu
"Yeaayy.. yg ditggu udh dtg, sesuai orderan moga2 cocok, thanks seller",bintang 5,2 bulan lalu
"Pesanan cepat sampai,belum dipakai semoga bagus,karena sebenarnya males setiap kerja mesti bikin alis dulu,pingin yg praktis,hemat waktu",bintang 5,2 bulan lalu
"Udah sampe semoga aja cocok,,biar nggak capek ngalis tiap mau pergi
Packagingnya safety bgt lg",bintang 5,1 bulan lalu
"Warna: Brown
Alhamdulillah sdh nyampe,, semoga cocok karena baru mau dicoba, tks seller n kuriirr👍🏻🙏🏻",bintang 5,3 bulan lalu
Pengemasannya bagus semoga tidak mengecewakan Henna alisnya,bintang 5,3 bulan lalu
Semoga tahan lama ya...semoga cocok warnanya...packing aman,bintang 5,2 bulan lalu
"Alhamdulillah paket saya sdh sampe.
Pertama kali order, mau coba.makadih atas semua nya",bintang 5,1 bulan lalu
"Daya tutup: Kuat
Warna: Browen
Manfaat produk: Buat halis
Performa: Bagus bener bagus dan bener ngga geser bagus",bintang 5,1 bulan lalu
"bagus tidak gampang pudar, dan gampang pengaplikasiannya karena ada kuasnya",bintang 5,1 bulan lalu
"Lumayan lah,,,sayang cuman bertahan paling 1 hari ,,,warnanya udah pudar,,,,",bintang 4,1 bulan lalu
Bagus.  Gak mudah luntur.  Saran klo pake jangan terlalu kedpan.  Cukup sisain sperempat bagian depan lalu di arsir  kedepan.   Klo sekiranya bagian pinggir terlalu lebar...,bintang 5,
"Barang cepat sampai, kualitas oke, pokoknya gak nyesel si kalo beli, buat saya yg suka ngalis, pas lg capek males ngalis, ini rekomend banget",bintang 5,3 minggu lalu
Sudah mencoba bahkan menunggu sampai 30 menit tp klo di kosok kuat sikit jak pasti tidak akan bertahan lama.,bintang 4,1 bulan lalu
"Barang nya br dtg langsung d coba,lembut d blennya langsung nempel",bintang 5,3 bulan lalu
"Paket barang lengkap datang na,,sudah d pake tp gak bertahan lama,,mgkin trgantung type kulit ya,,krn kulit ku type oily jd gak bgt lama stant henna na",bintang 4,2 bulan lalu
Barangnya SDH mndarat kak ....trima ksih lucu pngemasaanya ...smoga ccok awet dn TDK mngecewakn ....,bintang 2,3 bulan lalu
"Warna: Natural Brown
Jenis kulit: Berminyak
Alhamdulillah nyampee lngsung tertarik sama produk ini pas liat video nya di FB, lngsung beli dan yaa ga kecewa bener2 bagus d...",bintang 5,3 bulan lalu
Kereeenn produknya. Packingannya juga bagus banget. Salut sama toko ini...Hasilnya pun sesuai iklan,bintang 5,2 minggu lalu
