review,rating,date
"Paket sampai pengiriman cepat 
Suka bgt sama tmptnya mewah😍.
Tapi kenapa pas dibuka nempel ditutupnya
Jadinya rada sompel lips glownya
untung bisa dimasukin lagi ketmptn...",bintang 5,1 bulan lalu
"Warna: Pink
Daya tutup: Kokoh
Manfaat produk: Melembabkan bibir
Jenis kulit: Kering",bintang 5,1 bulan lalu
"suka banget sama FEALI Lip Glow ini! warnanya natural, bikin bibir keliatan sehat. teksturnya lembut dan melembapkan, cocok buat dipakai tiap hari. overall, ini worth it...",bintang 5,1 bulan lalu
"bagus, cuma warnanya kurang keluar di aku",bintang 5,3 bulan lalu
"bagus bgt pkonya, gaada yg jelek pelayanan nya juga bagus, minus nya kurang wangi hhe",bintang 5,1 bulan lalu
"Warna: kta nya shade 10 natural warnanya agak pink Kya gitu, ko ini ga ada yah ka?
Daya tutup: erat, kencanv",bintang 5,1 bulan lalu
"Cantikk lipstik nyaa lucu bentuk nya , warna nya bikin cerah",bintang 5,4 minggu lalu
"Lip gloe nya sampai kmrin siang packing aman rapih Respon baik brng sesuai yg di pesan bikin bibir lembab, wanginya kaya kelapa gtu... Smoga ajah rutin di pakai bisa biki...",bintang 5,1 bulan lalu
"Barang sampe dalam keadaan baik... Packingnya juga rapih banget... Aku suka banget sm lip balm ini... Ud pesan ini 2x, produknya juga bagus banget👍👍👍",bintang 5,4 bulan lalu
"baguss bgt barangnya sesuai pesanan, ga bakal kecewa deh pokoknya 🤍💗",bintang 5,1 bulan lalu
"Warna: #012
Manfaat produk: bikin melembabkan bibir dan warna nya bagus banget ga nyesel sih pilih produk ini❤",bintang 5,1 bulan lalu
"Warna: pink
Daya tutup: Simple menarik
Manfaat produk: untuk melembabkan bibir
Jenis kulit: Sesuai
Performa: Bagus cocok di pakai tiap hari supaya bibir tidak kering
harg...",bintang 5,1 bulan lalu
"bagus wadahnya,lucuuu juga tapi kurang suka ama baunya",bintang 4,1 bulan lalu
