review,rating,date
"maap baru di review, cushion nya lumayan cukup bagus lah, pas dengan warna kulit, dan sesuai dengan harga, respon seller cepat, pengiriman juga cepat, paking cukup aman d...",bintang 5,5 bulan lalu
"barang datang tepat waktu. bahan ringan, warna oke. tidak ada cacat. dapat bonus 5 item. harga murah. semoga cocok.",bintang 5,4 bulan lalu
"hasil bagus dimukaku, walau agak kecewa karena berharap dpt free sunscreen yg spray tapi gpp karena produk bagus dan harga cukup aman di kantong",bintang 5,8 bulan lalu
"gemess 15k dpt 6pcs 🤭. cushionnya ringan, enak ga lengket, hasil matte, tp coveragenya minim dan tetep masi transfer, blm tau oksidasi atau ga. bonusnya worth it bgt min...",bintang 5,6 bulan lalu
bahan nya ringan ga bikin dempul pokonya thebest lah rel pict,bintang 5,6 bulan lalu
"pesanan sesuai, packing rapi dan aman banget untuk pemakaian belum dicoba sih
ga expect bakal ada giftnya 
terimakasih kak",bintang 5,6 bulan lalu
"My favorite makeup 💄❤️
Great Stuff, Price, Seller, Response, Packing and Delivery.. 
Good Luck and Thanks 😊",bintang 5,5 bulan lalu
"sejauh ini cocok, shade warna juga masuk. coverage bagus tapi tidak terasa dempul. tersedia refill kan, madame gie?",bintang 5,8 bulan lalu
"sayangnya shade nya kegelaoan, padahal cushion ny bagus banget, ringan di kulit aku",bintang 5,2 bulan lalu
"beneran dapet free gift dongg😍😍😍😍😍 Happy, cushion nya bagus banget, awet jugaaa, di pake sehari hari buat sekolah bisa bangettttt🩷🩷🩷🩷🩷",bintang 5,3 bulan lalu
"Dapat banyak bonus check out pas 11.11 dapat 25 ribu murahhh bangetttt
Semoga shadenya cocok sama muka",bintang 5,6 bulan lalu
Sbg pengganti foundi atau bedak lgsg satset makeup cpt selesai menutup sempurna dosa2 di wajah,bintang 5,2 minggu lalu
"tipe kulitku normal under tone kulitku netral BAGUSSS BANGETT SUKAA HANYA 50RB DAPET FREE 5 ITEMS TAPI SEDIHH :( GADAPET SUNSCREEN PADAHAL KATANYA DAPET SUNSCREEN SPRAY,...",bintang 5,11 bulan lalu
bagus banget cocok sama shade kulit akuuu,bintang 5,10 bulan lalu
"Jujur dengan harga segitu baguss sihh, kemarin dapet harga 25 ribuu diaku shade 02 undertone natural to cool itu cocook bgt sih soalnya kalau pakai 03 kegelapan huhuww, f...",bintang 5,1 bulan lalu
