review,rating,date
"Pengiriman cepat, packaging aman, product bagus, sesuai pesanan, tinggal dicoba.
Thanks seller",bintang 5,8 bulan lalu
"Warna, dan tahan lama, tekstur bagus, dan cocok di warna kulit aku",bintang 5,6 bulan lalu
"Respon penjual cepat, barang diterima tepat waktu dan barang bagus.",bintang 5,6 bulan lalu
finishnya matte. tahan lama. warna pas cantik. transferproofnya oke. terimakasih,bintang 5,7 bulan lalu
"nyobain punya temen, ternyata pas dipakai ringan, tidak bikin crack di bibir, warnanya cocok dikulit",bintang 5,1 bulan lalu
"warna sesuai dengan pesanan, semoga cocok dan awet.. paket diterima sudah digunakan.. terimakasih",bintang 5,6 bulan lalu
"pigmented banget, utk transferproof masih transfer sih sejauh ini. buat yg bibir sering kering mending hrs punya yg bisa melembabkan juga biar di pke brengan",bintang 5,6 bulan lalu
"sesuai orderan, warna dikemasan dengan aslinya sedikit beda.. smoga cocok.. seller ramah.. terima kasih",bintang 5,9 bulan lalu
"Warnanya cocok buat aku, trs ringan banget n awet. Dapat promo 25 rebu gass deh",bintang 5,6 bulan lalu
"pengiriman cepat banget sampai, sudah punya 2 shade checkmatte sebelumnya, sekarang mau coba shade lain",bintang 5,6 bulan lalu
"Packagingnya bagus
Warna lipstick nya pun oke dan pas",bintang 5,7 bulan lalu
Beli 1pc tapi packingnya bagus bgt pake buble warp jg dan dikasih bonus sampel serum😍,bintang 5,6 bulan lalu
Warnanya bagus dan cocok dengan tone kulit aq,bintang 5,7 bulan lalu
"transferproof, tahan lama, & ringan di bibir",bintang 5,6 bulan lalu
ringan bangettt pas dipakee😍😍 kemakan iklannya dilan ternyata emang sebagus ituuu😭🫶🏻,bintang 5,7 bulan lalu
"repurchase entah yang ke berapa, so far enak buat dipake di bibir, cukup tahan lama juga. buat base ombre juga cakep banget",bintang 5,6 bulan lalu
"warna nude nya bagus buat ombre, lumayan tahan lama dan waterproof juga",bintang 5,6 bulan lalu
