review,rating,date
"Packaging-nya bagus dan rapi, warna liptint jg cantik bgt sesuai dgn warna bibir, gk kering di bibir. Thank you",bintang 5,2 bulan lalu
"baru nyoba merk jiera ini karna racun tiktokk, jujurly shade ini bagus bangett. cocok buat tan skin karna wrna nya coklat merah gitu. terimakasih kak seller",bintang 5,2 bulan lalu
"Mantap nih jiera, aku pake tipis2 aja biar cepet kering tetep ga transfer, tq kak ular udh effort pembuktian 😭👍🏻",bintang 5,2 bulan lalu
"beli krna berseliweran di fyp katanya bagus.. DAN IYAA!! ini bagus banget, ga bikin kering sama sekali, packaging lucu, stainnya oke, pas di apply minim garis bibir 😭❤️...",bintang 5,2 bulan lalu
"barang sampai dengan selamat sampai tujuan, barang sesuai dengan di review kak ruby di vt nya warnanya juga bagus, harga dan ongkir yang sangat terjangkau. Nggak bakal ny...",bintang 5,2 bulan lalu
Alhamdulillah sesuai ekspetasi malah melebihi😭🫶🏻🥰🫰🏻. Warna nya cocok + naturally buat orang² yg punya 2 tone lips🥹👍🏻 awal² cokelat ada hit merah bata tapi sediki...,bintang 5,1 bulan lalu
Baguss ini wrna lip yg selama ini aou cari cari warna bikin keliatan cerah di mukaa luvv bgt jiera udh menciptakan lip sebagus shade 03💗💗💗,bintang 5,3 bulan lalu
Alhamdulillah peptint nya sudah sampai. Penasaran bngt dg shade Poppy Ruby. Ternyata peptint nya ringan di bibir.,bintang 5,1 bulan lalu
Packing nya sangat sangat aman,bintang 5,3 bulan lalu
"Aku coba bawa makan, ilang😁, Memudar.",bintang 3,2 minggu lalu
Kicik yaa ternyata tapi warna nya baguss,bintang 4,1 bulan lalu
"Belum d cobain semoga bener2 awet untuk pemakaian nya, next bakalan order lagi",bintang 5,4 hari lalu
"kemasannya baru ya? kirain palsu
soalnya pas dipake ga stain🥲malah cepet ipang. pliss ini aku dikirimin yang asli apa palsu sig",bintang 4,1 bulan lalu
Makasih ya paket nya udah datang semua dan lengkap 🥰🥰🙏🙏,bintang 5,1 bulan lalu
"warnanya sesuai ekspektasi, ketika diaplikasikan warnanya merata, jadi tidak menempel ditengah saja. Pengiriman juga termasuk yang cepat dan packaging tebal 
Keren keren",bintang 5,2 bulan lalu
"Barang sudah sampai 
Dipake ringan banget di bibir, nggak bikin bibir kering juga,, lembut juga,,
Lumayan stain juga..",bintang 5,1 bulan lalu
"Bagus banget produk nya ,untuk testurnya kyk jelly gtu trus pas di pakai ada sensasi dinginnya aromnya ga nyengat,untuk stainnya juga aman. Packaging nya aman bnget buble...",bintang 5,2 bulan lalu
"Warnanya cakep, rada gelap dri yg difoto. Ngga stain tp isokey. Better ombre dripd make full.",bintang 4,2 bulan lalu
"Warna: Poppy ruby
Daya tutup: Kuat
Manfaat produk: Mempercantik bibir
Performa: Bagus",bintang 5,1 bulan lalu
Seneng banget iseng ngecek kranjang kok harganya 15ribu ini beneran apa bohong iseng dico eh beneran 15ribu tpi cuma bisa 1pcs kalo 2 harganya balik normal yaudah gpp rej...,bintang 5,1 bulan lalu
bagusss bngt tahan lama juga cuma emng barang nya kecill poll moga ada ada ver besar nya biar sekalian gitu ga kecil kecil,bintang 5,3 minggu lalu
"Bagus bisa nutup bibir item, ringan enak dipakai, rekomended",bintang 5,1 bulan lalu
"Barang datang sesuai estimasi, packing baik, orderan sesuai. Tekstur lembut gak bikin bibir kering, warna cantik, lumayan tahan lama, transferproof. Terimakasih",bintang 5,2 bulan lalu
"Barang sampai dengan selamat, utk pemakaian di bibirku jadi kaya pink gelap gtu, mungkin krna lips ku termasuk yg gelap, tp overall bagus, thanks seller",bintang 5,2 minggu lalu
"Aaaa suka banget shade nya, karena lebih ke arah cool tone untuk aku medium skin 😭. Ini tuh beda formula packaging atau gmn ya? Soalnya yg shade 04 masih begitu packagin...",bintang 5,6 hari lalu
"Barang dah smoai dengan aman
Warna: Okee
Daya tutup: Okee
Manfaat produk: Bibir jadi lebih fres
Jenis kulit: Warm
Performa: Bagus siih cocok di aku yang warm semoga awat",bintang 4,2 bulan lalu
liat review orgirg kaya wow bgt ni produk aku beli buat inner ombre gt bagus sih warnanya dan stainnya juara bgt sesuai diblg influencer ditiktok thank u so much seller b...,bintang 5,1 bulan lalu
Dicoba utk sementara masih ga kuat tahan lama.. utk warna sih suka,bintang 5,1 bulan lalu
"kukira warnanya pink soft gitu, ternyata pink yg merah gitu tapi tetep bagus, dibibir two toned juga cakep",bintang 5,2 bulan lalu
"menurut aku yg kuliat nya sawi matang nomor 02 terlalu orange sih dan ga terlalu nyata jga warna nya, but it's okay lah",bintang 5,1 bulan lalu
"tetap cinta krna stain nya mantapp beut, tpi ngga buat pengirimannya lamaa bangettt 1 Minggu lebih padahal masih di pulau Jawa 😞😞☺️(i got a new packaging 🩷) so cute",bintang 5,3 minggu lalu
"Suka banget banget...ringan di bibir,nggak bikin bibir ngelupas,dan bener sih no 02 cantik banget,",bintang 5,1 bulan lalu
"Pengiriman cepet, packingan aman
Wangi nya enak but belum aku try on
Tengkyu jiera",bintang 5,1 minggu lalu
"sukaaaa buangetttt huwaaaaaa ,ga berat banget di mulut aku kek ga berasa pake ,wangi juga ,trus warnanyaa yang paling penting bagus buangett i like it plisss mau check ou...",bintang 5,1 minggu lalu
"bagus cuma emang bau nya kaya Henna ya?, ini cocok nya cool tone undertone ya? buat natural undertone + two-tone lips lebih baik buat ombre aja sih",bintang 5,1 bulan lalu
"Terimakasih liptint nya sudah sampai, penasaran sama liptin nya eh ternyata bagus warna merahnya juga ga gonjreng, ga bikin bibir kering, dapet harga murah .. suka deh, m...",bintang 5,2 bulan lalu
"BAGUUSSS BANGETTTT, PAS BARU DIPAKE DINGIN RASANYA, WANGII MANISSS JUGAAA, PEERRRTAMMAAA KALI BELIII LANGSUNG JATUHH CINTAAA💗💗💗
aku kira shade ini lebih ke nude natura...",bintang 5,2 bulan lalu
"((real pict ya ini)) produknya bagus poll kakkk😭😭 ga nyesel sih beli ini!! beneran deh recommended sekaliii😍😍😍 tahan lama, ngga transfer jugaa, dibuat makan juga mas...",bintang 5,3 bulan lalu
"baguss, ga bikin kering luv.
tapi mungkin jiera bisa keluarin shade yang rada pinky pinky 🫰🏻🥰😘🥰🫰🏻🫰🏻",bintang 5,2 bulan lalu
"baguss, warna nya juga cakepp cmn aku kayanya salah pilih warna but it's okeii karna ttp cakep di bibir aku",bintang 5,1 bulan lalu
cakep banget kayak warna bibir pas diswatch tadi,bintang 4,1 bulan lalu
"Overclaim. Katanya tahan buat makan minum, bahkan ada yg review buat ujan2an ga ilang. Nyatanya cpt ilang ah ga tahan lama. Dahlah yg penting ga penasaran lagi",bintang 3,2 bulan lalu
"Lip nya, menutupi bibjr gelap, wrna nya sya suka, ringan jga d bibir.",bintang 5,2 bulan lalu
"Realpict sesuai dengan yang dipesan 👍 cepat pula sampai'a 👌 packing nya juga rapih extra bubblewarp 👍 Tpi ga tau awet atw engga di bibirku, semoga aja bgus dn wate...",bintang 5,1 minggu lalu
"Kemarin sempet ragu sampe batal pesen. Bingung shade apa, dichat admin trus tanya2, dikasih saran co yg pansy brown ini, undertone ku neutral to warm ya. Dan cocokkk bgt...",bintang 5,3 hari lalu
Bagus tapi ngak nyatu ke bibir ap krna bibir ku agak hitam jadi ngak kelihatan ya 🤣🤣🤣 ap salah pilih warna ah sudah lh,bintang 5,2 bulan lalu
ini kok beda ya kak packaging nya apa model baru ya,bintang 5,
"Mantaapppp, gampang di blend ringan banget wangipoolllll",bintang 5,2 bulan lalu
"Warna: Bagus bangeetttt
Daya tutup: Aman
Manfaat produk: Melembapkan bibir
Jenis kulit: Sawo matang
Performa: Baaguuusss bgt",bintang 5,2 bulan lalu
"best sih emg, beli JIERA gara2 kak ruby😭, reviewnya 100%jujur, kereennn",bintang 5,2 bulan lalu
cakep buat ombre dan kulit sawo matang bagus nih,bintang 5,2 bulan lalu
"baguss banget, cepet juga pengirimannya 😻😻😻
Warna: 03 zinnia red",bintang 5,3 minggu lalu
"Color: Rose Toffee
Coverage: Full
Performance: Stain
Yang ini juga cakepp banget buat yang bibir nya two tone, warna nya pink cakeppp, dan kalau beli 2 dapet gratisan top...",bintang 5,3 minggu lalu
"Color: Pansy Brown
Coverage: Full
Performance: Stain
Buat yang bibir nya two tone, INI BENERAN BAGUSS SUMPAHH warna nya jadi merah bata soft cakeppp dah, dan dapet gratis...",bintang 5,3 minggu lalu
bagus bangettt cakep warna nya ringan banget 🥰,bintang 5,1 bulan lalu
ini lembut banget ringan juga trus gbikin kering ga expect bisa se enak ini warnanya jga bagus cocok buat skola suka' mau beli lgi lain warnanya. natural suka,bintang 5,1 minggu lalu
"syok dikit, ternyata makin kecil ya, so sad",bintang 4,1 minggu lalu
"akhirnya kebelii jiera lagii, huhuu tapi aku salah SHADEE😔😔. niatnya mau nyobain warna lagi,  ternyata ga cocok pls yg ini",bintang 5,1 minggu lalu
"pengirimannya cepett, trus stainnya juga lumayan",bintang 5,1 bulan lalu
"Pesanan sdh mendarat dgn selamat.tanpa kurang suatu apa pun
Warna: Saffron ale
Daya tutup: Cukup rapat
Manfaat produk: Menghaluskan bibir serta mengurangi garis halus",bintang 5,3 bulan lalu
"Bagus suka ringan di bibir jg
Bikin garis bibir ilang lembut bgt
Ekpedisi aman, kurirnya ganti donk yg langganan aku aja",bintang 5,4 hari lalu
"formulanya emang beda sama yang packaging lama, yg baru kerasa lebih lembab di bibir aku ^^",bintang 5,2 hari lalu
"Paketnya udah dateng barang lengkap gak ada kekurangan atau kesalahan  apapun , packing safety dan rapi terima kasih ya..",bintang 5,1 bulan lalu
"warnanya cantik cocok buat tone neutral warm, ngecover bibir two tone ringan di bibir",bintang 5,2 bulan lalu
"Alhamdulillah brg nya smp dgn selamat, pengiriman cepat, pengemasan rapih bubble wraps tebel bgd,. Sellernya Baik syekali ramah tamah sopan santun 
Terima kasih Seller ma...",bintang 5,2 bulan lalu
"GILAKK INI SHADE YG GUE CARI' BJIRRR sukakkk bgt sm wrnanya plsss kek knp ga dr dlu ada wrna ini? knp bru kluar ih, trs wrnanya jg ga gmpng ilang ko gess aman, pkonya...",bintang 5,1 bulan lalu
"Warnanya cantik sesuai di foto,stainnya 3/5⭐ setelah dihapus masih ada warnanya",bintang 4,1 bulan lalu
"BEST BUY BULAN INI😭🩷 awalnya ga pernah suka sama tekstur liptint, tapi Jiera nihh emang dar der dor banget! teksturnya enak, ga bikin kering atau gumpel ditengah, ga bi...",bintang 5,1 bulan lalu
Untuk tekstur inii liptint yg ku cariiii.. Tapi gatau deh kalo ketahanan.. Kalo beli lagi berarti cocok,bintang 5,3 minggu lalu
"Sesuai pesanan,pengiriman cepat & harga murah.kalau di aku mudah luntur sih kalau makan yg berminyak.bibir yang lembap jg mudah transfer.kek nya ini cocok sama tipe b...",bintang 4,2 bulan lalu
"Sesuai pesanan,pengiriman cepat & harga murah.kalau di aku mudah luntur sih kalau makan yg berminyak.bibir yang lembap jg mudah transfer.kek nya ini cocok sama tipe b...",bintang 4,2 bulan lalu
"Lipstik nya encer,gak nempel dibibir klw di pake dan pait"" gtu.sayang beli mahal"" gak bisa d pake😇😇",bintang 1,3 bulan lalu
"udah pake ini 3 botol , emang bagus sih aku cocok pake liptint dari pada pake lipstick 😪",bintang 5,1 bulan lalu
warnanya cakepp tahan lumayan lama tp tetap tansfer kalau di aku. but overall oke si,bintang 5,1 bulan lalu
"GUYSSSSSS SHADE 05 BUAGUS POLLLLL, di aku jadi MLBB padahal bibir aku two tone tapi jadi pink sehat gituuu LOVE IT SM",bintang 5,3 minggu lalu
"barangnya sudah sampai dengan aman, dikemas dengan sangat baik.",bintang 5,1 bulan lalu
"Pleasee ini cute bngt,trs lip nya nempel,ga tebel
Pokok nya nyerap bngt ke bibir,tahan,inti nya bgus bngttttt🥰😍",bintang 5,6 hari lalu
