review,rating,date
"Warna: Dear gracia
Daya tutup: Kuat
Manfaat produk: Nutupin warna gelap didibir
Jenis kulit: Cocok banget diwajahku yang sawo matang auto langsung cerah dan glowing
Perfo...",bintang 5,1 minggu lalu
"Barang sudah sampai pertama x beli lip stainnya, udh coba lip stainnya harum banget di set kebibir pertama x dia agak lengket gitu dan cepat ngesetnya dibibir, pekingny j...",bintang 4,1 bulan lalu
"Warna: Dear Gracia
Daya tutup: Bagus
Bagus banget suka hasilnya super mate",bintang 5,2 bulan lalu
"Warna: Dear Sabrina
Daya tutup: Kuat
Alhamdulillah barang mendarat dengan aman, cocok untuk daily sehari-hari ni warnanya. 🤗",bintang 5,1 bulan lalu
"Suka bnget, dan tahan lama.. Transfer pertama doank dikit, stelah itu wow merahnya bgus bnget. pakaging nya cakep pol, bisa masuk ke tas kecil aq yg slalu ku bawa kmn&#34...",bintang 5,1 bulan lalu
Datengnya cepet bgt padahal aku baru beli kemaren😭 makasih juga promonya aku beli 100rb dpt 3 warnanya bagusss aku aga sayang sama sabrina warnanya ga bagus di aku terny...,bintang 5,2 bulan lalu
"sempet kaget karna kotaknya bolong, tapi beruntung barangnya aman dan baik",bintang 5,1 bulan lalu
Bagus warna nya nute cocok untuk bibir kering,bintang 5,1 bulan lalu
"Packagingnya rapih, aman, terus sy suka bentuknya lucu imut, hanya sayang sekali tidak sesuai yg di tiktok ini tetep menempel di tisu dan warna tidak keliatan perubahanny...",bintang 3,1 bulan lalu
"Makasih kaka lipstiknya bagus banget lucuu banget harummmm lg. Mantappp😘😘😘
Warna: Sabrina
Daya tutup: Rapat
Manfaat produk: Bibir
Jenis kulit: Kuning langsat
Performa:...",bintang 5,6 hari lalu
"First time cobain.. 
Wanginya enak bgt
Packaging nya lucu sangattt aaaa
Tpi trnyata warna shade nya yaa trgantung warna bbir kita yaa.. D orang lain mungkin warnanya apa...",bintang 5,3 minggu lalu
Bagus banget stainnya awett tapi warnanya di aku kek merah bata gtu ya,bintang 5,2 minggu lalu
"Paketnya sdh sampai,bagus bnget lipstiknya bener2 waterprof pdhl udah d cuci udah d gosok2 jga tp ttp ga ilang..makaaih kak sukses selalu",bintang 5,1 bulan lalu
"Finnally dia datang kepadaku 🥹🥹 
Setelah drama gracia selalu sold out akhirnya dapet juga 😭😭😭
Warnanya bagusss dibibir gelap kaya aku ketutup dan warnanya cantik ban...",bintang 5,4 minggu lalu
