review,rating,date
Si kecil tapi awet nya sampai berbulan-bulan ✨,bintang 5,Si kecil tapi awet nya sampai berbulan-bulan ✨
Terimakasih paket sudah sampai sesuai pesanan,bintang 5,3 bulan lalu
"Pengiriman cepat, brg sesuai, harga miring dibanding yg lagi live murahan disini",bintang 5,2 bulan lalu
"bagus emg foccalure yhh, gud gud ripiuw jujur dari acuh, gada bedanyah sm 04 kirain 05 warnanya item pekat tapi gak terlalu pekat masi terlihat coklat tua, mksh mantap❤️�...",bintang 5,1 bulan lalu
"Bagus sih buat pemula tapi gak waterfop cepet hilang ke gesek tangan juga, tapi lumayan buat pergi kondangan pake sifat😂",bintang 5,5 bulan lalu
Bagus banget tapi pengirimanya agak lamaa,bintang 5,2 bulan lalu
"Mantap, udah habis 3. Pengiriman jg cepat.",bintang 4,4 bulan lalu
"packaging nya amann bgtt, cepet bgt sampe nyaaa, dan buat harga segitu worth it to buy sihh cumann aku salahh ambil warnaaa tapii tetep okee kokk seller nya fast responnn...",bintang 5,4 bulan lalu
Hahah jngn salfok sama alis dan mata gue🤣 lagi belajar wey haha. Worth it si ini buat pemula yg mau belajar ngalis . Soalnya gampang bgt ngukirnya . Next mau beli yg 05...,bintang 5,1 bulan lalu
Allhmdulilh udh nyampe 🥰 puas banget pengiriman cepat,bintang 5,4 bulan lalu
Bagus mudah d bentuk..ini masih pemula .Skrang udh gak repot² lagi pkek pensil alis😁,bintang 5,3 bulan lalu
"Bagus banget, buat aku yg mau belajar ngalis.. td nya bingung mau shade yg aman trs pilih yg 04 warna yg natural y menurut aku",bintang 5,5 bulan lalu
"Ok barang sesuai
Langsung di pake dong",bintang 5,1 bulan lalu
Udh dcobain 😁😁 buat ngalis ok bgt wrn ny,bintang 5,3 bulan lalu
"Warna: ebony
Manfaat produk: untuk ngalis
sumpa bagus baget, ku kira ga waterproof ternyata waterproof 🤩",bintang 5,2 bulan lalu
Ternyata warnanya kaya kecoklatan yaa tapi Alhamdulillah bagus🤗😅,bintang 5,3 bulan lalu
Bagus banget sesuai pokok nya warna Yg aku mau pokok nya real pick,bintang 5,1 bulan lalu
"Bagus, Pelayanany baik, Terimaksih sukses slalu kak",bintang 5,3 bulan lalu
Bagus pengiriman cepat 1 hari udh dtng,bintang 5,7 bulan lalu
"Warna 04 di foto hitam, tapi Dateng kayak nomor 03 coklat🤦🏻‍♀️",bintang 3,1 bulan lalu
"Bagus banget,,,, mudah d aplikasikan 🥰👍👍👍",bintang 5,
"Realpict...tinggal belajar ngalisnya,,😃",bintang 5,1 bulan lalu
Pengiriman cepet sesuai pesanan🔥❤️⭐️⭐️⭐️⭐️⭐️,bintang 5,2 bulan lalu
"Terima kasih,,, paketnya sudah sampai,,,dan kurirnya rama,,,👍👍sekali lagi terima kasih",bintang 5,2 bulan lalu
ka saya pesan yang bulet sesuai poto knpa yang datang yg pensil tidak sesuai penjual tidak amanah,bintang 1,1 bulan lalu
Bagusss banget sukaa sama tekstur nya,bintang 5,5 bulan lalu
"Barangnya sudah sampai,sesuai pesanan",bintang 5,4 hari lalu
Kecewa bgt beli eyebrow malah dikirim dapt masker muka doang rugi kek ga amanah bgt,bintang 1,
"Bagus barang nya, gak nyesel dehhh",bintang 5,
"Warna: Okk
Daya tutup: Rapih
Manfaat produk: Bagus
Jenis kulit: Untuk semua jenis kulit",bintang 5,2 bulan lalu
