review,rating,date
"Bagus banget shadenya pas , semoga cocok di muka , dari tampilan oke banget",bintang 5,2 bulan lalu
"Sangat puas dengan pesanan ini, tokonya amanah dan hasil nya waktu di aplikasikan di wajah itu menempel dengan sempurna di pake seharian ga luntur tahan lama",bintang 5,1 bulan lalu
"Bagus poll,ringan dan packaging nya lucuuuu( no gimick) ( no endorse)",bintang 5,1 bulan lalu
"Biasa pakai skintif** coba” ganti ke yg lain katanya ini bagus, hemmmm baru pertama kali pesaan udh salah, co yg 03 Fawn yg datang 02 brich parah sih, bikin kapok",bintang 2,1 bulan lalu
"Tekstur ny creamy gampang di blend,ringan jg tampilan packaging elegan,perdana order",bintang 4,2 bulan lalu
"Sudah saya laki dan saya kasih nilai 11/10. Coveragenya mantul tapi tetap terasa ringan , pokoknya mantap deh👍🥰",bintang 5,3 minggu lalu
"Pertemaw aku mau mengucapkn trima kaaih kepda perancang bentuk timephoria timeless lumina matte, krna menurutku bntuk nya yg bulat tp tidak bulat sangat2 unik. Aku suka....",bintang 4,2 minggu lalu
Kemasannya lux dn elegan. Blm nyoba sih. Tpi mdh2n bagus hasilnya dn sesuai sama warna tone  aku. Pengiriman cepat dn dibuble wrap. Jd aman. Thank you,bintang 5,2 bulan lalu
"Maa SyaaAllah tabarokallah,ini bener2 bgus bgt cushion nya,trs cpt meresap dn TDK lengket SM sekali,ringan dimuka♥️trs TDK ngecrek juga ini sih cushion terbagus yg prnh A...",bintang 5,1 bulan lalu
Bgaus BGT semoga dipake beneran blurring effect💙💙 expired masi lwamaa🙌,bintang 5,1 bulan lalu
gak ekspek se-coverage itu! dikirain bakal terlalu putih tapi ternyata cocok aja. would love it more kalo ga bikin smile line keliatan crack sih,bintang 5,2 bulan lalu
"Warna: Pas banget
Daya tutup: Amazing
Jenis kulit: Normal",bintang 5,1 minggu lalu
"Cushionnya sdh sampai.. semoga cocok, dan bagus sesuai dengan claimnya bisa menutupi noda².. klo cocok dan bagus bakal repurche",bintang 5,1 minggu lalu
CUAAAKEEPPP POOOLLL,bintang 5,2 bulan lalu
Mantappp..shadenya best di kulit akuuu kek berasa yaudah second skin aja gitu ngga lebay. So far cobain pake seharian dari pagi ke malem aman banget sih yaa ngga terlalu...,bintang 5,2 bulan lalu
Kemasan mewah.bagus😍😍,bintang 5,2 minggu lalu
"harus cepet dibland, karena cepat set.",bintang 5,2 bulan lalu
"Packagingny keren bgt woeeee, teksturny matte bgtt parahh kerenn. Tp cpt oksidasi ngganya blm tau, br nyoba d muka sbntr. Puff ny kurang enak, susah ngeblendd. Ap krna br...",bintang 5,1 bulan lalu
Pertamakali mencoba cushion ini smoga cocok..thanks seller..,bintang 5,4 minggu lalu
"Produk oke,pngiriman oke,,kurir oke,,pngiriman cepat,,,",bintang 5,1 bulan lalu
Barang diterima dlm keadaan baik n sesuai,bintang 4,1 minggu lalu
"Bagus geeess ringan bgt tp medium coverage, buat kulit kuning langsat masih agak gelap sih pake shade ini",bintang 5,2 bulan lalu
Syka banget dgn cushion nya.. coverage banget..menutupi noda2 di wajah..langsung mulus,bintang 5,1 bulan lalu
Cushion packagingnya mewah banget teksturnya juga bagus banget mirip” muve 😭 akhirnya nemuin cushion yg oke banget,bintang 5,2 bulan lalu
aku kira bakal putih bgt n g bkl cocok dikulit muka aku dan ternyata cocok omggg luvvv bgt dehh mana berasa ga pake apa apa lagi😍,bintang 5,1 bulan lalu
"Yg px skin tone putih tp kemerah”an bener banget pke shade ini😍😍😍
Sangat” ringan dan gak mudah luntur❤️❤️❤️",bintang 5,2 bulan lalu
"Cushion nya bagusss bngt awet,THN lama,tahan keringat,pkoknya lgsg ngeset di wajah,ringan di wajah pkoknya puass bngt,,,",bintang 5,6 hari lalu
"Toko nya gx amanah banget gx teliti yg di co nya shade berapa datang nya shade lain gx profesional
Aku co shade 03 datang malah shade 02 mengecewakan",bintang 1,1 bulan lalu
Terima kasih pesanan sampai dengan baik packing Rapi pengiriman cepat,bintang 5,2 bulan lalu
"Packageing nya lucuuu banget, semoga cocok shade nya ke kulit ya",bintang 5,1 bulan lalu
baguss bgtt ini jg anti air ya yo,bintang 5,1 bulan lalu
bagus dipakai ringan warna pas dikulit,bintang 5,1 bulan lalu
"Fomo gara² liat di tiktok, semoga hasilnya se kece review nya",bintang 5,2 bulan lalu
Blm di coba semoga cocok gak bikin oksidasi,bintang 5,2 bulan lalu
"Shed di aku pas,pekejingnya aman",bintang 5,3 minggu lalu
"Mantap banget, packaging oke, produknya juga oke banget! Cushion yang udah dipake seharian tapi gak ada geser sama sekali",bintang 5,1 bulan lalu
"Udah ngincer produknya,, enteng dimukaku... Cuma sepertinya agak oksidasi JD cerahnya beda pas diawal. 
Cuma beneran rasanya enteng diwajah
Warna: Pas
Daya tutup: Medium...",bintang 5,2 bulan lalu
"Maaf baru kasih ulasan cussennya bagus bisa menutupi bekas jerawat dengan baik,pokonya the best untuk produknya,terimakasih",bintang 5,3 minggu lalu
"Bagus
Tapi kirain warnanya bakal kek kuning
Ini malah agak gelap
Tapi bagus kok
Ringan banget di muka",bintang 5,2 bulan lalu
"terimakasih byk yaaa, seller... orderannya sdh sampai",bintang 5,1 bulan lalu
"Pketny cpet dtengny,packng jg rapi
Bentukny lucu,,nggk sabar mau coba",bintang 5,1 bulan lalu
"cap cip cup milih shade nya🤭 tapi ternyata pas, pas sama undertone dan pas sama warna kulit",bintang 5,2 bulan lalu
"Blm dicoba,liat kemasannya bgs dan lucu,semoga sesuai ekspektasi 
Kemasan juga rapi dan dalam kondisi yg bgs,kurirnya jg ramah dan cpt",bintang 5,3 minggu lalu
"Keliatan nya cocok untuk pilihan shadenya ..dicoba td sepertinya TDK oksidasi,ringan di wajah",bintang 4,2 bulan lalu
Kurang cocok utk muka ak yg kering terlalu mate😭tapi gpp krna ak kasih ke temen aku🤭,bintang 5,1 bulan lalu
"Super bagus banget, mengcover tp ga dempul, dan gak cakey, super enak banget di pake",bintang 5,2 bulan lalu
"Sumpah di sini dpt harga paling murah 🥰
Di kirimnya jg cepat 👍",bintang 5,1 bulan lalu
"Warna: Cocok dengan tone kulit saya
Daya tutup: Belum dicoba
Jenis kulit: Putih",bintang 5,2 bulan lalu
Ini bgus bgt si ke caver bgt di muka yg bnyak bekas nya dan cocok di wjh aq shade nya ringan jga juga di pake,bintang 5,
"Cushionnya bagus, sesuai dengan yg dipesan dan sangat cepat proses penyerapannya dikulit wajah",bintang 5,3 minggu lalu
Cakep banget di kulit. Seharian pake. Tapi gak oxydize. Warnanya bedak di muka tetap sama sepanjang hari walaupun  sudah keringetan. Di foto kayak pake filter. Cakeppp ❤️...,bintang 5,1 bulan lalu
Aslinya bagus bgt.. Cuma shade nya ternyata gak cocok di aku 🥲,bintang 4,3 minggu lalu
"Suka banget, ga oksidasi, ga perlu pakai bedak udah awet banget dan ga geser kemana2, nyatu dengan warna kulit aku",bintang 5,1 bulan lalu
KACA PECAH,bintang 1,2 bulan lalu
"Haduuuhhhh nyoba beli tp shade nya di aku malah kegelapan, murni salah aku sih ga nanya dulu but overall i like it teksturnya gampang diblend sukaaaa bangeett",bintang 5,1 bulan lalu
"cushion nya cocok banget di aku, hampir gaada oksidasi aku pake pagi sampe malem the best dehh! masuk top 3 perchusionan yg aku punya",bintang 5,3 minggu lalu
"Jenis kulit: Semua jenis kulit
Performa: Best, bnr2 recommend",bintang 5,1 minggu lalu
So far bagus sih cocok di muka aku.. minim oksidasi... Cuma kyk nya aku salah shade tp it's okay kok... Next order 1 shade di atas nya dri shade yg ini,bintang 5,2 minggu lalu
"pengiriman cepat, ketahanannya juga bagus dan sesuai dengan review org org! no oksidasii",bintang 5,3 minggu lalu
"Warm tone masuk banget pake shade ini, dan ini minim oksidasi",bintang 5,1 bulan lalu
warna nya ternyata cakep. smooth banget hasilnya.,bintang 5,1 minggu lalu
bagus banget pas di kulit aku suka banget,bintang 5,2 bulan lalu
"Packagingnya mewah bgt, warnanya pas di wajah, coverage nya juga mantul.",bintang 5,2 bulan lalu
Ter theee Besstttt 🙏🏻😍😘🥰👍🏼,bintang 5,1 bulan lalu
Sebagus itu.. Shadenya pas bgt di kulit aku,bintang 5,2 minggu lalu
alhamdulillah paket tiba dg sempurna..aku suka krn cocok dg warna kulit aku. dan mudah bgt di blend nya.thanks ya,bintang 5,1 bulan lalu
Tq. ini sumpah must have. Cakep..ga dempul tp nutup,bintang 5,2 bulan lalu
"Untuk pecinta make up matte, ini da best!!",bintang 5,1 minggu lalu
"Pertama kali beli, dan ternyata sebagus itu hasilnya, mantaaappppp dah 👍👍😘😘😘",bintang 5,1 bulan lalu
Baru pertama kali jadi semoga cocok ya,bintang 5,3 minggu lalu
"Untuk kulit kering tidak cocok, dempul bgt kelihatan nya, berat bgt di muka berasa pake topeng",bintang 2,5 hari lalu
Cushion terbaikk terenak terlicuu yang pernah aku beliiiii 😭😭😭 minim oksidani cakep poll ringan 🥲,bintang 5,1 bulan lalu
Belum dicoba semoga cocok dn pencarian q selama ini terhenti pada produk ini,bintang 4,1 bulan lalu
"Cushion yang aku suka 🥰🥰🥰
Hasil nya luar biasa bikin glowing",bintang 5,3 minggu lalu
"Udah fix beralih kesini 
Sukaaa bgt di pake wudhu aja gk luntur rieview sangat jujur",bintang 5,2 bulan lalu
"Cepet sampainya, nah sblm beli online mending swatch offline dlu biar ga salah shade",bintang 5,2 bulan lalu
"Aaaaaaaa Ini bagussss bngetttt bangetttt bangettt, baru kali ini Nemu cushion yg cocok di akuu, sumpahh si siapapun yg nyiptain cushion ini makasihh bgtt lopyu meletup-le...",bintang 5,3 minggu lalu
"Pkenya tipis aja,bgus bnget hasilnya",bintang 5,2 bulan lalu
"Baguus bangeet.., kemasan nya juga cantik bangeet..",bintang 5,2 bulan lalu
"Coverage: Sangat oke, tp cepet kering",bintang 4,3 minggu lalu
"packaging cakepp,
semoga bener pilih shade nya",bintang 5,2 bulan lalu
,bintang 5,1 bulan lalu
Baru pertama cba smga hasilnya sesuai review,bintang 4,1 bulan lalu
