review,rating,date
"paket datang sesuai waktu, packing rapi, kemasan bagus, expired date masih lama, cocok dikonsumsi, rekomendasi jadi langganan. Terima kasih",bintang 5,
"barang bagus sesuai pesanan, penjual ramah,paking rapi aman,pengiriman cepat n kurir ramah",bintang 5,
"Packing barang bagus, barang agak lama sampai. Barang bagus dan expired lama.",bintang 4,
"penjual responnya cepat, packing rapih dikasih dus dan bubble wrap tebal padahal beli gak banyak, bakal beli disini terus, rekomended seller",bintang 5,
"Aksesorisnya keren! Presisi Produk Original, Barang Sesuai Deskripsi, Produk berfungsi dengan baik, Handgrip stabil, Packaging aman dan bagus, Solusi mogok dijalan, Produ...",bintang 5,11 bulan lalu
"Barang datang sesuai dengan gambar dan deskripsi, Packing sangat aman dan juga sangat rapih, Produk original dan sangat bagus, Barang cepat sampai karena Sellernya juga c...",bintang 5,5 bulan lalu
"barang selamat, sesuai, dan bersih, terima kasih",bintang 5,8 bulan lalu
"Barang datang sesuai dengan gambar dan deskripsi, Packing sangat aman dan juga sangat rapih, Produk original dan sangat bagus, Barang cepat sampai karena Sellernya juga c...",bintang 5,7 bulan lalu
"Barang datang sesuai dengan gambar dan deskripsi, Packing sangat aman dan juga sangat rapih, Produk original dan sangat bagus, Barang cepat sampai karena Sellernya juga c...",bintang 5,7 bulan lalu
Br kali ini sy kasih bintang di bwh 5 ke Viva. Seharusnya tgl 8-9 barang sdh saya terima. Tp sy tdk tahu bagaimana kordinasi Viva Apotek dgn Anteraja sehingga kurir baru...,bintang 3,
"TOP seller.. pengiriman supper cepat, fast respon.. RECOMMEND SELLER 👍",bintang 5,
pesanan sudah smpe sesuai deskripsi respon pengiriman cepat harga bersahabat packing aman terimakasih,bintang 5,11 bulan lalu
"Barang sesuai pesanan 👍fast respon, 👍cepat sampai 👍Packing RAPI 👍RECOMENDED SELLER ⭐⭐⭐⭐⭐nanti order lagi ya.. 🙏Terimakasih sudah dibantu bosku 👍👍👍👍",bintang 5,8 bulan lalu
"sesuai dengan deskripsinya, pengiriman barang cepat dan harga murah",bintang 5,
"brg ok sesuai pesanan, proses cepat, moga bermanfaat",bintang 5,6 bulan lalu
"Sesuai diskripasi, aman dengan bubble wrap",bintang 5,
alkhamdulillah tokonya amanah ni . bakalan langganan ini mah mantulll,bintang 5,7 bulan lalu
********** TERIMA KASIH **********,bintang 5,
"Alhamdulillah, sdh tiba dg aman/selamat. Keseluruhan proses positive/baik !

Toko sangat gesit dalam memproses. Produk2 terlihat bagus/baik, bersih, lengkap, expired date...",bintang 5,1 bulan lalu
"Alhamdulillah, sdh tiba dg aman/selamat. Keseluruhan proses positive/baik !

Toko sangat gesit dalam memproses. Spt sblmnya, produk2 terlihat bagus/baik, bersih, lengkap,...",bintang 5,4 minggu lalu
"Seller fast respon, ramah, packingan aman.. terima kasih.. 🙏",bintang 5,
Why was I given this?! If you didn't have the product you should say so! Don't scame people that way!,bintang 1,
"Respon cepat, pengiriman cepat, produk ok",bintang 5,
Respon cepat dan obat sesuai dengan pesanan,bintang 5,
pesan yg berdahak tapi dkirim tidak berdahak...,bintang 2,9 bulan lalu
Barang & jumlah sesuai pesanan 👍PACKING RAPI BANGET 👍 Nanti beli lagi ya.. 👍Terimakasih sudah dibantu bosku 🙏RECOMENDED SELLER ⭐⭐⭐⭐⭐,bintang 5,
"sesuai pesanan
proses cepat",bintang 5,
sesuai dengan deskripsi dan diterima dalam keadaan baik,bintang 5,
original  dan expired masih lama,bintang 5,6 bulan lalu
"mantap,sesuai deskripsi,amanah",bintang 5,
Pesanan sesuai dan packingnya bagus. Terima kasih.,bintang 5,
Top Markotop......................................,bintang 5,
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,bintang 5,
order yg berdahak dikirim yg tidak berdahak,bintang 4,
kurir kurang gercep ..... paket mundur 1 hari,bintang 3,5 bulan lalu
uhuk uhuk,bintang 5,
"ok, terima kasih.",bintang 4,
sesuai deskripsi,bintang 5,
,bintang 5,
,bintang 5,
wow...super gercep 👍,bintang 5,
mantap,bintang 5,
mantap,bintang 5,
mantap,bintang 5,
puasss mksh,bintang 5,
semua dipacking dgn rapi.tks,bintang 5,
