review,rating,date
"Barang ori, sesuai spek dan judul. Respon dan pengiriman cepat. Semoga bisa jadi langganan dan harga bersaing. Terima kasih.",bintang 5,2 hari lalu
"Pengiriman cepat, barang sesuai pesanan, ada plastik pembungkus masker jadi dijamin aman. Diberi kotak nya meskipun harus dibentuk sendiri, kotaknya kekecilan sih, jadi a...",bintang 5,4 bulan lalu
"Fast delivery, packaging aman, sesuai ekspektasi, terima kasih banyak!",bintang 5,9 bulan lalu
"maskernya bagus ada embos mereknya syeril karena terbungkus plastik bersih dan rapih, sampainya juga cepat",bintang 5,3 bulan lalu
"masker terbaik, tidak bikin sesek, bisa redap udara",bintang 5,8 bulan lalu
"untuk jumpah percaya2 aja tapi kko kurang itu tanggu g jawab penjual sama Allah, kenapa engga didusin sih... semoga aja tetep steril dan aman digunakan.",bintang 4,7 bulan lalu
"barangnya bagus sesuai kualitasnya
semoga tokonya semakin maju",bintang 5,7 bulan lalu
"maskernya bersih, packing layaknya beli masker online, tidak bau, cukup nyaman cuma karetnya ngepas di telinga ,semoga engga bikin iritasi",bintang 5,10 bulan lalu
Pembelian ke sekian kalinya. Kualitas barang bagus & pengiriman cepat. Harga sesuai kualitas. recommended seller,bintang 5,5 bulan lalu
"bahan nya bagus, pas untuk di muka, dan sesuai dengan harga nya 😁👍",bintang 5,1 bulan lalu
"Sudah diterima dengan baik.
Antara masker sama box dipisah.
Masker sesuai deskripsi, tebal, menutup mulut n hidung dengan sempurna",bintang 5,7 bulan lalu
"pengiriman cepat, barang original sesuai deskripsi dan gambar. sudah langganan beli disini",bintang 5,10 bulan lalu
"paket diterima dalam keadaan baik, kotak masker mudah dirancang, terima kasih",bintang 5,7 bulan lalu
Barang dipacking dengan aman dan sesuai deskripsi. Barang sampai dengan selamat. Terima kasih banyak.,bintang 5,11 bulan lalu
"produk original sesuai pesanan 👍🏼 
pengiriman cepat 👍🏼",bintang 5,9 bulan lalu
"packing aman, pengiriman cepat, harga terjangkau, kurir ramah.",bintang 5,5 bulan lalu
"baguuuss, mantaapp, kereeeen, sukaaa, okeee bangeett",bintang 5,1 bulan lalu
"produk original, kualitas produk sangat baik, packing produk sangat aman dan rapih, pengiriman cepat, dan yg paling terbaik dapat free ongkir keluar pulau.",bintang 5,
"udah repeat order kesekian kalinya. tapi entah kenapa yang kali ini bahannya agak kasar (karena yang sebelumnya lembut, terus pembelian selanjutnya agak kasar, yang ini l...",bintang 5,8 bulan lalu
"barang oke, udah beberapa kali beli merk ini, lumayan kuat gak tembus air, ada kawat buat nahan hidung",bintang 5,3 minggu lalu
"sdh langganan di med+ official sejak masa covid hingga skrg. masker tebal dari segala macam fariasi,mulai medis biasa dan medis kf95 dan lain2. pengemasan rapi dan tertut...",bintang 5,9 bulan lalu
"good produk, fast respon, fast delivery,& good service z",bintang 5,
"bagus, recommend. tulisan brand tidak terlalu besar",bintang 5,
"bahan bagus, lumayan tebel, packing bagus, pengiriman sesuai estimasi, good 👍👍",bintang 5,
"packing ok, proses cepet, kardusnya dipisah jadi gak rusak",bintang 5,
"Kualitas bahan bagus👍 tapi boxnya ada yang sobek, yaudah gpp",bintang 5,8 bulan lalu
"Produk ori sesuai deskripsi. Makasih Gan, sukses terus lapaknya 🍺🍺",bintang 5,8 bulan lalu
"Pengemasannya rada kurang aman, untung aja barang aman.  Untuk produknya belum dipake",bintang 4,2 bulan lalu
"packing baik, process cepat, maskernya diplastikin, kardusnya belom dirakit, jadi dilipet sendiri",bintang 5,
Cukup oke cuma kaget pas buka modelan kardus maskernya msh yg belum terlipat dan terkesan dijual terpisah kardus dgn isinya. Next time bisa dibenahi ya cara mengemaskan....,bintang 3,10 bulan lalu
"barangnya sesuai deskripsi, dipacking dengan aman, sesuai dengan pesanan, mantoll 👍🏼👍🏼👍🏼👍🏼",bintang 5,3 minggu lalu
barangnya sdh sampe sesuai dengan pesanan,bintang 5,
pembelian ke sekian kali di toko ini. untuk yang kali ini sepertinya bahannya berbeda dari yang sebelumnya. tapi masih nyaman untuk dipakai dan talinya tidak mudah putus,bintang 5,
