review,rating,date
"pengiriman cepat, packing aman, tapi kotaknya terpisah dari isinya; karet cukup nyaman dan bahan tidak membuat sulit bernafas; uap nafas juga tersebar merata tidak membua...",bintang 5,3 bulan lalu
"tebal, ori, sayang pengemasannya cuman pakai plastik, tapi overall bagus..",bintang 5,3 minggu lalu
"pengiriman cepat, packing aman, barang sesuai deskripsi, cukup menarik karena warna-warni tapi bahan sepertinya agak tipis dibandingkan yang putih biasa",bintang 5,1 hari lalu
"Barang ori, sesuai spek dan judul. Respon dan pengiriman cepat. Semoga bisa jadi langganan dan harga bersaing. Terima kasih.",bintang 5,2 hari lalu
"Masker original, msh dalam segel, nyaman dipakai dan tidak terlalu pengap.. Terimakasih",bintang 5,
expired date masih lama respon penjual baik pengiriman cepat dan aman packing kurang bagus maskernya dibuka tidak dalam doa meskipun ada plastiknya. next yg rapi kak supa...,bintang 5,3 bulan lalu
Nggak terlalu lembut bahannya. Tapi oke lah. Packing juga rapi.,bintang 4,2 bulan lalu
"Masker nya nyaman dipakai, bersih + wangi

enak dipakai dan ga ada udara yg bocor masuk lewat pinggir masker

next beli lagi disini, harganya jg murah tapi kualitas tetep...",bintang 5,2 bulan lalu
"kualitas barang ok. berfungsi dengan baik. pengiriman agak lama, keesokan harinya dari pemesanan",bintang 5,8 bulan lalu
"sesuai deskripsi, proses pengiriman cepat, packaging kurang rapi",bintang 4,2 bulan lalu
Udh 2x beli dan barangnya tebel bagus banget. Apalagi pas banget dapat promo jadi bisa beli dia supaya lebih murah,bintang 5,6 bulan lalu
"Masker original, nyaman dipakai, tidak pengap, Terimakasih",bintang 5,
walaupun pandemi sudah dianggap lewat tapi alangkah baiknya tetap ada menyediakan masker untuk siap dipakai terutama bepergian dengan kendaraan umum. apalagi bilamana kon...,bintang 5,7 bulan lalu
"kualitas barang bagus, pengiriman cepat, packing aman",bintang 5,6 bulan lalu
"packaging plastik biasa, proses pengiriman lumayan cepat, semoga awet",bintang 4,3 minggu lalu
bagus maskernya enak di pakai packing rapih dan cepat sampainya ada embos mereknya gak kesempitan pas dipakai di wajah,bintang 5,3 bulan lalu
"packaging standar, proses kiriman cepat semoga cocok",bintang 4,1 bulan lalu
"respon cepat, kemasan aman, next belanja lagi ti toko ini",bintang 5,1 bulan lalu
"pengiriman cepat, barang sesuai deskripsi.
Recommended",bintang 5,2 bulan lalu
Maskernya bagus walaupun agak kasar. Terima kasih banyak.,bintang 5,7 bulan lalu
"Rekomended, oacking safety, seller fast respon. Terima kasih",bintang 5,2 bulan lalu
"erima kasih Med+ orderan sudah sampai dengan selamat dan aman.
Packagingnya rapi sekali, bubble wrap dilapis kardus.
Pengiriman tepat waktu sesuai jadwal. 
Produknya bagu...",bintang 5,
"Mantaap, cepet juga delivery ya, Belum Coba apakah sebagus one med..",bintang 5,7 bulan lalu
"packaging plastik biasa, masker dibungkus plastik, tapi tidak ter seal dengan rapat, jadi tidak steril",bintang 3,7 bulan lalu
"Beli masker tebel murah di sini nih, mana ada yang warna campur seneng banget. Makasih seller jumlah pas semua.",bintang 5,1 bulan lalu
"pesen selalu, buat jaga2 dari debu di lingkungan sekitar",bintang 5,2 bulan lalu
"maskernya bagus sesuai dgn pesanan, talinya utuh gak ada yg putus. 4ply.",bintang 5,2 bulan lalu
Mantap RO kesekian kalinya...super fast response...terbaek,bintang 5,4 bulan lalu
"barang bagus bingit, mantul recomended seller",bintang 5,1 bulan lalu
"semenjak covid selalu pakai mask, udh jadi habit, pengiriman cepat dan nyaman, terimakasih",bintang 5,3 bulan lalu
"ini Aneh, barang dikirim, masker nya di luar kotak nya, kotak nya dilipat semdiri, ini palsu at bagaimana, atau masker nya sudah lama, diberi kotak baru, karena berkaitan...",bintang 2,10 bulan lalu
Produk sesuai deskripsi dan dikirim cepat. Tks.,bintang 5,2 bulan lalu
"Pengiriman Cepat, produk sesuai pesanan dan deskripsi, packing sangat baik, kualitas original dan mantul, thank you",bintang 5,
"Bahan masker nya hapus dan lembut.
Tidak gatal dan tidak kasar sehingga nyaman dipakai.
Barang diterima dalam kondisi baik.",bintang 5,10 bulan lalu
"barang aman sampai, semoga bagus, klo dipegang sih tebal.. sesuai pokoknya 😀",bintang 5,3 minggu lalu
"udah kedua kali pesan, bahannya tebal dan good. dapat diskon gede dan produk lengkap, amanah tokonya.",bintang 5,8 bulan lalu
"oke banget, tp blum dicoba , semoga enak dipake.. trimakasih 🙏",bintang 5,3 minggu lalu
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus nec dui non libero feugiat mollis.",bintang 5,1 bulan lalu
"produk oke dan cepet sampai, kemasan rapi, thankyou seller",bintang 5,8 bulan lalu
sesuai dengan pesanan dan deskripsi yang ada di etalasenya. untuk bahannya lumayan,bintang 4,3 bulan lalu
"Tiap pesen selalu beda kualitas, bulan kemarin puas sama kualitas tapi yang sekrang kurang☹️ kualitas yang sekarang tipis,kecil padahal 4play, bulan kemarin 3ply tapi kua...",bintang 3,
mantab banget gan ane mau jual mobil kesayangan ane nih gan kalo ada yang mau beli mobil bekas di Indonesia yang telah ditetapkan sebagai tersangka kasus suap impor dagin...,bintang 5,
Mendarat dengan cepat. Pas banget sampainya ketika masker di rumah sudah habis. Sukses selalu seller :),bintang 5,
"udah lama pke masker merk med+ , terimakasih semoga lebih bnyak lagi diskonanya",bintang 5,4 bulan lalu
please laa packagingnya niat sikit 🥲. harga slasiban berapa lah. 🥲🥲🥲,bintang 3,
"packing aman, dan pengiriman cepat",bintang 5,
Udah paling cocok beli di med+,bintang 5,
sesuai dengan apa yg di tawarkan di etalase,bintang 5,2 bulan lalu
"suka banget sama bahannya, nyaman dipake dan ga bikin engap, warnanya juga cocok. dari dulu suka banget langganan masker dari med+",bintang 5,
"Barang sesuai deskripsi, berfungsi dengan baik, nyaman di pakai, seller komunikatif, packing aman. Terima kasih",bintang 5,
"pengiriman cepat, bahan tebal. kardus kekecilan sehingga tidak muat  maskernya pada saat dimasukan ke dus.
overall RECOMMENDED",bintang 5,6 bulan lalu
"bagus, tidak tipis, nyaman tidak bikin gatal. packaging aman dan kualitas barang baik. will rebuy this heheh",bintang 5,3 minggu lalu
"Paket sudah datang sesuai aplikasi. Paket datang lebih cepat dari estimasi waktu Tokopedia. Apresiasi untuk Med+ semua mulai plastik, kardus, dan masker ada tulisan Med+....",bintang 5,
"kualitasnya baik, sangat terlihat produksi baru jadi saya yakin akan higienitasnya. Datang dengan box terlipat, tapi maskernya dimasukkan dalam plastik tertutup ya jadi b...",bintang 5,
"bahan bagus sesuai dengan gambar.
masker tebal 
bisa dipakai untuk indoor atau outdoor",bintang 5,3 bulan lalu
"barang bagus, nyaman dipakai, harga murah, recomended pokoknya untuk dibeli",bintang 5,5 bulan lalu
mantabs produk sesuai deskripsi bahan nyaman digunakan,bintang 5,
"Cocok, sesuai dekripsi, bahannya agak kaku tapi masih nyaman dipake. Makasih & jaya selalu",bintang 5,
"Sudah sering beli masker ini. Bahan nyaman, tali kuat (blm pernah putus saat dipakai). Packaging internal rapi (plastik dilem shg lbh aman) dan fast respons dr seller.

S...",bintang 5,
"yaa begitu, tiap kali beli masker med+ ini disuruh rakit sendiri box nya 😁, dan box nya kurang lebar dikit, maskernya harus agak dipaksain biar bisa masuk. kualitas mask...",bintang 5,
"maaf br ksh review. seller responsif. pengiriman cepat packing rapi. recommend seller. barang nya sesuai deskripsi. saya ga hitung, percaya aja lah. terima kasih.",bintang 5,
"prdouk sesuai deskripsi, bahan nyaman di kulit mulut muka dan tidak terlalu kencang dikaitkan ketelinga. recomended masker deh.. 👍🙏",bintang 5,
"pengirimannya lumayan cepet, kondisi si masker juga aman aman aja, cuman minus nya untuk di kardus nya lecek banget bagian bawah itu, gapapa sih tapi saya kasih saran kal...",bintang 4,
"(koreksi: stlh digunting, hanya ditemukan 3 lapisan, lihat foto, bukan 4 Ply seperti dinyatalan dlm desk) 
Agak tipis dan kecil, sesuai type nya yaitu duckbill, berat per...",bintang 5,
suka sama masker nya. ternyata gak tipis agak tebal,bintang 5,9 bulan lalu
barangnya bagus bagus banget malahn cuma yang saya sayangkan dipengiriman.. pengirimannya jelek banget masa habis dr sicepat diganti ke JNE... kecewa sama pengirimannya s...,bintang 5,
"oke bgt maksernya, packingnya good sih",bintang 5,
Kecepatan & ketepatan pengiriman baik | Barang sesuai dengan deskripsi | Respon seller baik | Packaging pengiriman baik | Klo yg di Jabodetabek kek-nya ga cocok ya pa...,bintang 5,
"salut sih sama packing safety bgt👍,pas dipakai gk sesak padahal ini 4 ply tapi nyaman bgt harga Murmer isinya juga buanyak 👍,top dah pokoknya,lain kali order sini lagi...",bintang 5,
"Pembelian kesekian kalinya.. packingnya keren banget dan ga ada kerusakan
Masker duckbillnya juga ckup lega di muka, ga sempit / sesek.
Dan jahitan karetnya pun kuat ga m...",bintang 5,
"barangnya sesuai gambar dan pesanan, packing udah pake bubble wrap tapi masih penyok kardusnya, maskernya jadi pada ketekuk(lecek), dapet harga 10.000 udah lumayan bagus,...",bintang 5,
"packing paket rapi, cuma maskernya di satukan dalam satu plastik, kalau masker pastel agak mendingan karena di masukkan  dalam plastik yg tersegel di semua sisi, tapi yg...",bintang 4,
