review,rating,date
"barang sudah sampai belum di pakai, cuma harga nya ekonomis dan lumayan murah..semoga cocok dikulit muka saya.",bintang 5,2 minggu lalu
Barang sampai dengan baik dan aman. Barang yang datang juga sesuai pesanan,bintang 5,1 bulan lalu
"barang ori Halodoc ... sesuai pesanan sudah pakai cream ini ke 3 kali nya muka berangsur cerah dan no bruntusan, plek hitam bekaa jerawat memudar . . dan sekarang beli lg...",bintang 5,
"Barang yg di pesan sesuai, cepat dikirim dan pengirimannya cepat",bintang 5,3 bulan lalu
"paket dateng dengan selamat, packing nya aman banget, pelayanan cepat, produk original, expired date masih lama",bintang 5,2 hari lalu
korban tiktok 😅 packingnya extra 😍 delivery cepat 👍 seller gercep 👍,bintang 5,1 bulan lalu
"Pengiriman aman , kurir jg ramah baru pakek smoga aj cocok",bintang 5,1 bulan lalu
"barangnya cepet sampenya, disegel halodoc. makasii",bintang 5,1 bulan lalu
respon seller sangat luar biasa,bintang 5,3 bulan lalu
"Cepet bgt jam7 pagi Sdh sampai pake kurir instant, pagi2 udh terkirim tq ya",bintang 5,1 bulan lalu
"thank you, barangnya udh sampe dengan cepet",bintang 5,1 bulan lalu
,bintang 5,
Bagus,bintang 5,11 bulan lalu
memuaskan,bintang 5,1 bulan lalu
Cepat sampai,bintang 5,2 minggu lalu
correct,bintang 5,1 bulan lalu
mantul jerawat mereda,bintang 5,3 minggu lalu
semoga cocok,bintang 5,1 bulan lalu
🫰,bintang 5,1 bulan lalu
