review,rating,date
paling cocok dengan obat ini.. pengemasan sangat aman dan exp date product masih lama...,bintang 5,
"Cepat sekali sampainya, Exp jg msh lama, seller sangat membantu, makasih..sukses selalu",bintang 5,10 bulan lalu
"barang diterima dengan baik.barang tidak ada rusak ,pecah",bintang 5,
"penjual sangaaaat memuaskan: responsif, proses cepat,produk bagus, packing luar biasa: dg kotak + buble wrap yg tebal. pokok nya seller sangat prima, Bintang 5 lah
sy mau...",bintang 5,
"respon penjual cepat, decolsin cm boleh beli 3 inshaAllah refundnya cepat 🙏🏽❤️",bintang 5,
Barangnya sesuai dengan penjelasan di deskripsi productnya,bintang 5,
Barangnya sesuai dengan penjelasan di deskripsi productnya.,bintang 5,
"Seller ramah, obat ori, exp date lama, packing ok, pengiriman ok.",bintang 5,6 bulan lalu
"nice pengiriman super fast jakarta - tangerang, nelco nya juga ori seperti pada umumnya
thanks min🙏",bintang 5,2 bulan lalu
"packing rapih,
double packing + bubble wrap ,jadi produk sampai dengan aman ,thanks seller",bintang 5,2 bulan lalu
susah banget cari obh nellco ini. tapi di apotek ini ada. syukurlah.,bintang 5,
"Dari dulu, obh nellco yg special paling manjur. Barang asli dijamin mujarab",bintang 5,
"cocok banget untuk batuk pilek, pengiriman juga expres, thans",bintang 5,3 minggu lalu
"mantul & amanah, order pesanan sesuai spesifikasi, gambar yg diiklankan & packingnya rapih, terima kasih Seller & Tokopedia",bintang 5,2 bulan lalu
Harga paling murah,bintang 5,2 minggu lalu
exp masih lama bgt 08.26,bintang 5,
Pengiriman cepat dan Alhamdulillaah barang sampai dengan aman.,bintang 5,
"Bermanfaat meredakan batuk, aman bagi penderita sakit maag.",bintang 5,
Kirim untuk kerabat & sdh diterima dengaik. Thanks gan & courier.,bintang 5,8 bulan lalu
Pengiriman cepat thx seller,bintang 5,
enough,bintang 4,
mantab,bintang 5,6 bulan lalu
