review,rating,date
"barangnya ORI, jumlahnya sesuai pesanan ,boleh nih buat jadi langganan , seller amanah, Tokopedia top markotop",bintang 5,2 bulan lalu
Produk sudah diterima dengan baik sesuai dengan pesanan pelayanan Ok terimakasih ya,bintang 5,1 bulan lalu
"apotek amanah
barang diterima dengan baik dan komplit
terimakasih yg terlibat",bintang 5,2 bulan lalu
"fast respon, harga murah, packing aman, dpt expired nya msh lama (jan 2027)",bintang 5,1 minggu lalu
"Pengiriman cepat, packing rapi dan produk sesuai yg dipesan. Terima kasih",bintang 5,2 bulan lalu
"brang sudah dterima dengan aman dan coat, harga juga terjangkau",bintang 5,1 bulan lalu
"alhamdulilah sampai, tokonya amanah",bintang 5,2 bulan lalu
"Pesanan sesuai pelayanan memuaskan, tks",bintang 5,1 bulan lalu
cocok buat maag,bintang 5,2 bulan lalu
Mantap,bintang 5,3 bulan lalu
MANTAP.,bintang 5,2 bulan lalu
thanks ada persediaan obat,bintang 5,3 bulan lalu
