review,rating,date
"Oke banget lah segini mah, hanya saja ada sedikin rembesan saat dibuka, tapi masih terhitung wajar koq karena alkohol didalam botolnya masih aman. Mungkin harus ditambahk...",bintang 5,6 bulan lalu
"sudah langganan, baru kali ini dapat botol yang bocor, dilihat dari kemasannya yang rapih, sepertinya sudah bocor sebelum dikemas, karena posisi tutup botolnya miring (ti...",bintang 1,
"pengemasan bagus mungkin krn tertindih aga sedikit bocor jd pas dibuka aga basah, to isi masih aman",bintang 5,
"Udah repurchase beberapa kali disini, ga pernah kecewa. Packing pake bubble wrap tebal.",bintang 5,
Barang nya diterima dengan selamat dan gak ada yg bocor.,bintang 5,
"barang sesuai, packing aman, kuallitas baik",bintang 5,5 bulan lalu
"sudah reorder, mantap, barang sampai dengna aman",bintang 5,8 bulan lalu
"Kualitasnya bagus, bisa buat bersih2. Packing perlu ditingkatkan lagi biar lebih aman. Semoga bermanfaat, aamiin. Terima kasih.",bintang 5,7 bulan lalu
"Packaging aman, rapih. Blm dipakai alkoholnya. Produk original. Pengirimannya cpt. Makasih seller, toped dan ekspedisi.",bintang 5,
"botol sampai dalam keadaan BOCOR. bukan kelalaian kurir, paket dalam kondisi bagus, tidak penyok, tidak sobek. tapi setelah di buka ternyata isinya hanya 700-800ml. dan t...",bintang 4,
"Langganan order ini dari zaman pandemi. Pengiriman aman diplastik dan dus, ga ada bocor, exp masih jauuuh.",bintang 5,2 bulan lalu
"Barang sesuai, packing aman tidak bocor, terima kasih admin",bintang 5,10 bulan lalu
"alkohol nya ok, ini pesanan ke dua, hanya tadi diterima kondisi plastik luar terbuka, ada rembesan sedikit cuma dlm aman.",bintang 5,
"Packing ok, Pengiriman tepat waktu, kualitas barang belum dicoba, berharap bermanfaat ya...Terima kasih.😀😀",bintang 5,
"Expired lama, harga relatif murah, packing aman (bubble wrap + kardus). Puas belanja di sini.",bintang 5,
"1 liter alcohol 70%, dengan harga yang ditawarkan pada saat saya membelinya (30k), item ini memiliki value yang baik, imho.",bintang 5,
rutin beli alkohol disini untuk bersihin tangan dan barang2. Tapi kalo untuk hilangin lalat di ruangan bisa pakai Flycatcher.  ordernya disini https://www.tokopedia.com/f...,bintang 5,2 bulan lalu
pengiriman super cepat packing bagus barang lengkap thanks,bintang 5,1 minggu lalu
"Cepet sampenya, expired lama, harga murce.",bintang 5,
"semua barang berfungsi dengan sangat baik, pengiriman cepat, bungkus amat sangat rapi dan aman",bintang 5,2 bulan lalu
"Packing rapih dan di beri bubble oleh seller , tapi produsennya membuat desain tutup botolnya kurang baik tidak ada tutup tambahan 
, sehingga bocor",bintang 5,
"pengemasan dan pengiriman cpt, packing rapi dan aman, kualitas baik, barang original, exp msh lama, makasih seller 😀",bintang 5,
"pengemasan dan pengiriman cepat, packing aman, kualitas baik, barang original, makasih seller 😀",bintang 5,
"Terima kasih pesanan saya sudah sampai dalam keadaan aman dan baik. Kemasannya berlapis lapis sehingga anti 
Bocor",bintang 5,
"barang sesuai deskripsi ,, packing sangat bagus ,, seller fast respond .. terimakasih !",bintang 5,11 bulan lalu
"barang sesuai pesanan, ada bocor sedikit tapi ga masalah👍🏻",bintang 5,
"Barang diterima dalam keadaan aman dan baik, tidak ada yang bocor dan rusak.",bintang 5,2 minggu lalu
pesanan sudah sampai ada bocor sedikit pada botol sehingga rembes keluar di ujung kardus tapi gak byk. secara keseluruhan ok. mksh seller,bintang 5,
seller responsive pengiriman barang cepat packing rapih barang berkualitas,bintang 5,
"kemasan rapih, yg skrg ngga bocor, pembelian ketiga kali, kualitas mantapp..",bintang 5,6 bulan lalu
"Toko yang selalu bisa diandalkan, dengan layanan dan respon yg cepat, barang dikemas dgn sangat rapi dan aman hingga tempat tujuan. Bintang 5!",bintang 5,
"Product 👍 👍aman walau pengiriman tidak lengkap, seller masih mau bertanggung jawab (tawarkan balik dana) tapi krn saya dari awal tujuannya barang, walau saya kekeuh tap...",bintang 5,5 bulan lalu
"Packingnya cepet dan rapi, tidak ada yg bocor. Alkoholnya jg oke.. sip sip..",bintang 5,
"Packing aman, item sesuai. Delivery cepat. Terimakasih",bintang 5,
kemasan rapi pengiriman cepat respon penjual juga cepat. mantappp,bintang 5,8 bulan lalu
"Selalu pakai Onemed utk alkohol 70%, karena lebih meyakinkan, baik kadar, maupun aroma alkohol nya, alkohol disinfektan.",bintang 5,
paketnya sampai dg selamat gak pake bocor. packingnya rapi,bintang 5,
"respons cepat, barang sesuai deskripsi",bintang 5,
"pengemasan baik dan pengiriman cepat, alkoholnya aman ga tumpah, makasih seller 😀",bintang 5,
barang sesuai pesanan. cepet nyampenya.. alkohol original onemed.,bintang 5,5 bulan lalu
"Sudah langganan beli alkohol disini, kualitas  barang baik, packing ok, pengiriman cepat👍",bintang 5,
Pengiriman cepat. Produk diterima sesuai pesanan dan bagus. Original.,bintang 5,
Sering pakai untuk bersih-bersih kamar tidur😅,bintang 5,
Alkoholnya tersegel dan dikemas lagi dalam kantong plastik. Tidak ada kebocoran produk. Terima kasih,bintang 5,8 bulan lalu
"langganan order produk ini dari zaman covid, sampai skrg selalu stok buat desinfektan brg. packing aman, produk sampai tanpa bocor.",bintang 5,8 bulan lalu
Pengiriman cepat. Pengganti hand sanitizer. Harga murah. Packaging bagus. Mudah2an konsisten oke tokonya.,bintang 5,
unit original dan diterima dalam keadaan baik,bintang 5,2 bulan lalu
Barang sampai dalam keadaan aman dan baik walaupun sempat tertunda pengirimannya karena libur lebaran.,bintang 5,1 bulan lalu
Pengemasan aman bangeeet bubble wrapnya tebal sekali & pakai kardus tokped juga. Pengiriman sangat cepat sehari sampai. The best pokoknya kalo Dilayani Tokped. Terima...,bintang 5,
"Mantap, packing selalu rapih dan tidak tumpah",bintang 5,
udah langgan beli alkohol di sini dari sejak pandemi dimulai 🥴 smoga covid cepet ilang pleasee.. Senengny beli di toko ini karena fast respond ama orderan lgsg diproses....,bintang 5,
penjual ramah... barang sesuai deskripsi. terima kasih,bintang 5,
"barang oke, pengiriman aman,pakingan aman,datang sesuai waktu,good yah",bintang 5,
"Selalu jadi andalan, tepat, aman, cepat pengirimannya. Mantap! Sukses teruss",bintang 5,10 bulan lalu
"paket sampai dg selamat, botol tdk ada yg bocor, mksh.",bintang 5,
"👍, sdh sering repeat order, barang oke, proses order cepat, sipp",bintang 5,
"Mantaap, sudah diterima dengan baik ,dan sampai nya cepat banget walaupun dari Bandung. Kereen 👍",bintang 5,5 bulan lalu
Layanan cepat dan selalu memuaskan. Sudah setahun ini saya berlangganan di toko ini via Tokopedia.,bintang 5,
Pengemasan sangat aman dan rapi. Gratis ongkir tapi sehari sampai. Terima kasih seller dan tokped.,bintang 5,Pengemasan sangat aman dan rapi. Gratis ongkir tapi sehari sampai. Terima kasih seller dan tokped.
"produk diterima dgn baik sesuai pesanan, packing aman dan dikirim cepat",bintang 5,
"barang diterima sesuai pesanan, packing bagus dan dikirim cepat",bintang 5,
Mantapp…alkoholnya bagus n murah…mksh ka,bintang 5,
"packing ok, barang ok,waktu pengiriman standar.",bintang 5,
"Pesanan Onemed Alkohol 70% sudah  diterima dengan baik, terima kasih atas  pelayanannya",bintang 5,4 bulan lalu
"Andalan banget, selalu aman kemasannya dan tepat waktu pengirimannya.",bintang 5,
"langganan dari sejak Covid, maaf fotonya tidak relevan.... barangnya sdh disimpan rapih... buat setok...",bintang 5,11 bulan lalu
Alkohol sesuai dengan pesanan. Expired lama. Keseluruhan puas,bintang 5,
"udah langganan belanja alat kesehatan di inti medika, barang selalu bermutu, cepat di proses pula",bintang 5,8 bulan lalu
packing nya rapi dan isinya aman,bintang 5,
"produk aman sampai tujuan,  produknya sesuai dengan deskripsi",bintang 5,
"alkoholnya sudah diterima, packing aman, pengiriman cepat, trims seller 🙏",bintang 5,
"barangnyaa baguss sesuai pesanan, packingnya aman bnget",bintang 5,
sipp mantapp sipp mantapp sipp mantapp sipp mantapp,bintang 5,
sempet khawatir karena tnyt toko ada dibandung.. tp alhamdulillah aman sampe tangerang...,bintang 5,3 bulan lalu
"barang sesuai orderan, barang sampai dengan aman",bintang 5,12 bulan lalu
Barangnya sesuai dengan pesanan. Keseluruhan puas,bintang 5,1 bulan lalu
Barangnya sesuai dengan pesanan. Keseluruhan puas,bintang 5,11 bulan lalu
seller gercep..pesanan tiba dgn baik..tks 🙏,bintang 5,10 bulan lalu
"Barang berupa botol alkohol 70% dibalut plastik dengan kondisi plastik sdh berisi cairan alkohol, lantas sy periksa trnyta bocor pd tutup segel. Sy batalkan komplain saja...",bintang 1,
"produk sesuai deskripsi, packaging aman.",bintang 5,
Terima kasih. Pesanan langsung dikirim gosend. Diterima dalam kondisi baik.,bintang 5,
exp nya lama sampai 4 tahun 😻,bintang 5,
Pengiriman cepat barang sesuai deskripsi,bintang 5,
"BARANG SUDAH SAMPAI
REKOMENDED SELLER",bintang 5,
"Pengiriman lama, dateng2 bocor -___-",bintang 1,7 bulan lalu
"belanja alat medis di inti medika emang selalu bermutu, top dah 👍",bintang 5,
"packing tebal dan aman, terimakasih.",bintang 5,
Rekomen bgt beli di sini…terima kasih Inti Medika Store,bintang 5,
"repson cepat bgt, puas pokoknya",bintang 5,
"Seller recommended. The response time, the product and the delivery are excellent. Thank you.",bintang 5,
"selalu puas dan berlangganan di toko ini.
alkohol one mednya original, aroma alkoholnya tercium (asli, bukan abal2), membantu menyeterilkan barang2 di masa pandemi ini",bintang 5,
"Pengiriman cepat, tapi tutup botol perlu diperbaiki krn tumpah walaupun tidak banyak. Barang sesuai deskripsi",bintang 5,
"Pengiriman ke jakarta aman tidak bocor, tutup disolatip dan packing kardus.",bintang 5,
"produk sesuai, kualitas baik, pengemasan rapi dan aman, proses pengiriman cukup cepat",bintang 5,
"Barang ORI, Packing rapi, pengiriman cepat. Puas banget",bintang 5,
"mantap ori, pengiriman cepat dan aman, seller fast respond terima kasih",bintang 5,
"beli 3botol. pengiriman Ok, tidak ada bocor. pas dibuka botolnya hanya ada satu tutup tanpa plug. musti ditutup rapat biar ga nguap isinya",bintang 5,
"Kemasan sangat rapi, fast respon, barang sangat bagus dan murah. Bakal beli lagi disini😁",bintang 5,
"belum dicoba, masih segel",bintang 5,4 bulan lalu
"Respon chat penjual cepat dan ramah, respon pengiriman cepat, juga cepat, packing rapih bgt pake bubble wrap tebel dan banyak, pake dus juga, barangnya masih segel, baran...",bintang 5,
"packing rapi dan aman. tapi kurirnya kurang hati2 ya. sudah ada tulisan kalo isi paket cairan dan jangan dibanting, tapi paket dgn dus agak besar ada di lantai carport ru...",bintang 5,
"Original masih segel, sangat cepat pengirimanya",bintang 5,10 bulan lalu
"cepat sampainya, adminnya gercep..keren mksh ya sampai dg aman.",bintang 5,
"Packingan aman,proses pengiriman ok,kondisi barang dalam keadaan baik,barang yang datang sesuai pesanan,pelayanan toko ok.ONEMED-Alkohol 70% antiseptik yang menjaga tetap...",bintang 5,
Bocor. Untungnya tidak terlalu banyak yg terbuang. Sy pernah beli merk JK care tidak bocor sama sekali. Jadi seharusnya bisa tidak bocor. Coba tutupnya cek sampe rapat mu...,bintang 5,
kualitas ok cuma cara packing botol nya tertidur jadi pada bocor dan berkurang volume nya 5-10%,bintang 4,
"barang ORI,,, packing aman, pengiriman cepat",bintang 5,10 bulan lalu
"pengiriman cepat, barang aman smp tujuan",bintang 5,
packaging nya mantap anti slip anti bocor..👌,bintang 5,
Agak Bocor Dikit tp Overall Tidak Mengecewakan,bintang 5,
"Pembelian yg kesekian kali, seller ramah, delivery cepat, packaging aman dan rapi, salam sukses selalu.",bintang 5,
"ok aman, bagus, seller ok juga, fast respon juga from @fizagenda (instagram) go follow sehat selalu utk seller dan keluarga!",bintang 5,
"packing mantep, bubble wrap juga oke cm masukan aja kalau tutup botol nya diselotip supaya ngga rembes atau tumpah",bintang 5,
"kasih bintang 4 y, karena alkoholnya bocor, barang bagus dan sampai tujuan",bintang 4,7 bulan lalu
"I don't know why you're so far away, but I know that this much is true. we'll make it through and I hope you are the one I share my life with, and I wish that...",bintang 5,
"Barang sesuai, expired masih lama, packing rapih dan aman, pengiriman cepat",bintang 5,5 bulan lalu
"Kemasan aman, diterima dengan baik tanpa bocor",bintang 5,3 minggu lalu
"produk sesuai deskripsi, packing rapih, pengiriman cepat,  harga terjangkau.",bintang 5,
"ok aman, bagus, seller ok juga, fast respon juga from @fizagenda (instagram) go follow",bintang 5,
alkohol ori dan bisa untuk luka. overall good. thank you kak,bintang 5,
"Kiriman cepat, produknya asli. Seller kebutuhan medis terpercaya",bintang 5,
"layanan Capet dan ramah, produk ori, realpict, kurir lebih cepat drpd kurir dalam kota...",bintang 5,1 bulan lalu
"pengiriman cepat, barang sesuai deskripsi,packaging oke.",bintang 5,
packing aman. pengiriman cepat,bintang 5,
seller ramah pengiriman cepat packing rapih barang bagus,bintang 5,
"Selalu jadi andalan toko ini, servisnya cepat dan kemasan juga sangat aman",bintang 5,
barang sdh sampai dengan aman..packing super aman tidak bocor pakai bubble wrap..recomended,bintang 5,
"Gak perlu was was, pasti original kalau beli di official store. Harga murah dibanding tempat lain.",bintang 5,
"ok aman, bagus, seller ok juga, fast respon juga from @fizagenda (instagram)",bintang 5,
Sesuai deskripsi. Responsnya cepat. Packing sangat baik. Recomended.,bintang 5,
fast respond dan kualitas barsng tidak perlu diragukan lg,bintang 5,
"barang pas datang  kondisi bocor jadi sisa setengah 
mungkin kebanting2 jadi pecah",bintang 3,3 hari lalu
packaging rapih dan barang sesuai deskripsi 👍,bintang 5,2 bulan lalu
pesanan tiba dengan amman..sesuai request..mantap toko langganan 👍👍👍,bintang 5,7 bulan lalu
"respon penjual cepat, kualitas barang nya ok",bintang 5,
"Barang di-packing dan sampai dengan aman.. Pelayanannya cepat banget, pagi order, malam dah sampai.. TOP!",bintang 5,
"Barang bagus dan sudah beberapa kali beli disini. Pengiriman barang sempat terhambat karena kesalahan kurir, tapi respond seller cukup baik",bintang 5,
ORI. Trprcya KUALITAS & PLYNAN TRBAIK. Sskli ada FREE ONGKIR tp sygnya ga sllu ada,bintang 5,
"paketnya cepat sampai, botolnya aman.",bintang 5,
"Produk sesuai deskripsi, pengiriman juga cepat",bintang 5,
"Produk sesuai deskripsi, pengiriman juga cepat",bintang 5,
"Pelapak, Produk, Pengiriman, semuanya oke sesuai dengan yang dijanjikan. memuaskan, terima kasih.",bintang 5,
"Produk sesuai deskripsi, pengiriman juga cepat",bintang 5,
"produk bagus, pengemasan cukup, proses dan pengiriman agak lama tapi masih okelah. semoga ditingkatkan lagi. trmksh",bintang 4,
Sesuai dgn pesanan. Respons cepat. Packing sangat baik & aman. Recomended.,bintang 5,3 minggu lalu
"pengiriman sangat cepat, produk sesuai, penjual ramah, sukses seller tokped dan kurir. trmksh",bintang 5,
"pesanan sesuai, packing super aman dgn bubble tebal dan kardus, exp 2028, pengiriman jg cepat, thank you kk...",bintang 5,11 bulan lalu
"barang sudah diterima dengan baik, terima kasih seller!",bintang 5,3 bulan lalu
cepat sekali sampai barangnya.. packing aman dan rapi..pake kardus..puas belanja di toko ini,bintang 5,
"pelayanan prima, free ongkir sehari sampai, kemasan bagus, barang aman.",bintang 5,6 bulan lalu
kak..alkoholnya bocor. jd berkurang isinya. tolong diperbaiki lg ya packingnya. barang lain aman semua.,bintang 5,7 bulan lalu
paket sudah sampai semoga berkah selalu seller 🙏,bintang 5,
"Barang sesuai dengan ekspektasi, kualitas terbaik",bintang 5,
"Dri dlu kalo belanja kebutuhan medis pasti d sni. Pengemasan n pengiriman cepat, admin ramah.",bintang 5,
"Maaf baru beri ulasan, trm kasih, seperti biasa barang tiba dgn selamat, packaging aman dan rapi, ini pembelian yg kesekian kalinya, recommended deh.",bintang 5,
"Service cepat, items sesuai, packing aman.",bintang 5,
Kualitas sllu ORI👍👍 Sdh lnggnan dr awal pndemi. Smga ttap prtahankan PLYNAN TRBAIK buat plnggan stia toko ini via TOPED,bintang 5,
"Alkohol ny oke, packing selalu rapi, recommended  👍",bintang 5,
sejak pandemi selalu suka pake alkohol untuk steril barang dan tempat.. jd cocok bgt beli di sini... sellernya rekomended.. gercep,bintang 5,
kualitas bagus pengiriman cepat aman sampe tujuan,bintang 5,
sesuai pesanan. kemasan aman. diterima tanpa tumpah. sukses utk lapak lainnya,bintang 5,
second order. pengiriman dan kualitas produk mantap!,bintang 5,
"pengiriman cepat, packing aman, best👍🏼",bintang 5,12 bulan lalu
"Fast respons, packing super aman, sudah sering belanja disini 👍👍",bintang 5,
"Pengiriman cepat, items sesuai, packing aman, kurir sopan 👍",bintang 5,
"ok aman, bagus, seller ok juga from @fizagenda (instagram)",bintang 5,
brg sesuai. packing bagus.  tdk ada kebocoran,bintang 5,11 bulan lalu
"paket sampai dengan selamat.. packing aman, produk sesuai dgn iklan.. recommended seller.. tengkyuh",bintang 5,
"Barang sesuai pengiriman cepat, harga bersaing 👍👍👍",bintang 5,
ORI & PLYNAN TRBAIK + TRPRCYA dr toko ini. Smga ttap yg trbaik di klsnya👍👍,bintang 5,
Pembelian udah ke beberapa kali. Harga murah. Pengiriman cepat. Makasih ya.,bintang 5,
"selalu top supplier satu ini. 
all the best ya.",bintang 5,
"barang bagus,  pengiriman cepat.  thx seller",bintang 5,
selalu langganan dan pngiriman nya cepat skli,bintang 5,
Produk ORI. Ud lnggnan dr jmn pndemi smp skrg. Syg sklii klo hrs byr ONGKIR. Smga sllu ada FREE ONGKIR tuk plnggam setia ONEMED & TOPED👍👍. Pertahankan PRESTASIMU (k...,bintang 5,
Dikemas dgn sangat baik & aman... Recommended!,bintang 5,
semua barang tiba dgn lengkap ..👍👍👍,bintang 5,3 bulan lalu
"perbaiki proses pengiriman, jangan pengiriman same day jadi next day. kalau partner kurir tidak memadai tambah/ganti partner kurir lain, atau sekalian hapus opsi sameday...",bintang 3,
untuk kesekian kalinya tetep mantul 👍,bintang 5,11 bulan lalu
semua barang tiba dgn aman..tks toko langganan 🙏,bintang 5,
alkohol yang aman dipakai untuk disinfektan,bintang 5,
"Kaget... Pesen siang, malamnya barang sampe 😅. Biasanya sampe besokannya. Udah langganan disini. Biar jauh, beda provinsi, males pindah ke yang lain. Pertahankan ya, Gan...",bintang 5,
Packing aman..ga bocor sama sekali,bintang 5,
pengiriman okei dan produk original,bintang 5,
respon seller cepat dan barang oke,bintang 5,
"pengiriman cepat
packing bagus
terima kasih",bintang 5,
barang sampai dengan aman dan cepat 👍🏻,bintang 5,
"kemasanny rapih, 
Pengirimanny cepat",bintang 5,
barang sesuai. packing kuat dan aman.,bintang 5,3 bulan lalu
mantapp... cepet bgt pengiriman nya... langganan saya klo soal per antiseptic an,bintang 5,
mantap.. packing aman.. pengiriman cepat.,bintang 5,
"Bagus produknya, bener alkohol 70% 👍",bintang 5,
Alhamdulillahiladzi bini'matihi tatimusholihatu,bintang 5,
Mntapppp👍👍Ttap & sllu ORI🙏🤩Dr awal pndemi smp skrg sllu TRBAIK + TRPRCAYA. Prtahankan trusss tuk PLYNAN & HRGA + KUALITAS TRBAIK🌷,bintang 5,
"Produk nya sesuai, pengiriman juga cepat",bintang 5,
"Barang dikirim aman, packaging bagus.",bintang 5,
beli di toko ijo ato toko oren pengirimannya sama aja lama banget,bintang 4,2 bulan lalu
gercep bgt...bbrapa ja m tlh tiba barang nya 🙏👍,bintang 5,
"Produk ok, packing super, recsell..",bintang 5,
"Pengiriman cepat, barang sesuai gambar",bintang 5,
barang cepat sampai dan aman,bintang 5,
pelayanannya cepat.. top dah.,bintang 5,
"Baguss, packing aman",bintang 5,
"OK, kemasan aman...",bintang 5,
barang sudah diterima... thanks seller....,bintang 5,8 bulan lalu
Pengiriman cepat. Pengemasan baik.,bintang 5,9 bulan lalu
barang sudah diterima.. belum dibukaa.. thanks seller,bintang 5,9 bulan lalu
Pengiriman cepat. Pengemasan baik.,bintang 5,
Pengiriman cepat. Pengemasan baik.,bintang 5,
Pengiriman cepat. Pengemasan baik.,bintang 5,
Mantapp sekali n murah,bintang 5,
