review,rating,date
Kualitas barang bagus. Terima kasih ya. Sukses terus untuk tokonya.,bintang 5,6 bulan lalu
pengiriman okeeee ... barang okeee... sesuai deskripsiiiii,bintang 5,6 bulan lalu
"packing aman, barang original dan respon cepat..harga juga bersaing",bintang 5,
"luar biasa pelayanannya meski dari Bandung cepat diproses dan packing juga aman, produk sesuai semoga sukses dan makasih juga buat toped",bintang 5,6 bulan lalu
"Barang oke ..sesuai pesanan...packing rapi dan aman, tp lama sampai..entah dr penjual atau kurir...",bintang 5,2 minggu lalu
Pengiriman cepat dan packing aman. Barang yang dikirim sesuai pesanan,bintang 5,1 bulan lalu
Sesuai pesanan dan dikemas dengan sangat baik,bintang 5,
"Keren habis, responsif, barang sesuai pesanan, expired lama. Layak untuk berlangganan di toko ini. Terimakasih.",bintang 5,3 bulan lalu
"Packing aman, pengiriman baik, kualitas sesuai merk",bintang 5,
Produk sesuai. Packing rapi dan aman. Pengiriman cepat. Terima kasih,bintang 5,10 bulan lalu
"Gw selalu stock ini buat pembersih luka, karena kita gatau kan, kapan akan terluka, jadi lebih baik punya stock ini buat P3K",bintang 5,5 bulan lalu
paket sesuai dengan yg di promosikan Dan barang Masih bersegel aman,bintang 5,3 minggu lalu
"bagus bgt buat bersihin luka 
n cepat bgt smpai'y
sngaja beli yg spray dl krna mudah aplikasi'y
next br beli yg besar tuk isi ulang",bintang 5,3 bulan lalu
Barang baru. exp.masih 3 th. lg,bintang 5,12 bulan lalu
"Bagus ya, semoga cocok untuk merawat luka bakar knalpot. Makasih dan sukses selaluu",bintang 5,9 bulan lalu
recommended item recommended seller,bintang 5,
"larutan ori, kualitas bagus, pengiriman aman. cuma agak lama aja pengirimannya",bintang 5,
amazing.... oke banget sih produknya.. bahan halus dan nyaman. sangat baik untuk keadaan darurat (jika terjadi luka kecil) cukup untuk mengurangkan iritasi dan memperkeci...,bintang 5,2 bulan lalu
"Sesuai deskripsi dan gambar, packing aman dan rapih, penjual sangat ramah dan fast respon. terimakasih",bintang 5,9 bulan lalu
Mantep barang nya walau sedikit ada bocor,bintang 5,1 bulan lalu
"produk original.. packing aman berlapis👍
penjual ramah🤗
semoga tokonya makin sukses dan tetap amanah 🤲🤲",bintang 5,2 bulan lalu
"paket aman sampai sesuai waktu yg ditentukan, kemasan dan packing aman walapun kemasan penyok2 karena pengiriman. overall ok",bintang 5,2 bulan lalu
"cepat sampai, packing mantap sampai susah dibongkarnya",bintang 5,11 bulan lalu
"Barang sampai sesuai pesanan, pengemasan aman, dan pengiriman cepat. Sukses terus ya seller",bintang 5,9 bulan lalu
"Alhamdulillah paketnya sudah sampai
mendarat dengan aman
respon seller super gercep
recommended seller",bintang 5,11 bulan lalu
"barang sesuai,proses dan pengiriman barang cepat.",bintang 5,11 bulan lalu
barang sesuai dengan yang di pesan dan packingnya cukup safety,bintang 5,10 bulan lalu
Bagus untuk mwmbersihkan luka dan mengurangi iritasi,bintang 5,1 bulan lalu
"Seller udah kirim barang. Barangnya belum sampai, karena hilang oleh pihak kurir. Tapi dana kembali ke saldo.",bintang 5,9 bulan lalu
Barang sesuai deskripsi,bintang 5,3 bulan lalu
"Mantep, tinggal dicoba buat luka paraboss",bintang 5,
Bagus pengiriman cepat,bintang 5,
"udah sering belanja di sini, oke banget",bintang 5,1 bulan lalu
sesuai pesanan,bintang 4,
sesuai pesanan,bintang 5,
si mungill...,bintang 5,
sesuai,bintang 5,11 bulan lalu
dingin ya luka pake ginian.,bintang 5,8 bulan lalu
untuk berisihin luka,bintang 5,10 bulan lalu
,bintang 5,
"Barang bagus, cepat sampai",bintang 5,4 bulan lalu
terbaik,bintang 5,6 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,
,bintang 5,
barang sesuai,bintang 5,
sip lah,bintang 5,
Bagus,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
ok 👍👍👍,bintang 5,11 bulan lalu
👍👍,bintang 5,2 bulan lalu
,bintang 3,2 bulan lalu
👍👍,bintang 5,3 bulan lalu
,bintang 3,7 bulan lalu
👍🏻👍🏻,bintang 5,4 minggu lalu
👍👍👍,bintang 5,
