review,rating,date
"Berfungsi dengan baik, pengirimannya pun aman pake bubble yg tebal, dan cepat sekali pengirimannya. terimakasih seller saya sangat puas😍👍",bintang 5,6 bulan lalu
"Saya memilih timbangan ini daripada merk lain, karena yg lain perlu baterai AAA. Repotnya mesti pasang lepas baterai agar tidak korosi, karena saya jarang menggunakannya....",bintang 5,3 minggu lalu
keren barangnya kemasan rapi harga murah bgt tp barangnya tidak murahan nexs order lg biar bintang yang bicara,bintang 5,
"Packing nya aman, semoga berfungsi dengan baik dan awet. Terima kasih 🙏",bintang 5,6 bulan lalu
"puas banget , pengiriman sangat cepat dan aman (tidak rusak)",bintang 5,8 bulan lalu
"Alhamdulillah, timbangan sudah datang, pengiriman cepat, ramah,barang di terima komplit,tidak ada masalah, bubble wrapnya sangat sangat aman dan tebal.. terimakasih selle...",bintang 5,1 minggu lalu
"paketnya sampai dengan selamat, packing raoih aman, harga bersaing, disko  f.o, sesuai reques, sudah di tes aktif, mudah²an awet, mkasih gan, tokped.. 😊🙏🏻💪🏻",bintang 5,2 bulan lalu
Pengiriman cepat packing aman dengan bubble sesuai gambar dan deskripsi berfungsi baik tampilan keren harga termurah.. muantafh 👍,bintang 5,5 bulan lalu
"Barang buagus,  di jamin nggak ada goresan sedikitpun karna pake pelapis tebal, puas deh, terimakasih kakak",bintang 5,1 minggu lalu
Paketnya sampe dengan aman.Timbangannya berfungsi dengan baik.Kualitasnya oke banget walopun harganya murmer.Rekomended banget.,bintang 5,1 minggu lalu
"maasyaa Allah..
barangnya bagus, pakingnya kuat penjualnya responnya cepat, demikian juga ekspedisi nya maupun kurir nya..
sangat rekomended belanja disini

maaf saya mau...",bintang 5,8 bulan lalu
"Terima kasih, barang diterima dg baik dan dibungkus dg tebal sehingga keamanan terjamin. semoga awet. Harus di charger dlu sebelum digunakan",bintang 5,7 bulan lalu
"6 hr sampai. Kemasan aman. Brg sesuai pesanan. Ukuran tmsk akurat, kabel usb berfungsi. Semoga awet.",bintang 5,
"Terimakasih. Paket sudah diterima, datang lumayan cepat dan dipacking secara rapih dan aman, barangnya sudah saya coba dan berfungsi dengan baik, pokoknya recommended !",bintang 5,6 bulan lalu
