review,rating,date
"okelah buat harga segini, dari segi ukuran lumayan cukup pas, biasanya di harga segini kekecilan/ngatung, bahannya nyaman, cuma kayanya ini mines di warna, keliatan kaya...",bintang 5,6 bulan lalu
"modelnya keren, pas di badan, untuk tinggi 184 cukup dan tidak kepanjangan",bintang 5,8 bulan lalu
sesui harga sih bagus banget cuman untuk expedisi muter muter,bintang 5,5 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg pas d pke,bintang 5,
Keren sih ini...terbaek aero street..Puas bgt,bintang 5,5 bulan lalu
"Bahan bagus, jahitan rapih, paket sampai selamat terimakasih",bintang 5,7 bulan lalu
"bahan tebel, lembut dan kuat. semoga awet. sukses buat semua nya.aamiin",bintang 5,8 bulan lalu
"modelnya keren..
pas bgd dibadan dan cocok udara dingin sih..mantabb",bintang 5,8 bulan lalu
"Pengiriman cepat, packing aman, bahan hoodie tebal, halus dan lembut, dan nyaman di pakai, saya selalu repeat order di toko ini, dan product semua product nya memang bagu...",bintang 5,6 bulan lalu
"Pengiriman cepat, packing aman, hoodie nya nyaman dipakai dan bahan nya juga lembut, saya sudah sering belanja pakaian dan aandal ditoko ini dan sangat membantu banget, m...",bintang 5,6 bulan lalu
"Pengiriman cepat, packing aman, bahan nya lumayan halus, dan nyaman dipakai, saya sudah 3 kali belanja ditoko ini, sangat membantu banget, makasih ya sellernya dan sukses...",bintang 5,7 bulan lalu
"Model dan warna 👍, bahan tebal tapi nyaman dipakai 👌dan semoga awet🙏",bintang 5,1 bulan lalu
bahan cukup nyaman untuk di pakai gak bikin gerah,bintang 5,8 bulan lalu
"Hoodie nya ternyata tipis, tapi gpp tetap bagus Ukurannya pas",bintang 5,
"sesuai pesanan dan dengan budget segitu sangat worth it, styling juga keren. Terimakasih store dan tiktok",bintang 5,3 bulan lalu
"model ny keren
mantap
agak kasar
 Ukurannya pas",bintang 5,
"produk sesuai difoto,pengiriman cepat,jahitannya rapih",bintang 5,6 bulan lalu
"pengiriman cepat, packing rapi, barang bagus.",bintang 5,6 bulan lalu
Tinggi badan 160 - 170 cm (kurang panjang dikit sih) Berat badan 71 - 80 kg..kain halus..modelnya keren...overall bagus,bintang 5,
"gada 2 nya pokoknya ini Hoodie tebel adem lagi 
request ada tulisen yg simple aja deh min Ukurannya pas",bintang 5,
"Istri senang, kita pun uadi senang. Sayangnya harga kembali naik..",bintang 5,2 bulan lalu
Keren bangetttt bakal CO lagi biar punya semua warna gokillll Ukurannya pas Berat badan 60 - 70 kg Tinggi badan 160 - 170 cm,bintang 5,10 bulan lalu
"Paket sudah diterima, Ukurannya pas Tinggi badan 160 - 170 cm",bintang 5,
