review,rating,date
"Sesuai pesanan, barang ori, sesuai pesanan",bintang 5,8 bulan lalu
"batiknya bagus
sesuai deskripsi
mantap....",bintang 5,
"ok mantap siip cocok bahan ok, desain ok",bintang 5,9 bulan lalu
"beli pakai sameday jam 13:00 di kirim besok, mau pesan ulang pakai instan saja tidak di respon alhasil di kirimnya lama sekali",bintang 2,3 bulan lalu
"Seller gercep, barang sesuai deskripsi",bintang 5,
Respon cepat barang cepat sampai,bintang 5,
Puas bgt sama batiknya. Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,11 bulan lalu
bagus 👍👍,bintang 5,5 bulan lalu
Pengiriman bertele2,bintang 2,
