review,rating,date
"bahannya bagus, ukurannya pas, nyaman dipake",bintang 5,8 bulan lalu
"modelannya bagus, bahannya adem ga gerah sellernya pun ramah. recommend 👍",bintang 5,7 bulan lalu
"Overall bagus cuma ana gak ngeh aja ternyata bahanya tuh kaya polo gitu kirain katun, salah ana sih cuma pandangan pribadi emang gak nyerap keringet klo pake bahan polo g...",bintang 5,7 bulan lalu
"Kualitas bahan okee, bisa buat formal dan casual. size fit ke badan. Mantap!",bintang 5,7 bulan lalu
BB 80+ TB 170 size XL sedikit longgar dibagian ketiak tp masih nyaman,bintang 5,8 bulan lalu
Tidak ada tag petunjuk perawatan/pencuciannya,bintang 5,3 minggu lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,11 bulan lalu
"pembelian kedua sebenernya. walau beda aplikasi.
cuma disini kurirnya lama. barang sudah d jkt tp ga gerak2.",bintang 5,9 bulan lalu
Ukurannya pas untuk Tinggi badan 171 - 180 cm dan Berat badan > 80 kg,bintang 5,
bahannya bagus banget halus worth it,bintang 5,2 bulan lalu
"For Humanity!!!!

🅝🅘🅒🅔
🅒🅞🅞🅛
Awesome (⁰ ◕〜◕ ⁰)",bintang 5,
"tinggi 170
berat 67-70
pas banget",bintang 5,2 bulan lalu
"Produk bagus, dicuci aman keren",bintang 5,10 bulan lalu
Bagus untuk diharga segitu kemejanya,bintang 5,1 minggu lalu
Bahannya ga terlalu tipis,bintang 5,1 bulan lalu
agak tipis,bintang 4,1 bulan lalu
agak tipis bhnnya,bintang 5,7 bulan lalu
bahan adem banget,bintang 5,7 bulan lalu
cakep beli kedua kalinya,bintang 5,2 minggu lalu
Ukurannya pas,bintang 5,10 bulan lalu
Ukurannya pas,bintang 5,11 bulan lalu
Ukurannya pas,bintang 5,
,bintang 5,6 bulan lalu
,bintang 5,
,bintang 5,
MANTAPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,bintang 5,8 bulan lalu
"Wow, keren keren",bintang 5,8 bulan lalu
👍,bintang 5,2 bulan lalu
,bintang 3,9 bulan lalu
,bintang 1,
