review,rating,date
"kualitas oke, bahannya jg adem,cutting nya rapi,cuman ada bagian luntur agak merah pink dket bagian sisi jaitan kantongnya, overall oke",bintang 4,2 bulan lalu
Untuk harga segini. Jahitannya kurang bgt sih.,bintang 3,3 bulan lalu
"Kualitas produk: Produk bagus, sampai dengan cepat, bahan tebel dan halus, dan sesuai dengan ukuran badan.",bintang 5,2 minggu lalu
"Model oke, untuk improvement mungkin jahitan sama bahannya lebih di bagusin. harga kurang sesuai dengan build qualitynya",bintang 4,3 minggu lalu
"overall barangnya bagus. tapi ternyata setelah saya ukur, panjang bajunya agak kurang sesuai sama size chartnya. setelah saya ukur ukuran xl panjang baju di 66-67 tapi di...",bintang 4,1 bulan lalu
"Bagus Banget Cuttingan aman,rapih jahitan sedikit tebal cocok buat outer atau tshirt,cuttingan boxy tb 167 bb54 size S",bintang 5,2 bulan lalu
Aga kependekan untuk ukuran boxy.. kl lebih panjang bajunya rasanya akan lebih oke,bintang 5,3 bulan lalu
"Baju nya oke , cuman dengan harga segitu mnrt ku masih rada kemahalan .",bintang 4,3 bulan lalu
Materialnya tebal dan motif seduai gambar,bintang 5,2 bulan lalu
"kekecilan untuk XL honestly, tapi kualitas bagus. 

tinggi 177cm, bb 82kg",bintang 4,3 minggu lalu
"Ukuran nya tidak sesuai yg tercantum, pendek",bintang 3,1 bulan lalu
"Bahanya lembut trnyata,,",bintang 5,2 bulan lalu
"Cakep
Kualitas produk: Bgs bgt",bintang 5,3 bulan lalu
Bb 65 tb 173 ambil uk M mantep banget,bintang 5,2 bulan lalu
Kelass,bintang 5,1 bulan lalu
Bangua bangess war biasa wo o o,bintang 5,3 bulan lalu
"Bagus , ukuran pas recomended",bintang 5,2 bulan lalu
Cuakeppp poll gesss,bintang 5,1 bulan lalu
Keren absolut..material semi woll..mantaaap,bintang 5,3 bulan lalu
good things inside,bintang 5,2 bulan lalu
"GOKIL, CAKEP BENER",bintang 5,3 bulan lalu
Overall very good 👍🏻,bintang 5,3 bulan lalu
barang sesuai,bintang 5,3 bulan lalu
Bagus lembut,bintang 5,3 bulan lalu
CAKEP BGT,bintang 5,3 bulan lalu
bagus,bintang 5,3 bulan lalu
bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,3 bulan lalu
w,bintang 5,2 bulan lalu
Mantap,bintang 5,1 bulan lalu
good,bintang 5,3 bulan lalu
Good,bintang 5,1 bulan lalu
nicee,bintang 5,3 bulan lalu
very good,bintang 5,2 bulan lalu
Nice,bintang 5,2 bulan lalu
Bgs,bintang 5,3 bulan lalu
Okee,bintang 5,2 bulan lalu
mantap jiwa,bintang 5,3 bulan lalu
keren,bintang 5,1 bulan lalu
Keren,bintang 5,2 bulan lalu
Keren sih ini,bintang 5,3 bulan lalu
keren euy,bintang 5,5 hari lalu
ok,bintang 5,1 bulan lalu
Ok,bintang 5,1 bulan lalu
Ok,bintang 5,2 bulan lalu
Ok,bintang 5,3 bulan lalu
Mntp,bintang 5,2 bulan lalu
🍐,bintang 5,2 bulan lalu
-,bintang 5,2 bulan lalu
.,bintang 4,3 bulan lalu
