review,rating,date
"lumayan bagus, cuman sayang lengannya cingkrang. Soalnya lengan saya panjang",bintang 5,9 bulan lalu
"barang ori..   pengiriman cepat..ukuran pas.. 
untuk bb 66 tb 170..",bintang 5,
"Respon cepat, pengiriman cepat sampai, bahan nyaman dipakai, Ukurannya pas, Tx Kak 🙏",bintang 5,
"Size pas, fitting nya lumayan enak, bahan juga lumayan (ga jelek & gak bagus banget) sesuai harga, proses pengemasan juga cepet",bintang 5,
"respon penjual sgt baik, pesanan cpt diproses dan cpt sampai, kwalitas bahan dan jahitan rapih, thanks seller",bintang 5,
bagus banget produk nya bisa langsung gass tiap malem kalo kaya gini nih,bintang 5,5 bulan lalu
bagus.pas dibadan..gak panas..motif sesuai,bintang 5,6 bulan lalu
"gara2 agenda meeting dadakan, jadi harus beli semua perlengkapan, untung org sekitar mau bantu numpang alamat kirim, keren mantep, batiknya bahan adem, jadi pede mau meet...",bintang 5,
"tinggi 165 bb 77kg, cocok size XL. mantap. pengiriman cepat. bahan jg adem.",bintang 5,
"order tanggal 2,tanggal 3 udh sampai, seller responsif, baju bagus, bahan tipis, soal adem, bagi saya agak sedikit panas, kurang nyaman dibadan, mesti pakai kaos daleman...",bintang 5,
"Ukurannya pas,bahan okay ga tipis adem pula...thanks seller next order lg",bintang 5,11 bulan lalu
"model nya bagus, bahan oke lah.. pengiriman cepat, mantab lah pokok nya.. nicee.. 👍",bintang 5,
"Modelnya keren, pas di badan dan nyaman dipakai. Jahitan juga rapi",bintang 5,7 bulan lalu
"produk sampai dengan selamat, sesuai dengan deskripsi, seller cepat respon, amanah terbaik lah",bintang 5,2 bulan lalu
"ukuran kekecilan apakah bisa di tukar dengan ukuran L, yang ditukar 2",bintang 5,
"modelnya keren,barangnya sip muantap,pengiriman cepat.good lan.",bintang 5,3 bulan lalu
"Respon penjual nya baik, produknya bagus, pengiriman nya cepat. Makasih ya,, 🙏",bintang 5,10 bulan lalu
"keren bahan nya juga oke, sesuai harga mantul pokoknya ukuran jga sesuai",bintang 5,
"Sesuai dengan gambar, bagus pula, terus proses dan pengiriman extra cepat, padahal gratis ongkir tapi rasanya pake next day ✨",bintang 5,
"modelnya pas bgt yang dihati😁😁, mantul",bintang 5,11 bulan lalu
barangnya bagus sesuai keinginan.respon cepat dan ramah.terimakasih,bintang 5,
"mantap nihh 👍👍👍 Ukurannya pas,, proses cepat",bintang 5,10 bulan lalu
"keren ukuran M nya pas untuk tinggi 171cm dan berat 68kg, bahanya gk panas adem bangett",bintang 5,
"model motifnya bagus, elegan, sudah dicoba size L dgn tinggi badan 170cm pas di badan, dan barang sampai lebih cepat dari estimasi waktu sampainya",bintang 5,
"mantap, pas di badan dan kain nya juga adem",bintang 5,
"Terpaksa pinjam jempol tetangga 
Respon seller nya👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽",bintang 5,
Bagus banget barang mantapppp ga nyesel dehh,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg,bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg,bintang 5,
"mantap

sesuai dan pas di badan

terimakasih",bintang 5,1 bulan lalu
ngak sesuai sama gambar.. mengecewakan cukup sekaliini aja lah..,bintang 2,
"model keren, bahan adem, sesuai ukuran.",bintang 5,
mantep brang udah smpe pas dipke nya,bintang 5,
"Pengiriman cepat, bahan tipis dan panas tapi emang sesuai harga. Size pas sesuai diskripsi. Over all oke",bintang 5,3 bulan lalu
Bahannya nyaman ngga tipis tapi ngga panas. ukurannya juga cocok dan sesuai. Modelnya bagus dan rapi jahitannya.,bintang 5,12 bulan lalu
"Jahitan rapi, bahan nyaman dipakai, benar2 value for money 👍",bintang 5,11 bulan lalu
"Bahan bagus, tapi jangan terlalu berharap tinggi dengan bahannya😅",bintang 5,
"Mantap ,bahan bagus ukuran pas sesuai harapan",bintang 5,
"bahannya oke, modelnya juga bagus2, dengan harga yg segini uda good banget de👍",bintang 5,5 bulan lalu
"pengiriman cepat, sesuai foto, bagus tp sayang ukuran sangat kecil",bintang 4,
produk kualitas baik ..hanya kantong saku baju menurutku terlalu turun,bintang 5,
"Ukurannya pas,  bahan bagus, terimakasih seller, kurir dan Tokopedia",bintang 5,
"Respon seller cepat, kemeja batik nya overall okelah sesuai deskripsi.. 
Recommend seller",bintang 5,
bagus dan pas di badan. bahannya juga bagus,bintang 5,
"Baju sesuai pesanan, pengiriman aman",bintang 5,
"ukuran lebar dadanya pas sih, tapi panjang lengannya kurang 😅 tapi overall mantap",bintang 4,
Ukurannya pas Tinggi badan < 160 cm Ukurannya terlalu besar,bintang 5,
"pengiriman super  cepat, untuk produk lumayan dengan harga segitu pas bgt di badan.puas belanja di toko ini",bintang 5,
"Respon penjual sangat bagus, pengiriman cepat sesuai permintaan, barang dan harga ok banget. Recommended seller...saya kasih bintang 6 kalo ada...",bintang 5,3 bulan lalu
"mantap banget, pengiriman cepat
pas banget ukuran nya juga..
thx ya",bintang 5,
Alhamdulillah paket 2 hari sampai..keren banget kemeja nya ..bahan nya juga bagus...buat acara besok ..recomended ..seller ramah..gercep..makasih banyak seller ..auto lan...,bintang 5,5 bulan lalu
"Pngiriman cept 
Seller fast respon
Kain bagus lmbut smoga awet 
Maksih puas bgt",bintang 5,4 bulan lalu
Ukurannya terlalu besar saya pikir dalem ada puring,bintang 5,
"packing rapi, kainnya bagus tebal, jahitannya rapi.",bintang 5,
"baju pas di badan sesuai size, kain bagus bukan Abal2",bintang 5,8 bulan lalu
Bahannya mewah sih dan model ACS 127 ini cocok banget buat yang suka warna gelap👍🏻,bintang 5,
produknya bagus kain cukup tebal penjahitan rapih cuma sayang gak ada kantong depan...,bintang 3,
jahitan rapi bagus...cm bhn gak titis lumayan lah..makasih,bintang 4,
"mantapp, cocok untuk semua tubuh. harga murah dan cukup kompeten. Terimakasih",bintang 5,10 bulan lalu
"Baru di trima pagi ini dari satpam, ukuran yg sangat pas buat badan saya. pokoknya makin puas dan mantap semuanya OK. Rekomended",bintang 5,
"alhamdulillah sampai jg akhirnya, sukses ya sis",bintang 5,
"Sesuai deskripsi. Thanks a lot yah, Kak.",bintang 5,
Baju batik nya bagus dan pengiriman cepat Puas pokoknya Terima kasih.,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Pengiriman menggunakan sicep** tidak direkomendasikan.,bintang 4,
"Ukurannya pas, sesuai warna pesanan, top dah buat Toko langganan 👍",bintang 5,
Bagus sesuai harga tapi belum di coba,bintang 5,3 bulan lalu
"terima kasih seller dan kurir,sesuai janji sblm jam 10 sudah sampai..bagus kualitas batiknya",bintang 5,5 bulan lalu
Ukurannya pas  Tinggi badan 160 - 170 cm Berat badan < 60 kg,bintang 5,11 bulan lalu
"cepat sampai, tp warna aslinya lebih gelap dari pict nya, gpp lah",bintang 5,
pas dan sesuai deskripsi. terima kasih ya,bintang 5,
"Bahan jelek, jauh dari ekspektasi jika melihat contoh gambar & tidak ada saku di dada kiri. Not Recommended",bintang 1,
"barang tidak sama seperti di foto, posisi pergelangan beda warna, warna kwalitas bahan tidak sesuai sama sekali, not recomended",bintang 1,7 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm.. mantap,bintang 5,
mantap .....pokoknya recomded bnget seller amanah,bintang 5,
kreeeeeennnnnn batikkkkkkkkk jos gandosss ga nyesaL belanja di sini reseller ramah & tanggap sangat cepat  4 jempol dah Ukurannya pas,bintang 5,9 bulan lalu
"modelnya keren, pas di badan, kainnya bagus, mantap pokoknya...👍👍👍👍👍",bintang 5,
press body anjay 🗿,bintang 5,
harga sesuai dengan model dan bahan kain,bintang 4,
"ukuran sesuai pas bgt, bahan oke",bintang 5,
"Model bagus, motif oke, penjual ramah",bintang 5,
"warna tidak mirip, ukuran kecil, tidak ada solusi , thx",bintang 1,
Bagus..  Ukurannya pas,bintang 5,
paket sudah sampe  tapi tidak ada kantong sakunya pengirimannya cepat,bintang 3,
Bagus sih tapi pesen model yang mana datengnya yang mana :(,bintang 4,
tinggi 180 berat 80 pakai XL pas. mantap,bintang 5,10 bulan lalu
oke pas muat bagus keren suka motifnya,bintang 4,
gak sesuai ekspektasi dengan harga yg lebih murah dari ini di toko lain dpt brg yg lebih bagus,bintang 1,1 bulan lalu
"keren sesuai dengan pesanan, puas bgt belanja di sini kiriman super cepat",bintang 5,1 bulan lalu
"model keren, ukuran pas",bintang 5,3 bulan lalu
Ukurannya pas ok,bintang 5,10 bulan lalu
Penampilan meningkat pesat dalam sesaat.,bintang 5,
penjual nya sangattt baikk bisa tuker jugaa makasihhh banyakkk,bintang 5,3 bulan lalu
"Kapok belanja di TOKO INI PESEN BATIK SIZE XL EH YG DATANG LABEL NYA DOANG YG XL TAPI BAJU NYA UKURAN XS,MOHON MAAF YA NOT RECOMENDED BAGUS DI GAMBAR DOANG !!!",bintang 1,
terbaik... rekomended... pengiriman cepat.. udah 2x order gk mengecewakan .. barang sesuai dengan harga,bintang 5,
"ukuran pas dibadan, pengiriman cepat",bintang 5,
Bajunya bagus banget 😍😍😍😍😍😍😍😍 aaaaaaaaa terimakasih,bintang 5,
bagus sesuai ekspektasi dan harga,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Alhamdulillah sesuai pesanan. terimakasih sukses slalu🙏,bintang 5,
modelnya keren sesuai keinginan pas di badan,bintang 5,
real pict.. ukuran pas bangett.. mantap,bintang 5,
"mantul cepat sampai dan paket sesuai dskrps. jos gondosss, sukses toko dan kuriri nya",bintang 5,5 bulan lalu
"ma,af terlmbat kasi ulasan paketnya dah sampai bajunya sesuai dengan gambar 👍👍👍trimakasi buat bg kurirnya",bintang 5,
"bahan jelek, di gambar aj bgus
ga sesuai",bintang 1,
ukuran pas👍,bintang 5,
Ukurannya pas dan nyaman,bintang 4,
"sesuai deskripsi, terima kasih",bintang 5,3 bulan lalu
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,bintang 4,
"Sangat puas, responsif, good",bintang 5,
"mantap, bahan adem",bintang 5,
"mantap,,, sesuai foto",bintang 5,
Kayak pesan warna item tapi datengnya biru,bintang 2,
kualitas nya bagus,bintang 5,
Terima kasih pas banget di badan,bintang 5,
Alhamdulillah paket sudah mendarat dengan selamat sesuai dengan ekspektasi...,bintang 5,5 bulan lalu
"pas, keren",bintang 5,
sesuai pesanan. thank you seller,bintang 5,
mantaph,bintang 5,
mantap,bintang 5,3 minggu lalu
Ukurannya pas,bintang 5,10 bulan lalu
Ukurannya pas,bintang 5,10 bulan lalu
Ukurannya pas,bintang 5,11 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
"model keren, cuma belum dicoba",bintang 5,
barang sesuai pesanan,bintang 4,2 bulan lalu
mantab Ukurannya pas,bintang 5,
"mantap bos, keren..terimakasih bos barang sdh kami terima..",bintang 5,
ukuran pas,bintang 5,
👍🏻,bintang 5,
jossslah,bintang 5,
Real pic,bintang 5,
Pas di badan..,bintang 5,2 bulan lalu
mantab sesuai pesanan,bintang 4,
sangat puas dgn bajunya,bintang 5,
"baju batik nya sudah sampai, mantep tks",bintang 5,
lumayan cepat,bintang 4,
bagus,bintang 4,12 bulan lalu
bagus.,bintang 4,
gercep,bintang 5,6 bulan lalu
good good good good good,bintang 5,
mantap 👍,bintang 5,2 bulan lalu
Mantap,bintang 5,
Mantap,bintang 5,
bagusss,bintang 5,
bagusss,bintang 5,
mantabs pokonya,bintang 5,
"mantap kak,mkasi",bintang 5,
lumayan,bintang 4,
keren bgt suka sama motifnya,bintang 5,
keren,bintang 5,
keren,bintang 5,
keren!,bintang 5,
good next beli lagi,bintang 5,
mudah luntur motifnya,bintang 3,9 bulan lalu
keren batiknya terimakasih,bintang 5,
,bintang 1,
,bintang 2,
,bintang 1,
Kualitas produk sangat baik,bintang 4,
"fast response, highly recommended!!",bintang 5,
"kualitas oke banget, respon cepat, pengiriman jg tepat waktu recommended bgt dehh",bintang 5,
pengirimannya kurang cepat  tpy alhamdulilah sudah datang...,bintang 3,
"Barang sesuai ,respon cpt 👍🏻",bintang 5,
"Sesuai deskripsi, recommended seller. Will buy again ..!!!",bintang 4,
barang sudah diterima. alhamdulilah puas banget...,bintang 5,
cuma agak kebesaran karena dikirim ukuran L,bintang 5,
"Overall bagus, bahan adem, pengiriman cepat dan pas dibadan tapi ada jahitan yg kurang rapi di bagian lengan. Lumayan puas beli disini",bintang 4,
Barang sdh sesuai diskripsi dan sesuai dengan harga,bintang 5,
"Barangnya bagus pas di badan saya, nanti beli lagi deh hehe",bintang 4,
produk sesuai pesanan...cepat sampe pokoke joss....,bintang 5,
Bagus sih barangnya. Tapi tips untuk beli dari penjual bener banget naikin 1 tingkat dari yg size regular.,bintang 5,
"puas,cmn ukurannya terlalu mepet",bintang 5,
"Respon cepat, pengriman cepat, barangnya bagus, bakalan order lgi. Thanks",bintang 5,
"Barang sesuai gambar, pengiriman oke, enak dpakai",bintang 5,
"Bagus ,, ukuran M nya pass ..",bintang 5,
"Mantap banget bagus , recomend banget.",bintang 5,
Barang bagus sesuai ama gambar....,bintang 4,
"Pesanan sesuai gambar, proses cepat",bintang 3,
"Mantap lah,, sesuai pesanan",bintang 5,
Barang sudah diterima... terima kasih,bintang 4,
Sesuai dengan deskripsi,bintang 5,
Terimakasih sudah sampai...oooookkkeeeee,bintang 5,
ukuran dan warna sesuai dengan yg d foto,bintang 4,
Barangnya bagus gan.......,bintang 5,
Bagus ...sesuai deskripsi,bintang 4,
Cukup lumayan pas dibadan,bintang 3,
"Respin penjual cepat dan raamah..

Hanya pihak jasa pengiriman yg lama bangetttttttttttttt",bintang 3,
"Yg ga beli nyesel lohh...😁
Di sini senang..🎵
Di sana senang..🎵
Dimana mana hatiku senang..lalalala😘
Semoga toko nya makin rame..👏👏
Nuhun kang / teh . . .🙏",bintang 5,
"Baju bagus sesuai deskripsi, pengiriman cepat, cuman syg gk bisa dipakai, salah pesen ukuran mestinya saya mesen XL.",bintang 5,
"Kualitas Produk bagus sesuai pesanan... 
Fast respon n pelayanan yg ramah... 
Adem dipake nya... 
Pokoknya recsell lah.... 
Top markotop... 👍👍👍",bintang 5,
"Sory, baru sempet beri ulasan buat agan.. 
Sibuk ama orderannya sendiri.. 😁😀 sukses selalu tuk kita semua.. 👍",bintang 5,
Goood barangnya bagus bahannya juga oke,bintang 5,
"Barang sesuai pesanan, barang cepat sampai",bintang 5,
Sesuai dengan orderan same day service sorenya sudah sampe perfect!,bintang 5,
sudah diterima dengan baik...thx,bintang 4,
barang sudah tiba....barang sesuai harga...mantap...terimakasih,bintang 5,
mantap...........................,bintang 5,
bagus sesuway seperti di gambar,bintang 3,
Barang ok uk & warna sesuai dgn deskripsi,bintang 4,
Barang sesuai terimakasih,bintang 4,
"Bahan nya bagus,respon dan pengiriman cepat",bintang 5,
thanks gan brangnya dh oke cmn kok gk slimfit ya,bintang 3,
baguuuussss & sukaaa bngt dgn pelayanan'y ... seller ramah pisan euyyy ...,bintang 5,
paket  da sampai  trimksh  gan,bintang 5,
Terima kasih barang diterima sesuai pesanan,bintang 4,
barang Ok sesuai gambar respon cepat pokoknya TOP deh :),bintang 4,
"cukup bagus, dan pas dipakai dibadan saya  :)",bintang 5,
Respon cepat dan barang bgs,bintang 5,
Ok sudah sampai dengan baik,bintang 3,
"Rada kekecilan sih
, tp gpp next order gedean dikit",bintang 4,
good job and thank you,bintang 5,
Penjual sangat sangat fast response. Kualitas barang baik. Terimakasih menolong dikala urgent,bintang 5,
warnanya gk sesuai sma gambar agak gelap birunya tapi lumayan baguslah,bintang 5,
Terima kasih gn barangya bagus,bintang 5,
"ODL 17 kalau di gambar terlihat bagus, tp aslinya lebih ke hijau gelap coraknya, bukan putih kuning seperti digambar, mungkin kalo di foto kena efek cahaya kali ya jadi k...",bintang 3,
"Cepat banget sampe nya ga ada 1 jam,barang nya jg bagus",bintang 5,
"Respon penjual cepat, bahan halus, dan tidak luntut,,, coraknya sama dg gambar,,, recomended seller deh,,,",bintang 5,
Mantap batiknya pas ukurannya,bintang 5,
proses cepat dan baik...,bintang 5,
mantaaappp .............,bintang 5,
Kualitas bahan bagus.. size ny oke.. hrga ny murah.. pengiriman ontime.. next time pesen lagi.. 👍,bintang 5,
"Trima kasih say 
Kemeja batikny sudah sampai
Sesuai dgn yg difoto
Mudah2an awet dan tidak luntur warnanya",bintang 5,
Kualitas sesuai dgn harga.,bintang 5,
Pesanan sudah tiba dengan selamat,bintang 4,
"Bagus sesuai gambar, hanya saja ini bukan pilihan pertama saya, mohon untuk barang yg sudah habis digudang kan saja produk nya, sehingga tidak BAPER... Wkwkwkwkwkk, comeb...",bintang 4,
"Barang bagus, sesuai harga. Lain kali order lagi disini",bintang 5,
"Harga murah kualitas tidak murahan,...seller nya keren, memberikan solusi yang tepat....awalnya saya pesen L...ternyata masuk nya XL berkat diarahkan oleh sellernya. Mant...",bintang 5,
"Pesenan sudah diterima,  cocok sesuai pesenan,  saya senang belanja di toko anda.  Terima kasih",bintang 5,
"Barang sudah sampai, thanks.",bintang 5,
"Barang sesuai pesanan cuma agak kekecilan dikit gan,mungkin kalo bisa bikin yang doble Xl...",bintang 5,
"Thank you, brngny dtngny cepat.. langsunk pakai buat ke kondangan..",bintang 4,
saya suka . barangnya bagus . ......,bintang 5,
Mantap oky lah  yg bintang yg menilai,bintang 5,
Alhamdulillah bagus sesuai,bintang 4,
ok ok ok ok ok ok ok ok ok ok ok ok ok ok,bintang 5,
"Sorry testi telat, paket rapih, barang sesuai iklan, jahitan jg rapih, ukuran pas. meskipun ga sempet di pake ke kondangan mantan. thx rec sell",bintang 5,
Respon Cepat Lembut enak dipakai mannttapp,bintang 5,
Sesuai deskripsi bgttttttttttgt,bintang 5,
biarbintang yg berbisara :),bintang 5,
"Joooooooosssssss gaandoooooossss
Maturnuwun",bintang 5,
Biarkan bintang yang berbicara,bintang 4,
barang udah sampe dan sesuai seperti di gambar,bintang 5,
"Sudah dua kali order warna batiknya tidak secerah seperti di foto. Sedikit kecewa, semoga kedepan gambar dan produk sesuai.",bintang 3,
Sesuai dengan yang dikirimkan,bintang 4,
"barang sudah di terima...
mantap gan....
recommended seller",bintang 5,
"pas and okeeee suka bgtttt, next order akan disini lg!",bintang 5,
Sangat cepat prosesnya dan sangat bagus batiknya..sangat sangat recomended..pengen beli lagi,bintang 5,
Barang sampe tujuan dengan cepat ... barang nya oke bgt,bintang 5,
Proses cepat.  Kondisi barang sesuai description dan pas gan. Makasih...,bintang 5,
"Mantap, saya  suka.",bintang 5,
Baju bagus cuma ada bag yg tdk kejahit di lengan kiri bag. belakang,bintang 3,
"Sudah sampai gan, dicoba pas banget ukuran xxl padahal biasa pake xl aja agak longgar. Thanks ya buat advicenya",bintang 5,
Bagus dan pelayanan cepat,bintang 5,
"Ukuran sesuai
Bahan okelah
Makasih gan",bintang 5,
"barang sudah sampai  , ukuran pas trimakasih sukses slalu",bintang 5,
"Barng oke, packing rapih, pengiriman cept",bintang 5,
bahan adem bagus. mantap,bintang 5,
Sesuai dengan pesanan n bagus,bintang 4,
Paket sudah di terima dan terima kasih,bintang 4,
"Barang sudah sampai,respon cepat,packing rapih...
tapi belum saya buka 🙏
semoga cocok 👍

sukses slalu min🙏",bintang 5,
"Bagus bahannya dan motifnya,,,,keren pas d badan putraku",bintang 5,
"pas di badan bahan adeeeem, recomended",bintang 5,
"Kondisi barang terkirim ok, cuma sedikit terlambat tp krn faktor penyedia jasa pengirimannya... Over all..... Saya suka... Next order lagi, klo lebih cepat pengirimannya....",bintang 4,
Kualitas bagus. Response pengiriman juga cepat,bintang 5,
Bintang 4 spy kaya hotel hotel,bintang 4,
puas bangeeettttt ....,bintang 5,
"Ok sudah d terima .....
........",bintang 5,
"Sudah ukuran XL, tp ko kecil ya, lengan nya gantung.",bintang 3,
Terima kasih gan.......... 👏,bintang 5,
