review,rating,date
"wahhh bagus bangett, ga nyangka bakal dapet bonus 2 baju lagi tapi ukuran baju bonus nya XL cuma gapapa deh
baju yg says pesen juga sesuai ukuran dan bonus package kertas...",bintang 5,5 bulan lalu
"Bahannya adem, design cakep, ada jahitan tambahan di bagian ketiak jadi terlihat kurang rapih, bahan melar jadi enak dipake, Zipper lancar banget licin 👍🏼, overall suka...",bintang 5,5 bulan lalu
"Bahan mulus, sesuai pesanan, pas di badan.",bintang 5,3 minggu lalu
"the best banget bahan nyabbagus, pokoknya recomended",bintang 5,5 bulan lalu
"Sangat bagus, sudah 2 kali pesan bahan berkualitas",bintang 5,1 minggu lalu
"sayang banget ada noda di bajunya, semoga bisa ilang nodanya. mungkin qc nya harus lebih diperhatiin lagi",bintang 5,7 bulan lalu
Akhirnya dpet jga setelah nunggu restok wkwk,bintang 5,2 bulan lalu
"Bagus bangettt! Cowokku suka sampe nanya beli dimana 🥹🙏🏻💖 
Bahan rajutnya tuh yang adem, biasa rajut2 cowok banyak yg kasar dan bikin gatel, dia sampe ga mau beli baj...",bintang 5,6 hari lalu
bahan dan model ok.. tapi pengiriman dan respond perlu ditingkatin..,bintang 4,2 bulan lalu
"bagus bgt bahan nya , dan baju nya sesuai foto",bintang 5,5 bulan lalu
this shirt is so fckn awesome 🙌,bintang 5,8 bulan lalu
"Baju sesuai ekspetasi, bagus juga, packagingnya juga bagus",bintang 5,4 bulan lalu
Baguss bnget bajuu bener2 kualitas premium,bintang 5,1 bulan lalu
"Kualitas produk: Biasa aja, digambar keliatan bagus pas dilihat langsung B aja",bintang 3,5 bulan lalu
"Great product, definitely would buy the white one",bintang 5,10 bulan lalu
"saran aja ka, mungkin kalo ada paper bag nya bisa di tambahin bubble wrap mungkin yaa biar ga penyok penyok paper bag nya. overall semuanya sukaa bagussss🤩🤩🤩🤩",bintang 5,1 bulan lalu
Kualitas produk: bagus banget,bintang 5,1 bulan lalu
Bagus bajunya keren bahanya jga bagus di tunggu model” keren terbarunya,bintang 5,4 bulan lalu
"kecewa sama produknya bisa""nya lengan nya belum dijahit",bintang 2,2 minggu lalu
Kualitas produk: BAGUSS BANGET,bintang 5,2 minggu lalu
Kualitas produk: Baguss banget,bintang 5,1 bulan lalu
"Bahanya bagus adem,kualitas oke",bintang 5,5 bulan lalu
"Top tier quality, mantap banget polonya",bintang 5,6 bulan lalu
Cakep banget style dan bahan nya,bintang 5,5 bulan lalu
cuman kurang cepet aja pengiriman nya,bintang 5,5 bulan lalu
Barang sudah diterima dengan baik dan benar package,bintang 4,1 bulan lalu
size M sm L sama aja,bintang 5,1 bulan lalu
10/10,bintang 5,4 bulan lalu
Sangat bagus,bintang 5,1 bulan lalu
good quality material,bintang 5,7 bulan lalu
Product quality: good,bintang 5,2 minggu lalu
Kualitas produk: bagus,bintang 5,1 bulan lalu
sangat bagus untuk harganya,bintang 5,7 bulan lalu
Good Quality,bintang 5,2 bulan lalu
Kualitas Bagus,bintang 5,2 bulan lalu
Untuk BB 80 TB 175 ambil XXL,bintang 5,2 minggu lalu
Baguss dipacar akuu😍,bintang 5,1 bulan lalu
Pas dipakai,bintang 5,5 bulan lalu
Good product,bintang 5,1 bulan lalu
Good product,bintang 5,2 bulan lalu
,bintang 5,3 minggu lalu
,bintang 5,10 bulan lalu
rill itu balvien!,bintang 5,1 bulan lalu
cakep,bintang 5,2 bulan lalu
mantap sesuai,bintang 5,3 bulan lalu
Great,bintang 5,5 bulan lalu
Sesuaii ekspektasi,bintang 5,5 bulan lalu
sesuai,bintang 5,2 bulan lalu
bagus bangetttt,bintang 5,3 bulan lalu
Baguss bgt,bintang 5,5 bulan lalu
Bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,5 bulan lalu
bagus,bintang 5,5 bulan lalu
oke,bintang 5,1 bulan lalu
Mewah,bintang 5,6 bulan lalu
Baguss!!,bintang 5,7 bulan lalu
mantaaaab 👍👍👍,bintang 5,5 bulan lalu
Good,bintang 5,2 bulan lalu
good,bintang 5,4 hari lalu
Good,bintang 5,1 bulan lalu
Good,bintang 5,4 bulan lalu
nicee,bintang 5,7 bulan lalu
masterpiece,bintang 5,2 bulan lalu
goodd,bintang 5,3 bulan lalu
nice,bintang 5,5 bulan lalu
mantap!!,bintang 5,8 bulan lalu
Mantep,bintang 5,2 bulan lalu
Keren,bintang 5,1 bulan lalu
keren,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 minggu lalu
,bintang 5,2 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,4 minggu lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
Ok,bintang 5,1 bulan lalu
Bagusss bgtt,bintang 5,1 bulan lalu
Kc,bintang 5,1 bulan lalu
GACOOOORRRRRR,bintang 5,2 bulan lalu
bintang 5 terbaik,bintang 5,4 bulan lalu
Uu,bintang 5,6 bulan lalu
👍,bintang 5,2 bulan lalu
👍,bintang 5,2 bulan lalu
.,bintang 5,2 bulan lalu
