review,rating,date
"Cepat Sampai,Bahannya Bagus Bgt Bagian lipatan leher dan Pergelangan tangan Tebal,kaku bagus Bgt. Semoga Makin Laris",bintang 5,6 bulan lalu
"Bahan katun halus ,nggak panas ,kualitasnya bagus 🙏",bintang 5,2 bulan lalu
"Pas, bahannya bagus, gk kaku, gk tipis tapi juga gk tebal, standar bahan, nyaman dipakai",bintang 5,7 bulan lalu
"Kualitas produk: Baik
Pas dibadan, ngga ada kelebihan benang dijahitan selain di bagian kancing aja cuman sedikit🤏🏻. 👍🏻",bintang 5,7 bulan lalu
"Barang bagus, sepertinya harus turun 1 size dr yg biasa di pake.. Tp bahan dll bgs,. recomended..",bintang 5,4 minggu lalu
"Pembelian ketiga di toko ini. Respon penjual dan proses pengiriman cepat, host live membantu. Kemejanya adem dan ga nerawang, kerahnya keras dan kaku, di pergelangan ada...",bintang 5,6 hari lalu
"Ini benar-benar elegan dan ukurannya sangat pas, sangat bagus dan tidak mengecewakan. Terimakasih amanahnya🙏",bintang 5,2 bulan lalu
Bahannya halus tebal kalian harus beli disini,bintang 5,2 bulan lalu
putihnya cerah pas di badan nyaman dipakai,bintang 5,1 bulan lalu
"Mantap min sesuai pesanan, baju rapih, standar untuk di pakai bekerja ataupun melamar kerja.. sukses terus gan",bintang 5,1 bulan lalu
"ukuran pas, sesuai BB dan TB, jahitan rapi, bahan BOSS",bintang 5,1 hari lalu
Kualitas produk: Bagus sesuai dengan harga,bintang 5,4 bulan lalu
"Bahan bagus sesuai harga, jahitan rapi, kerah tebal. namun ukurannya kayaknya kebesaran sedikit dari ukuran normal pada umumnya tapi masih pantas untuk dipakai",bintang 5,1 minggu lalu
"Pengiriman cepat dan setelah dibuka produk sesuai pesanan dan berfungsi dengan baik, sesuai spesifikasi. Terima kasih buat jasa kurir dan sellernya. Sukses selalu",bintang 5,7 bulan lalu
"Kualitas produk: Kualitas sangat baik banget,ga nyesel beli barang di toko in👍👍",bintang 5,7 bulan lalu
"Kualitas produk: Bagus
Tapi agak kebesaran dikit ditangan bagian atasnya oprool mantap...",bintang 5,7 bulan lalu
"Baju nya bagus semoga awet
Kualitas produk: Bagus",bintang 5,2 bulan lalu
"Produknya bagus, tapi yg reguler fit dibagian lengan atas longgar banget.",bintang 5,6 bulan lalu
"Bahan ok bagus banget gak panas jg .
Packing jg oke rapih .",bintang 4,7 bulan lalu
"Ukuran pas, untungnya saya ambil reguler fit tp size sx, soalnya punya temen saya slimfit size S malah agak lebih besar dr reguler fit size XS. Tp sayangnya bahannya masi...",bintang 4,6 bulan lalu
Kainnya agak tipis menrtku tembus pandang sih tpi suami suka..thank yah udah smpe barangnya walau agak lumayan lama🙏🏼kukasi bintang 5 krna penjual respon,bintang 5,1 bulan lalu
"bahan  bagus. keren. pria tinggi 175 panjang tangan cocok banget.  berat badan 62 kg.  pakai L 15, 5  yaa.",bintang 5,1 bulan lalu
"Alhamdulillah ukurannya pas tb 167 bb 100 pakai ukuran 2XL , bahan adem lembut",bintang 5,5 bulan lalu
"Kualitas produk: Bagus banget
Gak nyangka bakal sebagus ini kameja nya",bintang 5,5 bulan lalu
Mantap bahannya halus produk boss makyussss tuk toko sukses selalu,bintang 5,7 bulan lalu
"Tipis menerawang ,tidak seperti host live bilang 🙏",bintang 2,1 bulan lalu
"Ukurannya pas, warna juga putih kinclong, seller respondive",bintang 5,4 minggu lalu
