review,rating,date
"Pengiriman cepat, kwalitas bagus, layanan memuaskan. Jahitan rapi,ukuran sesuai,enak dipakai kainnya adem dingin.terimakasih semuanya",bintang 5,1 minggu lalu
"Barang udah saya terima dengan baik...
Kereennn baju korpri nya ukuran nya pas di badan desain nya juga udah yang terbaru harga pun sangat bersahabat....
Terimakasih bany...",bintang 5,2 bulan lalu
"Kenapa ya.. bajunya yg UK, M seperti UK, L tapi, nggak apa"" yg penting barangnya Ori..👍🙏",bintang 5,1 bulan lalu
"Barangnya sesuai ekspektasi, pas di badan. Berat badan 48 kg dan tinggi badan 160. Pengiriman juga sesuai estimasi awal. Mantap pokoknya 👍👍",bintang 5,2 bulan lalu
"Mantab, pas dibadan, enak dipakainya, pengirimannya juga cepet. Siiip recomended
Ok banget",bintang 5,2 bulan lalu
"Kualitas produk: Bagus bahan tebal dan adem saat di pake
Ukuran L di suami saya aga besar kayanya yang suka pake ukuran L harus ke M dan makasi untuk abang kurir nya yang...",bintang 5,2 bulan lalu
"Baju bagus, dan pas dipakai, bahan nyaman, tapi saran sedikit lebih rapi lg dalam penjahitan",bintang 5,3 bulan lalu
"Barang bagus,bahan juga oke tidak mengecewakan,ukuran pass",bintang 5,3 bulan lalu
Barang bagus sesuai pesanan penjualan ramah kualitas produknya bagus,bintang 5,6 bulan lalu
"bahane kainnya adem, pas dipakai dan nyaman",bintang 5,3 minggu lalu
"Bahannya agak tipis tapi okelah buat harga segitu, ada furing juga, saya tb 155cm bb 52kg kegedean, next belinya S kayaknya🥲",bintang 5,2 bulan lalu
BRG sesuai baik kualitas warna dan ukuran dan hrg terjangkau,bintang 5,2 bulan lalu
"Kualitas produk: Sangat Baik, Saya Ambil Size M Makasih Seler Makasih Om Kurir.",bintang 5,2 minggu lalu
"Kainnya halus lembut dan dingin, recommended
Tinggi 177cm bb 72kg, ngepas bgt, klo mau agak lebar dikit & lengannya agak panjang lg, ambil size XL",bintang 5,2 minggu lalu
"Rekomendasi pesan baju nya disini, bagus aman insyaallah amanah
Kualitas produk: Baik sekali 😍",bintang 5,1 bulan lalu
Cocok ukurannya sesuai pas warna cerah bagus pokonya,bintang 5,3 bulan lalu
Alhamdulillah paket diterima dalam keadaan baik kurirnya ramah paketnya juga sesuai yang dipesan 👍👍,bintang 5,1 minggu lalu
"Pesanan bajunya sudah sampai sangat puas belanja ditoko ini, bahan bagus dan halusan ada furing nya juga tebal ya, trmksh next blnja kdpnnya🥰🥰🙏",bintang 5,3 bulan lalu
"Bagus bajunya 
Pengiriman nya jga cepat dan kurirnya juga ramah",bintang 5,4 minggu lalu
Pengiriman cepat sampai..bahan adem g kaku..ukuran blm tau Krn blm di coba,bintang 5,6 hari lalu
"Mantap,,, sangat memuaskan ...
Gk usah diragukan lagi",bintang 5,3 bulan lalu
"Alhamdulillah barang nya sudah sampai, makasih juga karena dpt diskon sgt harga murah di bulan Ramadhan dpt berkah. Smoga tokonya laris manis ya",bintang 5,1 bulan lalu
"Alhamdulillah paketnya sudah sampai, Bahan bagus",bintang 4,2 bulan lalu
"Gimana cerita ko saku cuma ada 1,di real promosinya saku ada 2.padahal bahan adem kualitas juga oke",bintang 2,5 bulan lalu
"Hedeeh pas dilive kain dn bahannya keliatan bagus,pas smpe sumpah nyesel bnget belinya,sablonannya keliatan burik blm dicuci udah keliatan pudar,plus dilive ktannya dibag...",bintang 1,3 bulan lalu
"Alhamdulillah pesanan sudah sampai. Tapi ko ada cacatnya ya, di lengan sebelah kiri dket bahu ada warna putihnya.
Kalo bisa di tuker dong...",bintang 1,3 bulan lalu
Pekingan bagus cuma bagian kerah berbeda motif,bintang 1,1 bulan lalu
"Sangat puas 
Sesuai harapan
Semoga berkah...",bintang 5,3 minggu lalu
"Bagus bahan lembut, ukuran passs",bintang 5,4 bulan lalu
"mks paket sudah sampai
sesuai pesanan, bagus👍",bintang 5,2 bulan lalu
"Bagus batiknya,,bahannya halus,,dingin,,enak dipakai,,untuk bb 65-70 ukuran L pas banget dibadan,,bagus batiknya.",bintang 5,3 bulan lalu
"Kualitas bagus,jahitan rapi asli pakai puring, size m pas dibadan bb 58,sesuai harapan,pengiriman cepat. Rekomendasi untuk belanja di toko ini.",bintang 5,9 bulan lalu
"Mantap bahan bagus rapi, cuman dibagian tangannya aja seperti kurang panjang jadinya ngegantun",bintang 5,2 bulan lalu
"Pas, cuman jahitan di bagian saku jahitannya lepas dikit. Tpi overall good",bintang 5,4 bulan lalu
"Kainnya bagus tebal ukrannya pas cuman,mines nya ad bitink putih d bagian dada",bintang 4,2 bulan lalu
"Bajunya nyaman dipakai, bahannya lembut, baju sesuai dengan difoto👍👍",bintang 5,1 bulan lalu
"Sesuai ukuran pesanan,bahan baik,masih ada jahitan sisa.",bintang 5,4 bulan lalu
"Barang sudah di terima dengan baik, ukuran pas cuma untuk lengan baju kurang panjang sedikit.
Pas dibadan ,nyaman",bintang 4,3 minggu lalu
Bagus sekali. Tidak mengecewakan. Bahannya halus adem dipakai,bintang 5,4 bulan lalu
"TB 175, BB 75 pakai ukuran XL pas! Harganya cukup murah dibanding toko-toko lain. Bahan halus 40s dan sudah furing. Cuman minus dibagian ujung lengannya. Yang sebelah kan...",bintang 4,1 minggu lalu
"Mantap, bahan bagus. Kualitas oke. Sesuai pokoknya",bintang 5,3 bulan lalu
Kualitas produk: Bahan ny Bagus nyaman di pake 👍👍,bintang 5,3 bulan lalu
Kualitas produk: Bahan ny Bagus nyaman di pake 👍👍,bintang 5,3 bulan lalu
"Bahannya bagus, hasilnya sesuai dengan apa yg di review pada video sebelumnya",bintang 5,2 bulan lalu
"Kualitas produk: Ok  sesuai dengan ulasan d iklannya,barang bagus ,pas d pake ,cm sy sdikit keliru dngn ukurannya,harusnya ukuran L tp sy pesannya M😁,tp tdk masalah karn...",bintang 5,3 bulan lalu
model keren nyaman di pakai bahan tebal ok,bintang 5,6 hari lalu
"Bahan bagus ,ukuran sesuai , pas banget suami saya suka , terimakasih toko sangat amanah 👍",bintang 5,1 minggu lalu
"Sesuai foto dan deskripsi, Bahan katunnya bagus, tebal, adem. Jahitan Furing bagus dan Rapi. Buat yang TB 160cm ambil yg ukuran S aja, ngepas banget... Makasih Buat Selle...",bintang 5,9 bulan lalu
"Sesuai dgn pesanan,, bahan adem dan nyaman",bintang 5,2 minggu lalu
Super keren. Mantap bahannya dingin dipakai,bintang 5,7 bulan lalu
"Pengiriman cepat

Bahan adem

Nyaman dipakai

Terima kasih",bintang 5,1 bulan lalu
Bahan n ukurannya pas. Puas banget dengan Korpri-nya,bintang 5,2 bulan lalu
kancingnya tidak ada satu. mohon lebih teliti lagi🙏,bintang 1,4 bulan lalu
"Mantap
Pengiriman cepat
Tepat waktu
Ukuran baju pas
Bahan adem
Puas banget
Kurir ramah",bintang 5,4 bulan lalu
"Makasih paketnya sudah sampai,bahannya bagus,jahitan rapih,enak di pakainy",bintang 5,2 minggu lalu
Bajunya bagus semoga muat dibadan yg jumbo mksh 🙏🙏🙏🙏,bintang 5,2 bulan lalu
"Barang lumayan bagus dengan harga yg terjangkau, jahitan lumayan, packing oke, semoga awet dan tidak cepat pudar warnanya.
Amanah selalu....",bintang 5,4 bulan lalu
"Barangnya halus dan bagus, toko terpercaya, rekomendasi",bintang 5,2 minggu lalu
