review,rating,date
sip cuman diskonnya kurang 😅,bintang 5,3 bulan lalu
"barang bagus dan pas, admin juga ramah, thank you",bintang 5,2 bulan lalu
"Bagus, mantap, keren.. cuma pengirimannya agak lama.. check out jumat, nyampe nya selasa

Tolong di evaluasi, but untuk barangnya kualitasnya bagus banget",bintang 5,5 bulan lalu
Ukuran dan barang sesuai serta pengiriman jg cepat,bintang 5,1 bulan lalu
"barang keren, cuman pengiriman kurang",bintang 5,2 bulan lalu
Beuh keuren bro...pass,bintang 5,5 bulan lalu
bahan ok nyaman,bintang 5,2 bulan lalu
makenya bikin kerasa keren,bintang 5,3 minggu lalu
"terima kasih, barang nya sudah sampai",bintang 5,2 bulan lalu
Barang bagus nih..👍🏽,bintang 5,1 bulan lalu
Bagus pas,bintang 5,2 bulan lalu
Pengiriman cepat,bintang 5,1 bulan lalu
sesuai,bintang 5,1 bulan lalu
Ok,bintang 5,2 minggu lalu
ok,bintang 5,2 bulan lalu
Mantaaaaap,bintang 5,2 bulan lalu
