review,rating,date
Alhamdulillah barang udah sampai. Mantep packingannya rapi bagus. Bahan kemeja bagus tebel. Cuman di bagian belakang ada jahitan yang kurang rapi seperti yang say fotokan...,bintang 5,2 bulan lalu
"Kemejanya bagus bahan nya tebal nyaman di pakai nya, warna dan ukuran sesuai dengan pesanan..terimakasih",bintang 5,3 bulan lalu
"baguss pwoll bahan tebel, jaitan rapii, harganya terjangkau, ukuran sesuai, barang gak ada yang cacat, pengiriman cepet!!!",bintang 5,3 bulan lalu
"Kualitas bahan cukup baik, ukuran pas, nyaman di pakai dan harga bersahabat ✌️",bintang 5,4 bulan lalu
"Setelah pemakaian sebulan lebih dapat di bilang baguss. bahan menyerap keringat, lumayan tebal tetapi bagus, kerah jenis slimfit dan tidak mudah melar. Mantab",bintang 5,2 bulan lalu
"Jika kedua belah pihak terlibat dalam suatu hubungan dengan saling suka dan dalam keadaan sadar penuh, hal ini menunjukkan adanya dasar yang kuat untuk komunikasi dan pem...",bintang 5,10 bulan lalu
"jenis kain nya bagus banget, tebel dan hampir gak bisa kusut. ukurannya pas banget, agak lebih panjang dri perkiraan cuma gapapa. semoga awet!!!!",bintang 5,6 bulan lalu
"Pengiriman cepat, kemasan aman, original, seller terbaik, pokoknya gak rugi belanja disini yaa",bintang 5,8 bulan lalu
"Bahannya bagus ya menurut gw kayak bahan wol gitu atau kayak bahan kemeja polo, adem dipake nya enak juga nyerep keringat, btw buat lu yang suka pake xl upsize ke 1 tingk...",bintang 5,9 bulan lalu
"Bahan tebel , jahitan rapi bagus pokoknya👍🏼👍🏼
Kualitas produk: Bagus",bintang 5,2 bulan lalu
"modelnya oke, bahan oke-hangat, pas di badan. pengiriman baik. rekomend.",bintang 5,7 bulan lalu
"Alhamdulillah barang sudah sampai, pengiriman juga cepat. Beli ketika harga promo, tapi bahan dan modelnya ga main2. Brand lokal tapi ok, terima kasih Broodis...",bintang 5,10 bulan lalu
Sesuai ekspektasi ukurannya pas bahan lembut adem pokoknya the bessss,bintang 5,2 bulan lalu
Bahannya tebel dan warnanya juga cakep. Rekomen sih emang beli disini mah,bintang 5,4 bulan lalu
"Buset Bagian pergelangan tangannya kaku amat 
Ada sedikit kain yang potongannya kurang rapi
Benang dibagian kerah juga ada yang kurang rapih
Kualitas produk: Biasa",bintang 3,2 bulan lalu
"Paket sampai dengan aman dan dalam kondisi baik.
Barang datang dengan aman dan lengkap. barang bagus. Terima kasih",bintang 4,2 bulan lalu
"kulaitas bagus banget ,tebal dan ukuranya pas semuaa . nggak mengecewakan sih",bintang 5,2 bulan lalu
"kemasan rapih dan aman, bahan kurang cocok untuk di outdoor, lebih pas di indoor, banyak benang-benang lebih yang nongol, jadi lumayan harus guntingin satu per satu, untu...",bintang 3,8 bulan lalu
"Bhan tebal smg nyaman dipakeknya... sesuai pesanan, terimakasih 🙏",bintang 4,3 bulan lalu
"Sesuai pesanan...Bhan tebal, smg nyaman dan adem dipakek nya... terimakasih 🙏",bintang 4,3 bulan lalu
"Pas 
Sesuai pesanan
Tebal
Kayaknya adem ini",bintang 5,7 bulan lalu
"Alhamdulillah paket udah sampe, dan nggak lama datang nya. Bahan sesuai ekspektasi.  Memuaskan next bakalan order lagi 😊",bintang 5,8 bulan lalu
"ukuran pas dan sesuai
bahan agak sedikit panas tapi masih bagus
warna sesuai dengan deskripsi",bintang 5,
"Tebel si bahannya
Cuma sayang ga menyerap keringat dan panas",bintang 4,5 bulan lalu
"Bahan tebal, seperti bahan polo tapi dgn pori agak kasar dan lebih tebal, jahitan cukup rapi, potongan pas dgn ukurannya.",bintang 5,
"Baguss sih tebel juga toi aku kurang suka sm bahannya bertekstur gitu, tpi cakep kok.",bintang 4,2 bulan lalu
Bahan tebal dan lembut tidak kaku,bintang 5,2 bulan lalu
ini warna hitam soalnya gelap. suka sama produknya kalau suka sama kamu soalnya susah effortnya. saya dimana kamu siapa. makasih,bintang 5,5 bulan lalu
"barang sesuai diskripsi yg di iklankan penjual amanah respon cepat dan pengiriman tepat waktu,  sukses buat toko dan tik tok shop amanah selalu",bintang 5,1 bulan lalu
Paket mendarat dgn selamat.bahan.a bagus sesuai dgn harga .tapi jahit.a yg di bawah miring..,bintang 4,6 bulan lalu
"Ini pembelian ke 4 kali sda bahannya bagus bangt , ini mau beli lagi size s nya tapi ngk tau kapan ready nya . Semoga cepat yh ready barang nya min",bintang 5,2 bulan lalu
"Alhamdulillah sangat puas, kainnya tebal dan adem di pakai, ini luar biasa bagus di bandingkan harga. Next lagi",bintang 5,6 bulan lalu
"ganteng bgt dah pake ini kemeja sumpah , ukuran nya jg pas banget sm badan",bintang 5,8 bulan lalu
Ko bahan nya gini yah kirain bahan kain biasa inimh jaket,bintang 3,2 bulan lalu
"Udh repeat order, tapi kenapa ga ada logo brodisnya ya di kantong, liat di ulasan ada yg ada ada yg ngga. Lebih bagusnya sih ada jg makin keren mantap
Overall okeh keceee...",bintang 5,4 bulan lalu
"Suka bnget sma bjux, ukuranx pas, wrnax juga cntik, bhanx tbel...👍",bintang 5,3 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm MANTAPLLLL,bintang 5,
