review,rating,date
"Bagus.. Celana nya bahannya gak kaku
Tebel ukuran sesuai selendang nya juga ga terlalu panjang dpt kalung si pitung.. Paket hematt buat acara anak2 murah meriah
Thanks se...",bintang 5,
"barang dikirim sesuai, bahan dan motif bagus , pengiriman cepat",bintang 5,3 bulan lalu
"Pengiriman lamaaaa banget, ekspedisi payah, kalo seller cukup respon.... Celana agak ngepas, padahal sudah dibesarin dikit dari ukuran sebenarnya, saat ukur mengikuti per...",bintang 5,
"harga ekonomis kualitas oke
dipakai festival sekolahnanak",bintang 4,6 bulan lalu
"bahan adem, sesuai desc..makasi seller..berkah sll",bintang 5,8 bulan lalu
celana nya bagus dan pas. sudah dicoba dan baik sekali. Terima kasih seller,bintang 5,1 bulan lalu
"bagus keren, bahan adem gak panas . nyaman dipake sama anak",bintang 5,6 bulan lalu
"Produk sesuai deskripsi, proses cepat, seller komunikatif",bintang 5,11 bulan lalu
"bahan celana batiknya adem,respon penjual bagus..barang kosong langsung konfirmasi,packing aman & rapi,pengiriman cpt.tq tokopedia..",bintang 5,4 bulan lalu
"Barangnya baguuuus banget, murah ini mahh dapat 1 set begini, pernah beli celana batiknya doang ditoko sebelah kaennya udah kayak kain lap, harga lebih mahal, ok deh suks...",bintang 5,7 bulan lalu
Sudah diterima dengan baik. Bahannya agak tipis tp adem,bintang 5,9 bulan lalu
"Tebal, bagus, seller ini baik bgt pesan celana 2 dikasih free 1.dikasih bonus kalung jg",bintang 5,1 minggu lalu
kecewa dengan size kekecilan size 7 untuk anak 12/15...,bintang 4,3 bulan lalu
"model nya bagus, sesuai gambar. pengiriman cepat",bintang 5,6 bulan lalu
"ukuran sesuai yg tercatat. real pict, lengkap. dpt potongan hrga pula. trmksh ya seller",bintang 5,6 bulan lalu
pengiriman tdk sesuai jadwal/konfirmasi baru bsknya dan celana yg dikirim cacat krn panjang sebelah. padahal sudah minta tolong jgn kirim barang yg cacat,bintang 2,
Sesuai harapan 😍 produk bagus,bintang 4,1 bulan lalu
"Sangat puas pese sore,pagi datang pokoknya mantap lah ya",bintang 4,3 minggu lalu
"Seller fast respon dan ramah banget, barang cepat sampai, puas banget lah pokonya",bintang 5,
"pengiriman cepat tapi barang ga sesuai ukurannya sm di keterangan, pesan yg dewasa xl/ standar panjang 105 tp ternyata cuma panjang 90 atau mungkin salah kirim gatau jg s...",bintang 5,9 bulan lalu
