review,rating,date
"Bungkusnya sobek dikit tapi gaapa
Semoga cocok dan sesuai deskripsi
Ukurannya juga besar 👍",bintang 5,3 minggu lalu
Alhamdulillah barang nya udh nyampe gk nyangka bakal sebagus ini dan bahan nya nyaman tebal cocok lah ya buat muncak ehee seneng banget deh🤩🥰🤗,bintang 5,3 minggu lalu
"Terimakasih barang sudah datang, 
Bahan nyaman dan sesuai dgn deskripsi",bintang 4,1 minggu lalu
"Jaketnya Keren,  ukurannya Pass. 
Jahitannya Rapi, Bahannya Bagus. 
Semoga Awet.",bintang 4,1 bulan lalu
"Overall bgs bgt, cm di bagian tudung nya udh lecek gtu aja:(",bintang 4,1 minggu lalu
"Gak ada kekurangan si,tahan aja deh kayaknya untuk menghangatkan tubuh disaat hujan,gak tau belum coba wkkk baru nyampe soalnya😭misi min",bintang 5,1 bulan lalu
"Mantap nyaman 
Udah punya 2 jaket 
🥰❤️🥰
Cocok buat ke gunung",bintang 5,3 minggu lalu
"bagus jaket sesuai , moga awet
cuma dari pihak expedisinya lambat tidal sesuai tgl kedtngan",bintang 5,4 hari lalu
Jaketnya udh bagus tapi pengiriman nya lama bisa sampe seminggu saya nunggu,bintang 5,2 minggu lalu
"Kurir cepat, pengiriman sesuai, barang sesuai pesanan",bintang 5,6 hari lalu
Mantap barangnyaa sesuai harapan 🔥🔥🚀,bintang 5,1 bulan lalu
"Bagus,, tebal dan berfungsi dengan baik... 
Gak sabar buat naik ke gunung,,",bintang 5,2 minggu lalu
"Original lokal ok banget, tp sayang XXL nya terlalu kecil,agak sempit di badan, dari semua segi bahan dan bentuk ok punya",bintang 4,3 minggu lalu
"bahannya halus, sudah diterima dengan baik barangnya, tidak ada lecet/kerusakan, siap dibawa muncak🤩",bintang 5,1 minggu lalu
"Kualitas produk: baguss
Bahannya bagus, jahitan rapi dan barangnya sesuai dengan deskripsi rekomen buat badget pas pasan 👍🏻",bintang 5,1 bulan lalu
Kualitas produk: baguss bgttt udhh 2x beli disinii🥰🥰,bintang 5,2 hari lalu
"Paket sudah sampai selamat, size L pas ,,, warna petrol warna elegan ,,sempet ragu warnanya ternya sangat cocok bgd bahan keren  dan jaitan rapih , ga menyesal beli credi...",bintang 5,1 bulan lalu
Kualitas produk: Mantap bahan nya sesuai kaya di gambar mantap lah josssss jaitan nya juga rapih😁😁,bintang 5,1 bulan lalu
"Barang real pict, bahan bagus, puas belanja disini. Terima kasih",bintang 5,3 minggu lalu
"bagian dalam nya lembut, dan luar nya water proof. Sgt cocok di gunakan utk ke gunung",bintang 5,1 bulan lalu
"Barang mendarat dengan selamat
Kualitas produk: jaketnya bagus dan hangat",bintang 5,2 minggu lalu
"ini bagusss bangettttt, sesuai sama ekspektasi ku. love banget deh buat credifox",bintang 5,1 minggu lalu
Cepeeett bangeeeettt pengirimannya kereenn sukaa sama barangnya jga bagus 😍😍 terimakasih seller,bintang 5,2 minggu lalu
"Ini keren si sumpah, awal pengen warna pink tapi ke abisan. Tapi warna ungu juga cakep 😍 next mau cobain warna yg lain 🙌",bintang 5,1 bulan lalu
"Terimakasih pesanan sesuai, pengiriman cepat.  Anak saya suka",bintang 5,2 minggu lalu
Wah parah pesen silver yg dateng warna putihh sumpah kecewa kerja nya ga sesuai SOP🤬😡,bintang 4,1 bulan lalu
barang untuk harga segini bagus bnget,bintang 4,1 minggu lalu
"Kece bangettt woyyyyyyyy😍😍😍😍 
Warna nya juga cakep banget ah🔥",bintang 5,1 minggu lalu
"gw demen banget sama produk nya, bahan luarnya oke dan bahan dalem nya pun oke (bikin hangat), semua tali serut nya aman.
pokoknya mantap dan sukses terus buat credifox",bintang 5,1 bulan lalu
"Gorpcore pertama yang ku beli ya merk credifox,bahan nya lumayan tebel, jadi bisa menghangatkan mu saat kedinginan.  Tapi ini mataku yang burem ap begimana yaa, warnanya...",bintang 5,2 minggu lalu
"Keren poll pokoknya, barang sesuai pesanan,jahitan nya rapih cuman masih ada sedikit sisa benang panjang nya tapi itss okeyy jaket tetap aman kok",bintang 5,4 minggu lalu
"Produk sesuai deskripsi. 
udah punya 2 jaket Credifox. yg Gorpcore Climber ini bahannya lbh tebal, dan ada penutup wajahnya sehingga tidak dibutuhkan lg masker untuk meng...",bintang 5,1 bulan lalu
"oke cakepp bgt jaketnya, ternyata uk M buat bb 38 tb 148 gak kegedean bgt, pas. udah di tes tahan air juga beneran tahan air. bahanya gak terlalu tebal tapi ga terlalu ti...",bintang 5,1 bulan lalu
Bahan bagus nyaman ukuran pas sesuai dengan harga,bintang 5,1 minggu lalu
