review,rating,date
Bagus dari segi bahan jahitan pola sesuai👍 rekomended banget ini 🫡,bintang 5,3 hari lalu
"Kedua barang sesuai gambar warna dan motifnya. Kualitas lumayan lah, ekspetasinya bahannya lembut semi wolf gitu. Tapi kerenn",bintang 5,4 bulan lalu
PAS DIBUKA WANGI LAUNDRY ENAK BANGET BAHANNYA ADEM KECE,bintang 5,7 bulan lalu
"Alhamdulillah barangnya perfect banget 😍
Langsung aku pake nyaman,suka 
Gak nyesel lah pokok 🥰",bintang 5,6 bulan lalu
Bahannya adem...dan UK nya yg jumbo memang LBH besar dari jumbo motif batik kuning hitam,bintang 5,6 bulan lalu
"Bahan Kain Bagus, Lumayan lah..., tp klo keluar ruangan apalgi mw jalan2 pake Boxer yah... Agak nerawang dkit. Hehe",bintang 5,4 bulan lalu
"Suka banget sama celananya,motifnya suka dan bahannya pun dingin",bintang 5,5 hari lalu
"barangnya bagus bangettt sesuai gambar😍 beli disini banyak diskon
,bahannya juga adem ngga panas
udah berkali-kali beli disini juga karena emang sebagus ituu,,cocok untu...",bintang 5,8 bulan lalu
Bagus warna dan bahan nya sesuai dngn iklan,bintang 5,1 bulan lalu
"Celana nya bagus, sesuai dengan harga, harum wangi laundry,, tapi tidak sesuai pesanan yg dikirim beda dengan yg saya pesan. Tapi gpp karena saya suka juga",bintang 5,1 bulan lalu
"Kualitas produk: Sesuai dengan pesanan, terbaik 👍💯",bintang 5,7 bulan lalu
Beli 2 yang datang cuma 1 kakak nya ngalamun pas masukin celana,bintang 5,4 bulan lalu
"Mantab 👍, ada harga ada rupa swami saya sangat suka sekali 🌟🌟🌟🌟🌟",bintang 5,5 bulan lalu
"Alhamdulillah , celana nya bagus  anak ku suka no",bintang 5,1 bulan lalu
"Alhamdulillah dah sampai dengan selamat ,belum di buka,,,moga amanah kasih bng Kuring....",bintang 5,2 bulan lalu
"barang sesuai ekspektasi,baguss polll😍
pengirimannya juga cepett banget nget",bintang 5,6 bulan lalu
"Bagus..sesuai..untuk kurir ny best lh
Kualitas produk: Sangat puas..",bintang 4,5 bulan lalu
Dateng2 wangi laundry wkwkk wrt it si,bintang 5,7 bulan lalu
"barang nya sesuai yg di pesan,kurir nya ramah",bintang 5,7 bulan lalu
Kerenn Tebel bahan nya dan Bagus,bintang 5,5 bulan lalu
"Minta ukuran XL di kirim XXL
Kualitas produk: Di pake sekali jaitan kotak harus di jait lagi",bintang 1,6 bulan lalu
Bahan bagus..dan rapi...mantap,bintang 5,6 bulan lalu
