review,rating,date
"bahan bagus, adem, modelnya oke, packing rapi, pengiriman cepat harga terjangkau. Semoga nanti beli lagi disini ya..",bintang 5,5 bulan lalu
"jangan dibeli, produk asal. bahan dari potongan² kain, cepat robek. menyesal saya.",bintang 1,
"model keren, bahan lumayan, harga terjangkau, sesuai iklan, pengemasn rapi, pengiriman cepat, mantap",bintang 5,9 bulan lalu
"Seller responsif, proses cepat, paking rapih, celananya bagus, pengiriman jg ok sesuai dengan jadwal",bintang 5,8 bulan lalu
"respon dan pengirimannya cepat,, model nya oke, bahannya adem cocok buat di rumah,, ukurannya pas utk TB 172 cm BB 62 kg recommended seller",bintang 5,1 bulan lalu
"Alhamdulillah paket sudah diterima,warna yang dipilihkan nya mantap,putih cerah,cocok banget ma anak nya",bintang 5,
"Celananya lebar bgt, jd lucu krn pinggang nya kecil. Ukurannya ⅞ jd hampir setengah betis",bintang 5,2 bulan lalu
"allhamdulilah ssah sampai celananya.. MasyaAllah bgus dpt harga murah juga
pas D suami bb 65 an
muat",bintang 5,8 bulan lalu
promo yang sering terngiang-ngiang didalam hatiku,bintang 5,8 bulan lalu
"keren dan harga bersahabat, lumayan enak juga di pakai",bintang 5,8 bulan lalu
produk ok packing ok pengiriman ok thanks seller 👍👍👍,bintang 5,
"bahannya nyaman dipakai, ukurannga pas",bintang 4,8 bulan lalu
"ini u/ org dewasa yg kurus ya... yg badan nya mentek, gemuk, ambil yg size dewasa jumbo...",bintang 5,
"bahan adem dan tidak tipis, sangat rekomendasi.",bintang 5,
"barangnya bagus, respon cepat pengiriman cepat, best seller",bintang 5,
"okeh bahan lumayan ukuran besar cakep dah, pengiriman cepat dan kurirnya juga cepat",bintang 5,
"bahan nya bagus dan ukuranny sesuai dg spek yg di deskripsi 
mantapp",bintang 5,
