review,rating,date
"jahitan rapi,spt nya kuat,ukuran pas,bahan tebal,proses dan kirim cepat",bintang 5,3 bulan lalu
"datangnya sungguh telat dari estimasi karena hujan dan pilkada pada mau di pake buat kustom KPPS, jadi beli lagi yg instan mudah""an awet soalnya yg instan juga merk i...",bintang 5,6 bulan lalu
"jahitan rapih dan terlihat kuat,bahan lumayan tebal,murah,pengiriman dan proses cepat",bintang 5,3 bulan lalu
"Respon cepat & pengiriman cepat. Celana sesuai ukuran, bahan bagus & nyaman dipakai",bintang 5,
"sesuai harapan. agak longgar, nyaman dipakai",bintang 5,
"Produk bagus, pelayanan bagus, puas belanja disini. Thanks",bintang 5,
"Recommended seller, produk sesuai pesanan, by gojek cepat sampe. terimakasih Gan.",bintang 5,
"ukuran cocok ( jumbo) 
pengiriman cepat
bahan bagus
mudah mudahan awet",bintang 5,
sampe tepat waktu modelnya lebar dibawah bukan yg pensil tp bahannya bagus kog.tx ya,bintang 5,8 bulan lalu
"Jahitan rapi. Lingkar paha & panjang ukuran jumbo, tp lingkar perut kurang besar.",bintang 5,5 bulan lalu
beli aga gedean biar bs d pasin ma bentuk badan..,bintang 5,
"ukuran jumbo sesuai deskripsi ya, mantap",bintang 5,
Ukurannya pas Berat badan > 80 kg,bintang 5,
"Ukurannya pas mantappp super size cocok buat yang punya betis paha besar, saya berat 90an cocok banget biarpun rada panjang tapi tinggal potong ke tukang jait, cocok poko...",bintang 5,
"bahan tebal, harga murah pas dapet diskon lagi...next beli lagi disini",bintang 5,
"bahannya agak kaku, tapi sepadanlah dng harganya",bintang 5,
celana enak tp di bagian selangka rada sesak,bintang 4,
"Seller baik.
Pengiriman super cepat, kain halus, motif dan warna bagus.
Jahitan rapi.",bintang 5,9 bulan lalu
Produk ok. Packing rapih dan aman. Terima kasih,bintang 5,
Ukurannya terlalu besar Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 4,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5,
"Bagus murah, semoga awet… kayaknya mau pesen lg",bintang 5,2 bulan lalu
"ukuran benar jumbo, bahan adem.",bintang 5,2 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
masih dikantor barang sudah sampai siippp,bintang 5,
"Keren. Barang bagus, harga bersahabat..!",bintang 5,
Sukses buat seler dan kurir kemasan rapi kurir bersahabt,bintang 5,1 minggu lalu
"dikirimnya cepat tetapi ada trouble di kurir, dan sudah diselesaikan oleh kurir tersebut dengan dikirim via kurir lain, terima kasih.",bintang 5,
"pengiriman cepat, harga oke",bintang 5,
celana besar,bintang 5,
kondisi baik. terima kasih.,bintang 5,
keren,bintang 5,
barang sesuai,bintang 5,
kepanjangan,bintang 5,
Ukuran pas,bintang 5,
"Bagus.....
Oke.......
Mantap....
Cepat.....
Recomended..........",bintang 5,
biar foto yg bicara,bintang 5,7 bulan lalu
bagus,bintang 5,
mayan,bintang 5,
SudAh pesan yg ke 2,bintang 5,2 bulan lalu
Mantappps,bintang 5,
sesuai pesanan tks,bintang 5,3 hari lalu
Toooooopppppp,bintang 5,
,bintang 2,2 bulan lalu
,bintang 1,
"produk oke, bahan oke. harga bersaing. recommended.",bintang 5,
bagus....,bintang 5,
produk oke.,bintang 5,
Produk oke.,bintang 5,
enak lumayan buat sehari2,bintang 5,enak lumayan buat sehari2
mantap,bintang 5,
Muattt,bintang 5,
Terima kasih,bintang 5,
kurang panjang kayaknya kurang 2 ukuran,bintang 5,
istimewa👍👍👍,bintang 5,
bagus dan puas,bintang 5,
"produk sesuai, respon cepat, proses cepat, terima kasih",bintang 5,
barang sesuai pesanan,bintang 5,
"beneran jumbo nih...dpt motif yg bgs,untuk bhn jg ok...tq seller 🙏",bintang 5,
sesuai harga.. . bagus...,bintang 5,
"Alhamdulillah barang datang sesuai ekspektasi.. order celana ini udh yg ke 2x, karena emng sukaa, terima kasih seller",bintang 5,
bahan tipis banget,bintang 2,
"bagus bahannya, semoga awet",bintang 5,
recommended seller...,bintang 5,
Is ok,bintang 5,
"Celana batik nyaman dipakai buat sehari-hari. Cucian pertama disarankan terpisah dengan baju lain supaya tidak luntur. Tidak untuk dipakai aktifitas lincah berat juga, se...",bintang 5,
