review,rating,date
"Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg. Bahan kain biasa, tdk tipis tp kurang mengesankan anggun atau elegan, msh bisa dipake di acara pesta seder...",bintang 4,10 bulan lalu
"OK lah untuk harga blazer segini, packing aman terkendali, delevery sesuai, bahan agak tipis untuk jas biasanya, tapi klo saya ok jadi gak panas pakai jas nye, matur suwu...",bintang 5,
mantaf Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,
"Barang sesuai deskripsi, aman, sangat bagus, bahan nya juga, ukurannya oke, admin nya juga sangat membantu sekali. 
terima kasih banyak 🙂👍",bintang 5,
"Modelnya bagus banget, TB 167 BB 76 disarankan L sama admin bener"" pas, tidak kegedean tidak kekecilan, good job admin!! Recommend banget, terlihat keren dan classy,...",bintang 5,1 bulan lalu
Ukurannya pas utk Tinggi badan < 160 cm kualitas bagus bahannya tebal packing rapi pengiriman cepat,bintang 5,
"bahan bagus, hitam pekat, pengiriman cpt, seller ramah. 👍",bintang 5,5 bulan lalu
"penjual fast respon,pengiriman lumayan cepat,brg sesuai harga",bintang 5,
"Ukuran sesuai,Bahan nya good,,warna nya sesuai,semoga awet terimakasih,min.",bintang 4,
"Mantabbb.. makasih gan.. semoga berkah.. bisa return tukar size.. awalnya konsultasi saran size M dari penjual, eh datang ternyata kekecilan auto return tukar dan lancar...",bintang 5,
"Barang sudah sampai dan sesuai pesanan..
Ukurannya juga pas..
Makasih..",bintang 5,11 bulan lalu
"TB 177, BB 68 direkomendasikan oleh seller uk. M dan sudah dicoba ternyata pas sekali. Terimakasih seller, untuk yang mau beli diskusikan dengan seller yaa ukurannya 👍👍",bintang 5,8 bulan lalu
"Modelnya pas dibadan ehh ukurannya maksudnya, lumayan nambah ganteng gue dikit",bintang 5,
"bagus kainnya dan warnanya benar2 hitam. bagian pundak kurang pas dikit, tapi gak apa2, masih bagus.",bintang 4,
"Fast response, barang tiba dengan selamat, kualitas bahan ok, ukuran pas dan nyaman dipakai.",bintang 5,2 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
Ukurannya pas  Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
"jahitan rapih, bahan oke, respon cepat, proses cepat, untuk harga yg dikasih sangat worth it.",bintang 5,7 bulan lalu
"uda dicoba pas  mantep , bahan  bagus ,kualitas lumayan dengan harga segini, moga awet aja tks min ,pengiriman standar",bintang 5,
"modelnya keren,seller jg ramah,fast respon,pengiriman jg cepat.tks seller",bintang 5,
"Ukurannya pas
tinggi 162 BB 54

Bahan bagus sesuai harga 
cocok buat jas wisuda, magang",bintang 5,11 bulan lalu
Ukurannya pas Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Berat badan > 80 kg Berat badan 60 - 70 kg Berat badan < 60 kg Tinggi badan 171 - 180 cm Tinggi bad...,bintang 5,11 bulan lalu
"model sesuai seperti di foto..bahan halus..warna sesuai keterangan..👍👍
proses di toko juga cepat...masalah lama sampai ke tangan konsumen sih gimana kurir aja..",bintang 5,
"pas di badan, harga sesuai dengan bahan, worth it lah. seller juga responsif. thanks 😁",bintang 5,11 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg serta harganya terjangkau,bintang 5,11 bulan lalu
"modelnya keren...bahan bagus,jahitan rapi...barang sesuai..proses dan respon toko bagus..pengiriman cepat dan aman...tks 👍🙏😊",bintang 5,
Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg Ukurannya terlalu besar,bintang 5,
"Membantu sekali, pesanan kekecilan lsg di respon dan ditukar ukuran yg pas👍👍👍",bintang 5,1 bulan lalu
"Tinggi badan 160, bb 54... alhamdulillah pas, bahannya halus, jahitan rapi... sip banget. makasih seller",bintang 5,10 bulan lalu
Proses sangat cepat..produk pas sesuai harapan..joss,bintang 5,
"bahan bagus untuk harga segini, potongan nya juga lumayan. saya tinggi 172 cm berat 95kg ukuran XL. thanks",bintang 5,11 bulan lalu
"Tinggi badan saya 163, berat badan 56 untuk ukuran S sangat pas, sukses selalu seller",bintang 5,
"bagus jahitan rapih, terimakasih sudah fast response dan fast pengiriman",bintang 5,
"bagus, harga segini standar lah.. cukup nyaman dipakai dan lembut juga, nice dehh",bintang 5,
Ukurannya pas utk tinggi 170cm & berat badan 60an kg. bahan nyaman berasa jas mahal pdhl cuma 300an rb... mantaap lah 👍👍,bintang 5,
"ukurannya XL agak kegedean untuk tinggi badan 170, berat badan 72",bintang 5,11 bulan lalu
barang oke pengiriman cepat harga bersahabat,bintang 5,
"Barang sesuai yang ditawarkan, pengiriman sesuai dengan jadwal, terimakasih",bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,12 bulan lalu
Barang sesuai pesanan pas dibadan...real pict mks,bintang 5,5 bulan lalu
"Barang mendarat dengan aman, barangnya bagus sesuai harga",bintang 5,
"kurang slimfit buat yg badan kurusan, Tinggi badan 170 cm",bintang 4,
bahan bagus jait rapih top deh,bintang 5,
Ukurannya pas Berat badan < 60 kg,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
"Great quality at an affordable price. The customer service is known about the product and really helpful, they can help to choose a suit size and fit to make sure you get...",bintang 5,
"Respon pelayanan cepat, barang cepat sampai, kualitas barang  dan warna bagus sesuai deskripsi, pas dibadan sesuai ukuran pokoknya mantapp tinggal dipakai nanti buat kegi...",bintang 5,4 minggu lalu
