review,rating,date
"pengiriman dari seller terhitung gercep, kualitas bagus, cuman XL nya agak kecil dari ukuran biasa, bahan dalamnya agak kasar, tebel, luarnya lembut",bintang 5,
"Kualitas Oke, Bahan cakep, Design keren, puas dengan produk ini",bintang 5,
"modelnya keren, ukuran pas, real anti air hujan sedang okelah, 3saku di luar, satu saku didalam, sakunya dalem mantap gak nanggung. pas bagian pergelangan tangan ada inov...",bintang 5,
"mantap, tapi bagian pergelangan tangan agak sempit",bintang 5,
"Respon cepat, pengiriman cepat, barang di terima sesuai dengan gambar... Topp👍",bintang 5,
Ukurannya pas Berat badan < 60 kg Tinggi badan < 160 cm,bintang 5,
"barang berkualitas, bahan kelihatan mahal berkelas, kamtongmya banyak dan semua bisa muat hape. cocok untuk cari galagampil pas lebaran ke tetangga dan sodara",bintang 5,
"barang mendarat dengan aman . barangnya oke , cuma bahannya agak tipis. tapi  oke sesuai harga . next bakal belanja lagi disini",bintang 5,
"Mantapp, bahan nyaman. ukurannya pas. Reccomended seller",bintang 5,
"Seller responsif, bahan jaket bagus. Sayangnya disini pihak kurir rekomendasi kaya gak niat anterin paket. Yah walaupun masih dalam batas waktu estimasi, tapi harusnya ma...",bintang 5,6 bulan lalu
bahan tebel. mantap lah. cuma panjang lengan agak lebih panjang..untk tinggi 175 bb 72 lebih baik pake L. trimaksih seller n tokped buat cashbeck nya.semoga berkah,bintang 5,
"Bahannya Bagus,Modelnya Juga keren. Tapi sayang kemarin Yang hitam habis jadi ganti yang Navy blue",bintang 5,
"Mantap, harga dan badge toko tidak pernah bohong👌sesuai ekspektasi, walau diproses sedikit lama, but it's worth the wait, mungkin mengikuti note dari saya🙏 overall...",bintang 5,
"Bagus jaketnya, fit pas. cuma sayang gak tahan air, baru hujan sedikit lgsg kuyub.",bintang 4,
"Ukurannya pas, bahan juga bagus, mantan pokokna.. 👍👍👍",bintang 5,
"pengiriman aman & standar cepat. tinggi/berat badan 168/60 pake M pas banget, sesuai sama chart size, posisi jaket di pergelangan tangan pas bgt berhenti sblm telapak...",bintang 5,
"bahan bagus, jahitan rapi,,
saya recommended,.

masukannya : mungkin karena penjahitnya beda"". Saya pesan 2 buah ukuran L. masing"" ukuran panjang L nya sedikit be...",bintang 5,
"Ukurannya pas, Tinggi badan > 180 cm, Berat badan 71 - 80 kg
bahan agak tipis sedikit, tapi worth to buy 👍🏻",bintang 4,
"Bahan bagus, ukuran pas..keren!!",bintang 5,
"Pengiriman cepat, rekomendasi size dari seller oke. Sebetulnya overall puas, tapi jaket yang saya terima ada cacatnya, button untuk kantong kiri robek, seperti terpasangn...",bintang 3,
"Terimakasih

Jaketnya keren dan ukurannya pas",bintang 5,
"bagus, pas di badan. cocok lah buat motoran. sukses selalu buat seller",bintang 5,
"awal seller salah kirim warna, akhirnya retur sesuai pesanan..
seller melayani komplain dgn baik..",bintang 5,
"harga sepadan dengan kualitas, tebal, mdel keren",bintang 5,
"Pengiriman cepat,rapih dan rapat
jaketnya kece",bintang 5,
Ukurannya pas Tinggi badan < 160 cm Berat badan < 60 kg terima kasih,bintang 5,
"mantull..
pengiriman cepat respon penjual baik.",bintang 5,
"Modelnya keren, sesuai sama deskripsi, harga affordable",bintang 5,11 bulan lalu
"model keren, kualitas tinggi. nda pernah nyesel beli outerwear di cottonology",bintang 5,
Ukurannya pas dan keren banget,bintang 5,
barang bandung mah moal ngecewakeun 👍 sip nuhun min ahh,bintang 5,
Ukurannya pas Tinggi badan 171 cm Berat badan 66kg,bintang 5,
"Ukuran Sesuai, semoga awet, 
Pengiriman lebih cepat dari jadwal",bintang 4,
"terimakasih, pengiriman cepat pelayanan maksimal",bintang 5,
"beli nya apa dateng nya apa, beda semua nya sama di foto sama barang yang dikirim. sangat tidak recommended sama sekali.",bintang 1,1 bulan lalu
"Salah warna,  hitam tapi dikirim Navy, tapi gak bilang2.
Dapat bonus boxer.",bintang 3,
dalemnya ternyata bahan parasit juga. panas dan kurang nyerap keringat,bintang 4,
"Bagus, tapi size nya tidak sesuai dengan yang direkomendasikan (gapapa sih, tpi agak kecewa dikit karena ukurannya agak kecil di badan). Kalau tau saya ambil M atau L saj...",bintang 5,
"Untuk kualitas mantep, bahannya pun tebel",bintang 5,
"Ukurannya pas Berat badan 71 - 80 kg, ini bagusss banget sumpah, jahitannya rapi bahannya tebal dan lapisan dalam bagus pokoknya top gak bakal nyesel deh",bintang 5,
"kualitas baik, ukuran yg saya pilih sesuai dengan badan. namun benang bagian dalam jaket kalau terkena kulit terasa gatal",bintang 5,
Kualitas produk sangat baik sesuai ekspektasi. Nyaman dan hangat.,bintang 5,
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm Tinggi badan > 180 cm Berat...,bintang 5,
"keren
puasss...suka bangett. sesuai dengan ekspektasi lah",bintang 5,
"Alhamdulillah,,, sampainya cepet banged",bintang 5,
"Ukurannya terlalu besar Tinggi badan 178 cm, ku rasa akan fit di XL",bintang 5,
"model keren banyak kantong. 
sayang sekali resletingnya jurang halus",bintang 5,
"Bahan tebal tp adem, stitching dan lining nya juga bagus.. nice",bintang 5,
"Ukurannya pas , karna dikasi bonus bintang 5 deh gak jadi marah , terima kasih",bintang 5,
mantap bahannya lembut pas di badan semoga awet,bintang 5,
"mantup, tp kalo menurut saya ini agak panas.",bintang 5,
pesen yang xl (tinggi w 175an bb 55) ternyata pas skali. bahannya ini w demen bgt,bintang 5,
"Ukurannya pas, Tinggi badan 171 - 180 cm, Berat badan 60 - 70 kg, mantap pol deh",bintang 5,
"Ukurannya pas untuk Tinggi badan 160 - 170 cm, cuma warna itemnya  krg jos mnrtku agak beda dr gmbr.. tp utk hrg segitu y wajar",bintang 5,
nice jaket. tunggu orderan selanjutnya,bintang 5,
