review,rating,date
bahannya bagus. ga terlalu tebal ga trlalu tipis. ukuran sesuai. packingnya cmn plastik. untung aman,bintang 5,
"Pembelian yg kedua sama ini. Kualitasnya bagus dan fit di badan. Size nya regular ya, kalau mau oversize naik 1 tingkat size nya",bintang 5,
Bahannya enak bagus dan worth to buy. 😁👍,bintang 5,8 bulan lalu
"Kalo pngn punya pakaian yg polos², HG selalu jd pilihan utama. Materialnya bagus, warnanya cakep & jahitannya super rapi. Dng harga di bawah 200k, udh bs dapetin kual...",bintang 5,
"sesuai dengan harapan bahan bagus, sesuai dengan harga dan ukuran nya juga sangat sesuai harapan, 10/10",bintang 5,
Selalu order disini untuk soal pakaian karena bahannya nyaman dan harga terjangkau hehehe terima kasih banyak 🍻,bintang 5,4 bulan lalu
"barang cepat sampai, best price dengan kualitas bahan nya, sangat memuaskan",bintang 5,3 minggu lalu
"pembelian ke dua kali.
mantap,tidak mengecewakan",bintang 5,
"Bahan berkulitas, nyaman saat dipakai, jahitan rapih dan ukuran sesuai topp 👍👍",bintang 5,
"Sekali beli jadi ketagihan, bahan dan tingkat ketebalannya pas sekali. nyaman dipakai, terimakasih.",bintang 5,
"pertama coba merk ini , kesan prrtama suka karena enak dipakai , ukuran pas sama badan , terimakssih",bintang 5,2 bulan lalu
Tinggi 177 BB 85 ambil XL masih rada lega. Keren bahannya. Worth to buy. Nyaman. Respon penjual cepat. Terima kasih!,bintang 5,
"barang bagussss, bahannya okee, modelnya cakeppp. Terima kasih ya",bintang 5,
"Cozy, comfortable texture on the inside, and looks nice layered over a dress shirt. It sheds some, but I guess that's inevitable for a warm sweater. It fits me perfec...",bintang 5,
"Pembelin ke 2 gk pernah mengecewakan, kualitas kerenn",bintang 5,11 bulan lalu
polos and simpleee....kereeen pokoknya...,bintang 5,1 bulan lalu
"Sesuai deskripsi, sukses terus",bintang 5,
"bagus. adek suka bgd nich 
makasih tokped dan seller",bintang 5,
Ukurannya pas Tinggi badan < 160 cm,bintang 5,
"bahannya enak, muat di badan",bintang 5,
"Bahannya lembut, di dalem ada buku halus taoi ga nempel di baju, ukurannya pas. Maaf ga difoto, langsung saya cuci biar bisa diapake hehehe",bintang 5,
"Bahannya bagus, dalamnya lembut, cuttingannya rapi,  ketebalannya juga pas , fittingnya juga sesuai ukuran",bintang 5,1 minggu lalu
"Pemrosesan dan pengiriman cepat. 
Kualitas sweatshirt bagus. Jahitannya rapi, bahannya lembut, warnanya pekat. Ukurannya proporsional. Recommended seller nih 👍🏼",bintang 5,
"bagus banget asli, lebih tebel dari yang gue kira tapi tetep gak kerasa panas
oh ya, untuk TB 174 BB 75 kg ukuran L masih aman ya",bintang 5,
"buat yang lagi cari outfit kualitas kelas atas harga miring, HG ini emang paling cocok buat kamu. Ditunggu inovasi lain nya ya",bintang 5,10 bulan lalu
"Barangnya sesuai dengan ekspetasi, bahannya nyaman dan bagus👍",bintang 5,
"Bahan nya enak lembut, cuma saya XXL agak kebesaran dikit hehe tapi keren mantap",bintang 5,
"ukuran nya pas, bahannya lumayan. cocok lah harga segitu.",bintang 5,
"Ukurannya pas, bahanya tebal, modelnya keren, recommended sellernya",bintang 5,
"Ukurannya pas. bahannya enak polll
mantap",bintang 5,
Barangnya mantap nih sesuai harga,bintang 5,
"model keren, size pas, bahan bagus banget
keren pokoknyaa… 
selanjutnya pasti bakal order lagi
👍🏽👍🏽👍🏽👍🏽👍🏽",bintang 5,6 bulan lalu
bahannya enak bgt bagus juga cutting  nya,bintang 5,
size M bawah nya kepanjangan buat sy tp bahan ok laa,bintang 5,
"Bagus, sesuai ekspektasi, pengiriman cepat",bintang 5,
"Barang diterima dengan keadaan baik, sesuai dengan deskripsi toko, recommended 👍",bintang 5,
gellaaaa.. bahan nya bagus banget ini. rekomended banget lah cok.,bintang 5,
"pesanan datang sesuai dengan apa yang dipesan, tidak ada kecatatan dan juga seller cepat dalam mengkonfirmasi pesanan",bintang 5,
style kece bahan mantap model na well buakaarrr,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg,bintang 5,
Ukurannya pas untuk Tinggi badan 171 - 180 cm,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
"ini pembelian pertama, sesuai ekspektasi.",bintang 5,
buat pacar saya hehehe barangnya bagus katanya dia suka,bintang 5,
Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,
"CO Jam 9.57 pake Instan yg 3 Jam Sampai.
Chat Admin apakah bisa sampai di Jam 3 Sore karena mau dipakai acara, Admin bilang takut ga keburu, trus sya Cancel Order & c...",bintang 1,2 bulan lalu
Bagus banget kualitasnya,bintang 5,
yang ini muat👍 bahannya bagus,bintang 5,
model dan bahan selalu bagus di toko ini,bintang 5,
"recomended, 174cm/70kg",bintang 5,
"keren banget ,bahan adem,top seller",bintang 5,
mantap pisan pembelian kesekian kali ga pernah ngecewain. love u human greatness🫰,bintang 5,3 bulan lalu
untuk barangnya bagus..,bintang 5,
