review,rating,date
"Barang sudah di terima, bahan dan kualitas bagus sesuai harga",bintang 5,2 bulan lalu
Paket dudah nyampai barang sesuai bagus pokony🤩👍 toko amanah banget aku suka jahitan rapi kulir nya juga baik sudah langganan sukses sllu 🤲...makasih 🙏🏼,bintang 5,3 bulan lalu
"ok barang sangat baik dan bagus untuk uk nya pas  , dan bahan sangat baik",bintang 5,2 bulan lalu
"Pesanan sudah nyampai , prodak lumayan sesuai harga , tapi ini bahan nya polister ya gan , bukan dari bahan semiwol nilon , tapi buat aku ok lah suamiku suka , semoga suk...",bintang 5,5 hari lalu
Kualitas rombengan... Kainnya garis² COK... nyesel beli gua...,bintang 1,2 bulan lalu
"sesuai deskripsi, ukuran pas, kualitas oke dengan harga segitu. respon penjual cepat dan pengiriman cepat, recomended",bintang 5,1 bulan lalu
"alhamdulillah cepet sampe jaz nya bagus walau bahan nya agak ringan bagus utk acara resmi aekali pakek 
makasih ya amoga tokonya aelalu amanah",bintang 5,3 minggu lalu
"Barang cepat sampai, jasnya realpict bahannya bagus warna hitamnya pekat..
Tangannya agak sedikit kepanjangan dianak saya, overall bagus lah pkknya",bintang 5,3 minggu lalu
"Luar biasa.
Kualitas sangat bagus sesuai harga. Tidak kalah bagus dengan harga yang 500 ribu dan 1 juta keatas. Sungguh diluar ekspektasi saya. Recommended untuk berbelan...",bintang 5,2 bulan lalu
Terima kasih tik tok jasnya udah nyampek bgus sekali anakku suka...kurirnya ramah udah langganan,bintang 5,3 minggu lalu
"Alhamdulillah 🤲🏼 barang pesanan udah nyampe dari 2 hari yang lalu mohon maaf karena baru sempet kasih ulasan, model dan bahan nya sangat bagus, dan aku benar benar sang...",bintang 5,2 bulan lalu
Gak sesuai bilangnya kancing 2. Yang datang kancing 1.,bintang 1,2 minggu lalu
Paket baru sampai.packinh aman rapih.bahannya bagus jahitan sangat bagus banget REAL100% 🤩🤩🤩 UKURAN sesuai pas dan slim fit di badan,bintang 5,4 bulan lalu
