review,rating,date
barang bagus kualitas nya top harga nya naik overall 100 dijamin ori,bintang 5,8 bulan lalu
"modelnya keren, bahannya bagus cuma agak kepanjangan. perlu dipermak dikit.",bintang 5,5 bulan lalu
"tinggi 175 bb 60 ukuran L cocok si, pas dan enak banget bahannya adem, murah lagi",bintang 5,5 bulan lalu
enak di pake adem dan kece pas di badan gw. tapi kayaknya mudah lecek. Nyaman dipakai Modelnya keren 😎 Jahitannya rapi Ukuran sesuai Warnanya mantap Bahannya adem Kancin...,bintang 5,
"APAAN INI WOY KEREN BANGET KEMEJA NYA ga usa ragu kualitas Erigo ganteng banget sumpah, kemeja nya ga kaku tapi juga ga kerut bahan adem lembut halus gmn yah Kyk ga mau D...",bintang 5,
"oke paket di terima dengan baik ,, untuk kualitas barang oke kok kak 😁 bagus ,, tapi sayang nya untuk pengiriman agak lama kak oke itu saja dari saya",bintang 5,
"pas, bahannya enak banget dibadan dan juga keren. ga heran sih karena ini dari erigo, mantap dah",bintang 5,
overall bagus. lebih baik pilih satu soze keatas. rada susah disetrika.,bintang 5,
Keren. Pas ukurannya. Bagus bahannya. Premium. Top. Terima Kasih.......................,bintang 5,7 bulan lalu
"bahan adem, warna sesuai. 
packing aman. 
proses dan pengiriman cepat.",bintang 5,6 bulan lalu
Ukurannya terlalu besar Tinggi badan 160 - 170 cm Berat badan > 80 kg,bintang 5,
produk original mantap bener cooyy 🤩🤩,bintang 5,
Modelnya Keren! Pas dibadan & nyaman waktu dipakai kerja atau pun beraktivitas. Bahannya Cukup Tebal tapi tidak panas.,bintang 5,
"mantap, one piece udah episode 1034 dan terus berjalan, terus ada house of dragon juga. hat tontonan, pkoknya mantap dah",bintang 5,
"ini cutting-annya gimana sih? gak jelas!
awal beli L kegedean, terus beli yang M masih agak kegedean, nah sekarang beli yang S, malah lebih gede dari yang L 😅🤣😂",bintang 1,8 bulan lalu
model nya pas bgus..😁🔥 top mamtap is the bet,bintang 5,4 bulan lalu
"Barang sesuai 
Respon toko cepat",bintang 5,
"yg kanan brand lain ukuran M sesuai deskripsi...yang kiri Erigo ""Lebel"" ukuran M. tp panjang baju gk sesuai deskripsi...yg datang panjang ±75cm ""XXL""",bintang 1,
Bahan sendiri kelihatan tipis tapi ternyata ketika dipake ngga seperti itu. bahannya enak jugaa buat dipake. emang ngga pernah nyesel beli di sini.,bintang 5,
Warnanya lucu dan bahan yang dipakai nyaman apalagi di cuaca panas. Terima kasih ya 😊,bintang 5,
Nyaman dipakai. Ukuran sesuai. Warnanya mantap. cuma bahannya tipis,bintang 5,
bahan super lembut dan lemes nyaman di pakai kain berkualitas kancing jahitan rapi dll sempurna,bintang 5,
"Bahan baju adem bgt, baru tau ternyata bahan rayon itu adem dan lumayan lemes, jadi cocok buat jalan. desain baju baikk, pengiriman regulernya cepat. terima kasih!",bintang 5,
"Pesanan sdh diterima dlm kondisi baik sesuai note size dan warnanya, seller respon cepat, bahan adem dipakai nyaman, model jg bagus, semoga awet, pengiriman cepat sampai....",bintang 5,
"Gila mantap bener cuy. Kainnya adem lemes, ringan banget, dipake jalan kaki ke kampus juga adem parah padahal Depok panas. Top lah, ditunggu ya next order buat warna lain...",bintang 5,
"Cukup puas.
Quality control harus lebih diperhatikan. Masih banyak benang sisa jahitan berlebihan di setiap sisi. Bikin jahitan kurang rapih. Tapi bahan sudah bagus.",bintang 4,
"cukup tebal dan agak sedikit menerawang tapi tidak masalah. 

namun looks pertama yang diliat adalah ada seperti kilauan bekas setrika ketika kena pantulan cahaya. mungki...",bintang 5,
"sesuai pesanan, bahannya halus juga adem
erigo is the best",bintang 5,
"murah yg bukan murahan! bagus, jahitan rapi, adem, bahan jatuh ngga kaku. Next pasti bakal beli lagi. saya pakai size Large, TB 172, BB 75. Pas bgt size nya!",bintang 5,
"Barang Bagus.

kalau bisa jangan lagi pakai exp JN* pesen barang di tiga 3 toko berbeda dan beda kota, semua nya lambat karna pengiriman di bulak balik gudang A ke B bali...",bintang 5,
"bahannya bagus, tapi jahitannya kurang rapih pada bagian lengan sebelah kanan tidak simetris dengan yg kiri panjang sebelah.

pengiriman lemooott",bintang 4,
"Ukurannya pas Tinggi badan 171 - 180 cm
bahannya adem dan nyaman dipakai, keren n bagus pokoknya mah👍🙏",bintang 5,
"Packing rapih. Bahannya bagus, adem. 
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg. Thanks 👍",bintang 5,
"pengiriman cepat, packagingnya aman, bahan halus, model bagus",bintang 5,12 bulan lalu
"Sesuai gambar, bahan cukup tebal. Adem dipakai. 
Jahitan dan Cutting rapih.",bintang 5,
kain adem jahitan rapi modelnya stylish keren nyaman dipake,bintang 5,
bahan nya adem tebal dan lembut  Ukurannya pas,bintang 5,
"pengiriman cepat.
packaging aman.
Bahan kemejanya adem dan nyerap keringat.",bintang 5,
"Bahannya soft and cool, cocok untuk aktivitas kerja atau kuliah ✊",bintang 5,6 bulan lalu
"kaos bagus, hanya beberapa kendala saya alami. mungkin karena faktor lebaran. pengiriman terlalu lama dan tidak sesuai pesanan. tetapi komplain dilayani dengan baik. teri...",bintang 5,
"Ukurannya pas, bahan lembut dan enak. top 👌",bintang 5,
"Good 👍,,,bahan adem n nyaman dipakai,,,thx",bintang 5,
MantapKualitas produk bagus. Ukuran sesuai. Modelnya keren 😎. Tidak menerawang. Kancing tidak mudah lepas. Produk sesuai dengan foto.,bintang 5,
"Kemejanya bagus. Bahannya adem, tidak mudah kusut dan terlihat premium. good.",bintang 5,
bahanyah bagus alus adem juga saat dipakai,bintang 5,
"bajunya adem enak dipakai jaitanya juga rapi, kurir baik banget",bintang 5,
Keren... Bahannya adem dan ukurannya pas.,bintang 5,
barang sesuai pesanan dan telah dicoba pas d badan saya BB 74 TB 170 ukuran L. hanya proses pengiriman saja yang bermasalah,bintang 5,
"untuk barang oke"" saja dan aman
kualitas oke
untuk pengirimanya lumayan lama",bintang 4,
"bagus, cuma ya ga setebel celana yg harga 160 keatas. tp hampir menyaingi keren banget. ga salah brand ini tembus ampe ke amerika.. keren erigo👍👍",bintang 5,
"Bahannya sih enak cuma ya Jahitannya gk rapih ,keliatan soalnya ….",bintang 4,
"Ukurannya pas,sesuai,bahan lembut ..adem...rajin strika yaaaa....",bintang 5,
overall bagus tp masih ada bahan yg kurang rapi,bintang 3,
"barang sesuai pesanan, bahan well sekalii thanks",bintang 5,
"beli 2, warna hitam dan hijau agak tua.
bahan oke, jaitan oke, pengiriman cepat

tapi....

yang hitam ini mengecewakan.. ngga XL ngga XXL juga, fittingnya beda dengan war...",bintang 3,
Bahan bagus keren sesuai dengan brand 👍🏻👍🏻,bintang 5,
"Barang sesuai pesanan, packaging aman, pengiriman ok 👍🏼 tks 🙏🏼",bintang 5,4 bulan lalu
"pengiriman cepat, produck original makasih ya",bintang 5,
"Pengirman cepat, kwalitas jelas mantap tq #erigo",bintang 5,
Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg Ukurannya pas,bintang 5,
Baju ini sangat nyaman dipakai. Bahannya adem dan jahitannya rapi. Ukurannya pas sesuai deskripsi. Pengiriman juga cepat. Sangat puas!,bintang 5,2 bulan lalu
"Baju pas, sesuai chart, kualitas bagus, tipis tapi adem, seller membantu masalah ukuran, uda sering beli Erigo, so far ngga pernah kecewa/di kecewain.",bintang 5,
"ukuran agak besar, bahan alus nyaman dipakai, paking rapi, pengiriman cepat. Terimakasih.",bintang 5,
"bahan enak , pas , Pengiriman standar , gak jera intinya beli di erigo bahan ama harga sesuai kualitas.
apalagi ada diskon auto gercep beli",bintang 5,
Kualitas produk bagus. Nyaman dipakai. Jahitannya rapi. Ukuran sesuai. Bahannya adem. Tidak menerawang. Produk sesuai dengan foto.  pengiriman cepat. thanks,bintang 5,
"Kualitas oke, barang sesuai pesanan, cuma packing kurang, packing sobek seperti dibuka oleh pihak jasa kirim Sicepat. Mohon diperbaiki agar kejadian tidak terulang kembal...",bintang 4,
Kualitas produk bagus. Modelnya keren 😎. Warnanya mantap. Bahan menyerap keringat. Kancing tidak mudah lepas. Ukuran sesuai. Nyaman dipakai. Tidak menerawang. Produk ses...,bintang 5,
"Ukurannya pas sesuai rekomendasi adminnya.,sangat membantu
Bahannya enak adem.model keren warnanya bagus",bintang 4,
"ukuran pas bahan agak tipis tapi bagus, kirain sama kaya hem nya ternyata kain nya lemes, okelah",bintang 5,
"mantap pengiriman cepat bahan halus dan adem banget,..  Kualitas produk bagus Modelnya keren 😎",bintang 5,
Kualitas produk bagus. Nyaman dipakai. Modelnya keren 😎. Jahitannya rapi. Bahannya adem. Produk sesuai dengan foto. Kancing tidak mudah lepas. Ukuran sesuai.,bintang 5,
"Tinggi badan 165, berat badan 75, serasa memakai kemeja oversized, tapi karena bahannya jatuh jadi bagus2 aja. mungkin bakal coba yang ukuran M selanjutnya.",bintang 5,10 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg,bintang 5,10 bulan lalu
"Produk sesuai deskripsi, bahannya adem,  Ukurannya terlalu besar, padahal  Tinggi badan 171 - 180 cm berat sekitar 80 kg, karena kebiasaan pakai model slim fit mestinya a...",bintang 5,
"bahan enak, ga panas, fittingan bagus, semoga awet 👌",bintang 5,6 bulan lalu
"sudah sesuai pesanan bahan bagus sesuai ekspetasi, pengiriman juga tokcer cepat pake banget harga juga oke, intinya puas",bintang 5,
nyaman dipake bahan adem mantap lah pokokke,bintang 5,
"bahannya bagus, tapi ukuran S seperti ukuran L kalau untuk size lokal",bintang 5,
"Pas dibadan, kwalitas bahan oke banget, pengiriman cepat",bintang 5,
