review,rating,date
Bajunya sangat bagus bahan tebal,bintang 5,3 minggu lalu
"dipack dengan bagus dan menyenangkan banget, udah puas sejak buka pertama. warna dan size sesuai. Dipakenya, nyaman bangeet!
bahan dalem berkesan licin(tapi kena kulit ga...",bintang 5,1 bulan lalu
bagus. bahan nya ternyata seperti training. oke lah,bintang 5,4 minggu lalu
"Bahannya oke, tebel dan halus, tapi kayaknya gue lebih suka fitting nya di M, di L okesih as long as your body has some muscles, not mine tho haha",bintang 5,1 minggu lalu
"Product sangat Bagus ,,Bahu Terlihat Lebar kain ny Tidak panas ,,Baju terbaik yg pernah saya miliki dengan Harga Terjangkau",bintang 5,1 hari lalu
"Gw prefer ini dibanding otter terlalu tebel, kyoto agak lebih kasar, ferret ini pas, bahannya adem mirip bgt sama merk u, cuma sedikit lbh tipis, tapi overall ok worth it...",bintang 5,3 hari lalu
"Gw prefer ini dibanding otter terlalu tebel, kyoto agak lebih kasar, ferret ini pas, bahannya adem mirip bgt sama merk u, cuma sedikit lbh tipis, tapi overall ok worth it...",bintang 5,3 hari lalu
"Sumpah nyesel beli disini! Pelayanan cepet, seller komunikatif, dan yg terpenting kualitas barang lebih dari ekspektasi. Nyesel cuma beli 1. Next kita beli lagi",bintang 5,3 minggu lalu
"Bajunya sangat keran, aden dan nyaman dipakai",bintang 5,1 minggu lalu
"Model oversized box. Bahan halus dan lembut, tahan kusut. Ukuran M putih lebih besar dari uniql* M maroon. sedikit seperti difoto.  👌",bintang 5,2 minggu lalu
Bagus bngt sih cmn minus 1 bintang karna Masi ada benang yang keluar di jahitannya,bintang 4,2 minggu lalu
warna dan ukuran sesuai pesanan kualitas baju baik,bintang 5,3 minggu lalu
"keren parah kaosnya, beli udah 2x yang satu di tiktok yang satu di tokopedia. bahan adem, lembut, seperti Marika yang dipelihara sendiri hingga besar dan bersekolah manta...",bintang 5,2 bulan lalu
"terbaik recomended nya hendy dion toktok, mnateep",bintang 5,2 bulan lalu
Barang sesuai pesananan,bintang 5,2 minggu lalu
"Cutting Size No Problem.
Kirain bahan katun berat gitu, tapi lebih ke bahan baju training/jersey. Not too bad, just not my favorite at the end.",bintang 4,3 minggu lalu
Pas live tanya Tb 170 bb 66 di kasih saran ukuran M cuman kalau mau oversized ambil L dan akhirnya ambil L pas sih di badan ga terlalu kepanjangan lengannya pas di sikut...,bintang 5,1 bulan lalu
"Recommended 
Bahan ok...gak tebel banget gak tipis juga...nyaman dipakai",bintang 5,3 minggu lalu
"HG ga pernah bikin kecewa, bahan bagus mirip sm uniqlo. klo pas diskon lagi mau beli lagi sii",bintang 5,1 bulan lalu
"Lumayan aja, bahannya tipis, mending beli yg overweight sekalian",bintang 4,2 minggu lalu
"rekomendasi bang Hendy emang mantep, bahan juga adem dan halus",bintang 5,2 bulan lalu
"Kainnya bagus, tebel banget untuk ukuran harganya",bintang 5,1 bulan lalu
"Mantap.. bahan nyaman.. cutting-an bagus..  bb 118, tb 175 masih aman 👍",bintang 5,1 bulan lalu
Kukira dr baham cotton ternyata bahannya limir,bintang 4,3 hari lalu
Barangnya sudah diterima puas sekali bahannya tebal jahitannya rapih recommend lah belanja disini,bintang 5,2 bulan lalu
Lengan agak kepanjagan but overall oke sih,bintang 5,1 bulan lalu
bahan nya lembut cuttingan nya juga pas keren pokoknya,bintang 5,1 minggu lalu
"Pertama kali beli disini, saran dari twitter dan pas dicoba memang barangnya bagus 👍👍",bintang 5,3 minggu lalu
"Udah punya yang hitam
Sekarang nambah yg coklat
Next target yg putih
Paling mirip dengan airasem unik*lo
Top markotop",bintang 5,3 minggu lalu
"agar lebih mantap, ada baiknya material cotton diperbanyak jadi 53% dan material Polyester cukup 47% saja (saat ini Polyester 68% cotton 32%)",bintang 5,2 bulan lalu
"co untuk kedua kalinya dengan varian/model yg berbeda. tidak pernah mengecewakan 
soal basic T-Shirt, klo bisa lokal, ngapain yg luar negeri✨",bintang 5,1 bulan lalu
"mendarat dengan selamat. thx
klo beli tshirt ga dpt stiker ya? hehee",bintang 5,1 bulan lalu
"Sudah bbrp kali beli kaos di HG, so far cocok, nyaman dan oke 👍🏽",bintang 5,1 bulan lalu
