review,rating,date
"Kualitas produk: Mantul
Pengiriman cepat & sesuai pesanan",bintang 5,5 bulan lalu
"Tgl 4 order gamis & kimono,tgl 10 tiba,ternyata yg datang 2 gamis,tandanya petugas nya tdk fokus dan teledor,pdhl kimono & gamis tu beda,tgl 10 sy retur,tgl 11 mulai di k...",bintang 1,2 bulan lalu
Paket sudah sampai lumayan bahan agak tipis & beda dgn di foto LENGANnya tp beli di toko sebelah lebih tebelan tp lumayan sesuai harga mksh,bintang 4,2 bulan lalu
Kualitas produk: Bagus bahan nya keren di pake nya mantep lah Poko nya,bintang 5,2 bulan lalu
"Bagus
Cakep
Keren
Size m tp m nya kok agak gede bgt yak
Tp ydah gpp
Tetep sukak
Best lah
I like
Kualitas produk: Masuk lah dengan harga segitu",bintang 5,2 bulan lalu
"Alhamdulillah paketnya udh sampai, bahannya bagus,adem,terimakasih kurirnya udh langganan",bintang 5,3 bulan lalu
"Bagus,modis khas indonesia dgn motif tenun,utk lebaran,bahan adem",bintang 4,2 bulan lalu
"Luar biasa pengeringan extra cepat kilat, ukuran pas bahan berkualitas Terimakasih team work, Desain, Konfeksi Jahit, Admin toko Host Live, Kurir Expedisi dan semua yang...",bintang 5,3 bulan lalu
"Tidak sesuai dgn gambar yang dijual, motif nya bedah jauh, karena harga lagi promo  ,,,, kirim paket asal asalan kualitas produk  kaya tai,",bintang 1,4 bulan lalu
Bagus banget barangnya pokonya tanyesel tar mau cekout LG yg ukuran m nya sumpah bagus kang kulitnya baik ramah harus dikasih bonus ni klo kang kulitnya pada ramah dan ba...,bintang 5,1 bulan lalu
"Keren bajunya, nyaman di pakai. Semoga ada motif batik.",bintang 5,1 bulan lalu
Barang baru sampai dan lumayan bagus sesuai dgn yg dipesan.. terimakasih seller dan kurir langganan,bintang 5,1 bulan lalu
"kwalitas bagus, dengan harga yg terjangkau sangat luar biasa kwalitasnya",bintang 5,3 bulan lalu
"𝘚𝘶𝘥𝘢𝘩 𝘴𝘺𝘢 𝘵𝘦𝘳𝘪𝘮𝘢
Kualitas produk: 𝘉𝘢𝘩𝘢𝘯 𝘭𝘦𝘮𝘣𝘶𝘵 𝘥𝘢𝘯 𝘯𝘺𝘢𝘮𝘯 𝘥𝘪𝘱𝘢𝘬𝘢𝘪",bintang 5,1 minggu lalu
"Keren,bahan adem hrg murah tp gk murahan.",bintang 5,2 bulan lalu
"Ok cocok, ukuran pas, jahitanya rapih",bintang 5,4 bulan lalu
Barang bagus sesuai pesanan. Makasih ya kak,bintang 5,2 bulan lalu
Oke barang sesuai Gambar dan pas.,bintang 5,1 bulan lalu
Kualitas bagus pengiriman cepat keren keren,bintang 5,2 bulan lalu
"Bagussss,,sesuai deskripsi... sukses selalu seller",bintang 5,3 bulan lalu
"baju nya bagus banget, keren dengan kualitas harga segini wajib beli sii 👍🏻👍🏻",bintang 5,2 bulan lalu
barang sudah sampai terimakasih seller,bintang 5,3 bulan lalu
Adem top sesuai ekspetasi,bintang 5,2 bulan lalu
"Enak dipake pas ukurannya
Kualitas produk: Baik jahitan baik",bintang 5,2 bulan lalu
"Barang tidak sesuai gambar, kalau habis kasih saja keterangan habis.",bintang 2,1 bulan lalu
"bagus model nya, suka. ukuran juga besar. nyaman dipake untuk outer.",bintang 5,1 bulan lalu
"barangnya ok, bahan bagus respon seller bagus, datang sesuai permintaan. good.",bintang 5,2 bulan lalu
"sesuai dgn pics nya, bahan tipis, tp kuat , jahitan rapi, terimkasih",bintang 5,2 bulan lalu
"Tokonya amanah real,bahan nya bagus tebel",bintang 5,2 bulan lalu
Bagus banget😭😭😭...gue jd tmbh ganteng🤣,bintang 5,2 bulan lalu
Ko yg bagian depannya aku polos gk sesuai gambar klw bagian lengan sih sama,bintang 5,2 bulan lalu
Bahan bagusss hanya saja ada noda dikit tapi gapapa good saya suka,bintang 5,2 bulan lalu
Produk sesuai ya meski harus ganti warna tapi ok lah sesuai request,bintang 5,2 bulan lalu
"alhamdulillah
sampai, galama nunggu
ukuran ny pas
thanx seller n kang delivery ny",bintang 5,3 hari lalu
,bintang 5,2 bulan lalu
Jaitan rapi.. Sesuai info.. Ini belanja yg ke-2 ambil beda warna ajah.. So far jadi lebih suka kerja pake ini dari pada harus kemeja resmi melulu.. Makasih yaa..,bintang 5,2 bulan lalu
SUMPAHHHH CAKEP BANGETTT WOIII WAJIB BELI BUAT LEBARAN,bintang 5,2 bulan lalu
Bagus kainya adem dan barang sesuai pesanan kurirnya baik,bintang 5,4 bulan lalu
"Pesannya warna hitam ples abu²
Yang datang malah hitam ples oranges 
But, bahnnya bagus menarik",bintang 4,2 bulan lalu
Hitam abis jadii admin Nyannmintakk ganti warna,bintang 4,2 bulan lalu
"Bagus, bahannya lumayan",bintang 5,3 bulan lalu
Sangat bagus barangnya sesuai dengan foto terimakasih,bintang 5,4 bulan lalu
Bagus sesuai gambar. Real Pic. Semoga awet..,bintang 5,3 bulan lalu
