review,rating,date
"gokil cuttingannya pas banget, beeli lagi next sih",bintang 5,2 bulan lalu
"udah dua kali beli disini emang bagus bagus kaos nya, apalagi yg 16s baju nya tebel dan ga bikin gerah. untuk bb 45 tb 160 ambil ukuran M aja itu udah dapet banget boxy n...",bintang 5,2 bulan lalu
"pas cocok, bahan tebel, size m boxy fit",bintang 5,2 bulan lalu
ukuran L nya pendek yang biasa pake L mending ambil XL biar gak ngangkat pas lagi nunduk,bintang 5,1 bulan lalu
"kualitasnya bagus, pengirimannya juga cepat",bintang 5,2 bulan lalu
"yg hitam masih ok sedangkan yg putih bolong, tolong untuk Quality Control-nya di perhatikan lagi",bintang 5,1 bulan lalu
"keren leher ketat banget cutingan oke
gw tinggi 183 bb 80 oke banget",bintang 5,2 hari lalu
"Bajunya gokil, walaupun pengiriman kendala, next mohon di prosesnya sesuai jam nya ya min terimakasih👍🏻",bintang 5,2 bulan lalu
nyaman,bintang 5,2 bulan lalu
✨✨✨👍,bintang 5,2 bulan lalu
cakep,bintang 5,3 minggu lalu
cakep,bintang 5,2 bulan lalu
Gokillll bagus banget,bintang 5,1 bulan lalu
bagus,bintang 5,1 bulan lalu
mantap,bintang 5,1 bulan lalu
selalu bgus hlpd,bintang 5,2 bulan lalu
Good,bintang 5,1 bulan lalu
nice,bintang 5,3 minggu lalu
Bgs,bintang 5,2 bulan lalu
ok,bintang 5,3 bulan lalu
Mntp,bintang 5,2 bulan lalu
.,bintang 5,1 bulan lalu
