review,rating,date
"barangnya sesuai pesanan, nyaman dan enak dipakai, worth it banget😍😍",bintang 5,9 bulan lalu
"ni hoodie harganya ga sampe 100rb tp sebagus ini. kalo ga salah harganya baru naik goceng, ttp aja worth it! okok cakep betoel.",bintang 5,3 bulan lalu
"deskripsinya bagus tapi pas diunboxing parah banget. toleransi ukurannya bermasalah di panjang baju, lingkar leher sesek dan tudung kepalanya terlalu pendek. jadi saat di...",bintang 1,2 minggu lalu
Barang sesuai harga dang sangat puas belanja di sini 🫶✅,bintang 5,3 minggu lalu
"Ukurannya pas, pengiriman cepat .thanks",bintang 5,
"Gila cepet banget datengnya,sesuai dan mantul bahannya. 
kirain kalo pesen yang XL bakal gede sedikit eh taunya gede banget,keknya w nya deh yang agak kurusan wkwk",bintang 5,9 bulan lalu
Bagus kain halus pengiriman cepat jangan jangan ragu beli di sini,bintang 5,2 minggu lalu
"okee, bahan tebal dan agak panas tapi cocok kalo buat indoor ac",bintang 5,2 minggu lalu
"beli xl kukira besar ternyata kebesaran hehe
bisa diliat sendiri bagian dalemnya kek apa, enak nyaman",bintang 5,2 bulan lalu
"Produk nya bagus, bahannya bagus, sesuai ekspetasi dan proses nya cepat
Kualitas produk: Sangat baik",bintang 5,1 hari lalu
"bagus, sesuai dengan fotonya. bahan tebal dan halus.",bintang 5,6 bulan lalu
Sesuai pesanan. Kain cukup tebal warna hitamnya juga bagus ukuran pas sesuai rekomendasi. Tidak mengecewakan mantap.,bintang 5,2 minggu lalu
Bahan tebal lumayan utk naik motor. Tapi kynya ukuran XL nya agak match n fit dgn saya yg TB 172 dan BB 76 hehe. Overall oke,bintang 5,3 minggu lalu
ukuran pas Tinggi badan < 160 cm Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Ukurannya pas,bintang 5,
"barang baguss, seller fast respon.. jd hemat karena dpt banyak diskon 😊 .. maaf kak foto tidak sesuai",bintang 5,
"Ukurannya pas
murah tapi tidak murahan 
🔥🔥🔥🔥🔥",bintang 5,11 bulan lalu
"paketnya dah smpe kak, bahannya tebal, lembut, bbku 80-an ambil yg xxl jd kegedean
sengaja ambil yg ukuran besar suka yg longgar""next beli sweaternya🤍🤍
ga sempet fo...",bintang 5,2 minggu lalu
"pengiriman tepat, good seller Ukurannya pas",bintang 5,
"kirain karena murah jd biasa aja, ternyata lumayan bagus",bintang 5,
"Modelnya bagus, pas di badan. Keren banget",bintang 5,6 bulan lalu
Ukurannya pas  Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
"ga nyangka bgt siii pas di unboxing ternyata sebagus, kainnya jugaa tebell, mantapp bgtt sumpahh next time order lagiii",bintang 5,5 bulan lalu
Ukurannya pas Ukurannya terlalu besar,bintang 5,11 bulan lalu
"Sesuai dan bagus, tebal juga...",bintang 5,1 hari lalu
"bagus, sangat lumayan dengan harga segini",bintang 5,3 bulan lalu
nyaman dipake dan pas dengan badan (bb:74) namun sedikit berbulu dan agak panas. puas dengan kualitasnya.,bintang 5,1 bulan lalu
mantap harga murah kualitas gak murahan baguss tebel,bintang 5,9 bulan lalu
"untuk yang ke sekian kali hodiso emng the best dah, suka bngt sama bahan yg dipake sama toko ini, bahannya adem, nyaman dipakai cock bnget buat yg suka kumpul bareng tema...",bintang 5,1 bulan lalu
