review,rating,date
"Suka sama bajunya... keren, kusut tinggal di rapikan aja pake tangan. Warna aslinya sama kayak yang di etalase ya, yang saya foto itu karena pencahayaan aja, jadi warnany...",bintang 5,
aman. respon seller cepat. mantap. 134567890 gak ada duanya.,bintang 5,6 bulan lalu
"Modelnya keren, udah ke 3x beli 5 item disini, emang keren dan bahan premium",bintang 5,8 bulan lalu
"bahan ny tebel sesuai dgn hrga lah ,  belum dicoba mdh²n nyaman dipake ny",bintang 5,6 bulan lalu
"Ukurannya pas, bahannya juga bagus dan nyaman dipakai. untuk harganya ini worth it banget. love it",bintang 5,11 bulan lalu
"pembelian kedua, puas banget. bahannya nyaman, ukurannya pas, modelnya juga keren. love it",bintang 5,11 bulan lalu
"Warnanya terkesan kusam , maunya aga cerah gitu, tapi ukuran pas",bintang 5,
"mantap, packing rapi, proses pesanan cepet, bahannya bagus, recommended dah 💯",bintang 5,
"cutting pas, rapi, saat dicuci pertama gk ada benang yg ketinggalan di air n warna gk luntur. Recommended sih ini. bahan tebal gk nerawang.",bintang 5,8 bulan lalu
"model pas, cocok untuk kantor maupun jalan-jalan,
TB : 169, BB: 63kg",bintang 5,2 bulan lalu
"Ukurannya terlalu kecil, makan duluu....sampe kuenyangg",bintang 5,
"kalo beli disini mending spam chat soal warnanya apa, sebelum dikirim kalian chat 30 menit sekali soal minta warna apa biar kaga ngawur wkwkwkwk. pesen seafoam green diki...",bintang 1,10 bulan lalu
"order beige, dikirim coklat. dari teledornya pengiriman barang toko ini sangat tidak rekomen.
kesalahan kirim warna ini fatal bagi konsumen, merugikan konsumen dan berpot...",bintang 1,10 bulan lalu
"Bagus cuma kancing nya kaya ga pas gitu, kendor, gatau kenapa mungkin model kancing nya kudu ganti. Overall oke.",bintang 4,3 bulan lalu
"Ukurannya pas, bahannya nyaman, pinggang bisa stretch jadi lebih nyaman",bintang 5,
"Ukurannya pas, kainnya lembut, wangi juga pas nyampe. Sesuai ekspektasi untuk bahan pique yang ga gampang kusut dan lemes",bintang 5,10 bulan lalu
"sudah pakai 3 minggu lebih untuk kerja lapangan sangat nyaman dan adem cuman mengapa lubang kancingnya agak kendur ya, jadi saat kita tarik cancing terlepas, so far semua...",bintang 5,12 bulan lalu
"So far untuk qualitas ok, namun agak teledor service nya, order size S dikirim M, padahal sudah di ingatkan sebelum pengiriman. Bisa ditingkatkan lg servicenya",bintang 4,4 bulan lalu
bagus banget dari cutting an sampe bahan yang dipakai. pasti beli lagi,bintang 5,9 bulan lalu
"suka sekali, puas, insya Allah beli warna lain",bintang 5,8 bulan lalu
"Pembelian untuk kedua kalinya memuaskan, next warna lain lagi 🙏",bintang 5,4 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg,bintang 5,
cuttingannya pas dibadan enak dipakai,bintang 5,6 bulan lalu
barang oke cocok dan harga murah. thanks,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,9 bulan lalu
mantaaaaf dan ukurannya paassss,bintang 5,7 bulan lalu
"modelnya keren, bahan bagus",bintang 5,9 bulan lalu
"mantap, recommended dah 💯",bintang 5,
"pembelian ke sekian, sangat puas",bintang 5,1 bulan lalu
"pembelian ke sekian, sangat puas",bintang 5,1 bulan lalu
"pembelian ke sekian, sangat puas",bintang 5,1 bulan lalu
sukaa bahannya,bintang 5,9 bulan lalu
Ukurannya pas,bintang 5,11 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
bagussss,bintang 5,1 bulan lalu
Mantap sesuai pesanan,bintang 5,
keren pengiriman cepat,bintang 5,
Bagus,bintang 5,11 bulan lalu
Gas lah,bintang 5,
Bagusss,bintang 5,1 hari lalu
Jos,bintang 5,1 bulan lalu
