review,rating,date
"aju paling tepat di tahun baru untuk dipakai ke kantor. Penting untuk pakai batik yang ""representatif"". Modelnya ngga pasaran, kelihatan beda, bahan adem, jahitan...",bintang 5,
"barang bagus, ukuran sesuai, seller responsif 👍🏻",bintang 5,5 bulan lalu
sesuai pesanan 👍 bahan bagus dan nyaman,bintang 5,
"kiriman cepat, kemasan aman dan barang berkualitas",bintang 5,
batiknya bagus. ternyata lebih bagus aslinya. warnanya juga bagus semu2 ada birunya. BB 92kg pake ukuran XL.,bintang 5,
"pesanan sesuai, packing aman. bahan sesuai dengan harga.",bintang 5,
keren banget.. ukurannya pas sesuai dengan panduan.. packing aman dan rapi. overall mantab,bintang 5,11 bulan lalu
Kualitas barang bagus banget. Warna keren. Premium pokoknya.,bintang 5,3 bulan lalu
"Jahitannya rapih, kainnya oke, highly recommended",bintang 5,
"Model best, fav bgt toko ini memang",bintang 5,
"bahan bagus, ukuran sesuai, proses cepet , seller juga ramah buat tanya rekomendasi ukuran, thankss",bintang 5,
"harusnya l ternyata badanku, tapi overall bagus batiknya",bintang 5,7 bulan lalu
"batiknya bagus, ukuran pas, rekomen seller",bintang 5,11 bulan lalu
"modelnya bagus, kainnya adem & gak gampang luntur batiknya. packing juga rapi dan sangat detail. pasti repurchase di sini!",bintang 5,2 bulan lalu
"Terima kasih Batik Hadinata, Dua kemeja lengan pendek sudah diterima dengan baik, sesuai pesanan, packaging yg aman dan kualitas kemeja yg baik. Dapet bonus sebotol lerak...",bintang 5,
"Barangnya bagus, sesuai dengan gambar dan deskripsi. Pengiriman cepat. Komunikasi selalu dibalas dengan cepat dan sopan. Recommended! 👍👍👍👍👍",bintang 5,
Reapon n pengiriman super cepat... kualitas batik super mantab.. recomended..,bintang 5,
"batiknya  baguuus bgt, admin jg super helpful ketika.minta tuker ukuran. thank you hadinata batik 🥹💖",bintang 5,5 bulan lalu
motifnya bagus. pengiriman jg cpt. makasih,bintang 4,
ukuran pas dan kualitas batiknya bagus,bintang 5,10 bulan lalu
Mantaaap sesuai gambar dan deskripsi 👍🏻👍🏻,bintang 5,
Suka banget bahan sama.motifnya,bintang 5,2 minggu lalu
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Terbaik dan selalu menjadi motif yang saya suka,bintang 5,7 bulan lalu
luar biasa mantap..sesuai dgn hrga,bintang 5,4 bulan lalu
Ukurannya terlalu besar,bintang 4,
"Mod Keren, bahan oke",bintang 5,9 bulan lalu
Ukurannya pas,bintang 5,
Bagus dan pas,bintang 5,2 bulan lalu
"Barang nya sudah saya,terima kasih",bintang 5,6 hari lalu
Cakep,bintang 5,5 bulan lalu
Bagus,bintang 5,1 bulan lalu
mantoel,bintang 5,4 hari lalu
👍,bintang 5,7 bulan lalu
