review,rating,date
pas di badan. bahannya tebel. jahitan rapi. hanya saja warna kurang gelap. tapi overall bagus,bintang 5,2 bulan lalu
"barang sampai tujuan dengan kondisi baik. bahannya nyaman dan lembut, ukuran pas",bintang 5,
"bahan dan cuttingan bagus banget, super worth it.",bintang 5,
"bahannya kurang halus, ban karet pinggang agak kendor, jahitan lumayan rapi.  kurang worth it untuk harga segitu",bintang 4,
"Jujur ini premium sekali. Kualitas bagus rapi dan nyaman dipakai. Pertahankan ya harganya, sudah enak segini jangan pernah dinaikkan 😄",bintang 5,10 bulan lalu
"ukurannya pas, bahannya juga nyaman banget. love it",bintang 5,3 bulan lalu
"Bahannya nyaman banget, desainnya simple, ukuran dan warna sesuai pesanan, padahal belum pantun tapi udah cakeep 👌",bintang 5,
"bahan nyaman, harga cocok berkualitas, tb 180 bb 70 pake size L badan pas tp lengannya kurang panjang dikit",bintang 5,
"very good, bahan tebal dan nyaman",bintang 5,
"agak tipis, tapi bagian dalamnya lembut ⬜️⬛",bintang 5,
"Size nya pas, bahan tebel, kualitas sesuai harga.",bintang 5,
"bahannya lebih bagus dri bahan hoodie merk unq n hnm, harus support local brand kya gini nii",bintang 5,9 bulan lalu
"Emang ada harga ada kualitas kok, kainnya halus. nggak menggecewakan lah pokoknya",bintang 5,
"Bagus & menawan, TB 165 cm, BB 70 kg pas",bintang 5,2 bulan lalu
"Pengiriman cepat, kualitas bagus banget, ukuran sesuai",bintang 5,5 bulan lalu
"bahanya mantaap, gak panas, ukuran yg pilih sangat tepat, pengiriman cepat, good jobb",bintang 5,
Ukurannya pas Tinggi badan < 160 mantapp 😁👍👍,bintang 5,
Ukuran sesuai size chart dan bahan cotton fleece sesuai deskripsi,bintang 5,
"Awalnya sempat ragu kalau ukuranya kekecilan atau kebesaran tapi Tinggi 169cm, berat 52 kg ukuran M pas dibandan :) bahanya juga cukup tebal. terimakasih 🤩",bintang 5,
"bagus tebalnya pas, enak dipakai. 165/63 pakai size M",bintang 5,
"Untuk review bisa cek yutub saya di (Fadil Rusydan), dengan judul video ""REVIEW HOODIE HUMAN GREATNESS""",bintang 5,
Wah bener2 rekomen bgt sih inii. BB67 TB171 pas banget pake L. Tadinya mau pilih M tp seller rekomendasi ukuran L. bener2 worth to buy!,bintang 5,
rexomended Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60-65,bintang 5,
bagus bahan dalemnya enakk! buat cowok aku ini hoodienya semoga dia sukaaa❤️,bintang 5,
"Kualitas bagus, harga oke bangetttt, berani diadu dengan brand Un**lo Z**A dkk. Thanks Sukses trus buat HG, bakal repeat order trus dah!",bintang 5,
