review,rating,date
"Terimakasih barang sudah diterima sesuai dengan pesanan, bajunya bagus keren tb saya 180 pake size 3xl aman bahannya tebal semoga awet🙏",bintang 5,
Ukurannya pas Tinggi badan > 180 cm Berat badan > 80 kg,bintang 5,
"Oke pas🙏👍, bahan tebel, pokok nya real pick lah, detail nya mantap lah pokoknya sesuai ekspektasi, mau lihat detail ada di foto",bintang 5,
Barang sesuai deskripsi...bahan tebal....pengiriman tepat waktu....model ok rekomen 👍🏻👍🏻,bintang 5,2 bulan lalu
"bagus cocok juga
Kualitas produk: mantap pokoknya poll
bahan enak",bintang 5,8 bulan lalu
"bajunya bagus, bahan tebal & lembut, jahitan rapih",bintang 5,6 hari lalu
"bahan tebel, dan halus, kenyamanan blm dicoba, semoga gk cepet bikin gerah",bintang 5,5 bulan lalu
"Bahannya bagus, cutting nya oke, sesuai sama gambar, mantap",bintang 5,
"Kemejanya tebel si, mantep lah, pengirimannya juga cepet . Nicee",bintang 5,1 bulan lalu
"Kualitas produk: Baguss , sering "" promonya , 👍👍👍",bintang 5,
"Alhamdulillah sesuai ekspektasi, ukuran L pas di saya yg tinggi 169 berat 64",bintang 5,
"Barang bagus sesuai dengan gambar, belum dicoba semoga nyaman dipakai",bintang 5,
"agak sempit, padahal semua baju HOS ukurannya xxl, ko beda ini",bintang 4,7 bulan lalu
"overall suka sii sama barangnya, cuma pengiriman via nya aja lama banget",bintang 5,
Nice sip. Sampai tepat waktu. Tinggi 187 ga kekecilan pake 3XL,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm,bintang 5,
"Barang mendarat dengan baik,bahan Bagus,cocok buat kondangan dll",bintang 5,3 minggu lalu
"Aman min, saran dikit dah coba di banyakin lagi kek size dari beberapa pakaian ama celana min. Selain itu aman dah😁
Kualitas produk: 88",bintang 5,
"Bahan kualitas mantep, harga terjangkau.
Rekomended bjir",bintang 5,
"Produk oke, pengiriman cepat, bahan lumayan bagus",bintang 4,3 minggu lalu
"Barang sampai tepat waktu, bahan nya nyaman min",bintang 5,
"Bagus, bahan kemeja kaya gini jarang banget",bintang 4,
Sampe punya semua all series produk kemeja ini.. kualitas mewah harga murah meriah 😍😍,bintang 5,8 bulan lalu
"baguss , untuk harga segitu ini bagus bangt sih ,pas juga di aku ,btw BB aku 57 tb aku 165 ya",bintang 5,
Mantap Ukurannya pas Tinggi badan > 180 cm Berat badan > 80 kg,bintang 5,
"Alhamdulillah cepat pengiriman nya,barang juga sesuai gmbar..",bintang 5,
Rada panjang leungeunna tapi keun weh teu nanaon. Note :stikerna kur hiji ;(,bintang 5,
Kualitas produk: Bahan bagus dan pas,bintang 5,
"Kualitas produk: Bagus,Bahan Tebal,Rapih",bintang 4,1 bulan lalu
kualitas kemejanya mantap.. thankyou 👍,bintang 5,8 bulan lalu
"Bahan Ok,Ukuran Ok,Nyaman dipakai",bintang 5,
Barang kerwn bagus murah lagi,bintang 5,
Barang bagus kainya mantap,bintang 4,2 bulan lalu
Ukurannya pas Berat badan 60 - 70 kg,bintang 5,
Sesuai live,bintang 4,
barangnya bagus pengiriman juga bagus,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Cocok untuk acar formal maupun nonformal,bintang 5,
Tidak pernah mengecewakan 🦍🤘🏻,bintang 5,2 bulan lalu
bagus buat ke event-event,bintang 5,
Ukurannya pas bahannya adem,bintang 5,
Semua baik,bintang 5,2 bulan lalu
bahannya premium,bintang 5,7 bulan lalu
bahannya enak adem,bintang 5,3 minggu lalu
bahannya bagus bingit,bintang 5,8 bulan lalu
Bahannya bagus,bintang 5,6 bulan lalu
Barang bagus kainya mantap,bintang 4,2 bulan lalu
Pas,bintang 5,6 bulan lalu
Kualitas produk: Mantap,bintang 5,
,bintang 4,2 bulan lalu
,bintang 5,1 bulan lalu
Barang cakep oke,bintang 5,
"Ukurannya pas, nice",bintang 5,
Sesuai dengan yang di harapkan,bintang 5,
Barang mendarat dengan selamat makasih house of smith,bintang 4,
Mantap,bintang 5,2 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
pas dan sesuai,bintang 5,1 bulan lalu
Pas sesuai dgn pesanan,bintang 5,8 bulan lalu
Keren,bintang 5,
,bintang 5,2 bulan lalu
