review,rating,date
Nggak nyangka real bangat dan juga harganya murah banget,bintang 5,4 bulan lalu
"Bagus bangattt,, gak nyangka bisa cakep bangattt kaya gini, desain dan motifnya pun sangat kekinian",bintang 5,5 bulan lalu
"Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
cakep warna sesuai gambar",bintang 5,
"sesuai perkiraan, warna aslinya bakal lebih gelap dari foto produk. overall bagus bahannya, adem",bintang 5,7 bulan lalu
"Masih ada jahitan yg kurang rapih di bagian lengan tapi gapapa, overall bagus",bintang 5,5 bulan lalu
Batiknya sesuai warna gak jauh beda dengan gambar cuma dengan bahan dan harga spt itu kurang worth it,bintang 5,
"bahan dan motifnya bagus.. ukurannya jg pas.. tinggi 168,bb 50kg..",bintang 5,2 bulan lalu
"Ternyata bajunya tidak menggunakan puring, kerahnya juga terlalu lembek (tidak bagus) tidak menggunakan bahan kerah yg bagus, semoga kedepan dapat diperbaiki pada kwalita...",bintang 3,1 bulan lalu
"mantap, saya suka warna dan motif batiknya ☺👍🏿👍🏿",bintang 5,9 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
Kualitas produk: bagus,bintang 5,3 bulan lalu
Kualitas bagus,bintang 5,2 bulan lalu
Sip,bintang 5,2 bulan lalu
Bagus,bintang 5,3 minggu lalu
Bagus dan keren,bintang 5,5 bulan lalu
Nice.,bintang 5,3 minggu lalu
