review,rating,date
"model nya mantabz,pas di badan dan nyaman. 
bahan gak terlalu tebal,dipakai saat panas gak kepanasan. saat hujan hangat dan gak tembus air hujan dengan volume hujan sedan...",bintang 5,4 minggu lalu
"Hallo barang sudah diterima .. jacketnya bagus, bahan dan qc nya oke, udah di coba juga di semprotin air dan bakal cocok buat hujan ringan. Berhubung ini buat kado kayany...",bintang 5,4 bulan lalu
Ukurannya pas Ukurannya terlalu besar Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,12 bulan lalu
seller responsif.pengiriman cepat.warna dan ukuran sesuai request.dibantu pilih ukuran dan ternyata pas.recommended seller,bintang 5,1 bulan lalu
"Pembelian kedua, Modelnya keren, bahannya bagus, jahitannya rapi, ukurannya pas di badan maupun panjang tangannya dengan BB 58 & TB 179, nyaman dipakai & sellerny...",bintang 5,
"proses cepat, paking rapi, ukuran sesuai descripsi. semoga awet",bintang 5,3 bulan lalu
barang udah sampai dan sesuai pesanan. jaket nya dan size nya pas dan enak. dg harga segitu worth bgt utk jaket tempur,bintang 5,3 bulan lalu
"udah kirimnya cepet barangnya bagus lagi.. padahal baru order tadi malam, keren2 rekomen deh, dikasi bonus stiker keren 👍👍",bintang 5,
"pengiriman cepat, jahitan ya rapi bahan dalaman ya bagus, tq toped n seller.",bintang 5,4 bulan lalu
"TB 175 BB 70 cocok pake L kalo pake XL tenggelam hahaa... seller bisa membantu penukaran , di pake siang hari tidak panas . ini warnanya navy ya krn efek sinar lampu jadi...",bintang 5,
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
barang bagus jahitan lumayan rapih, pengiriman standart 2 hari karena sy  gratis ongkir😁kurir ramah ok say...",bintang 5,
Sesuai banget nget nget pokoknya. Semoga yang terbaik buat kita semua,bintang 5,
"Fast respon, jahitan rapi, bahan tebal, model bagus sesuai dengan diskripsi iklan, harga worth it recomended",bintang 5,
Keren pas dipakai. Bahan nyaman. Cocoklah buat motoran atau main sehari-hari.,bintang 5,4 bulan lalu
"produk lokal yang bagus,untuk direntang harganya, jahitan rapi, bahan berkualitas, design bagus, model terkini, gak nyesel beli jaket di toko ini. Trimakasih",bintang 5,
"Kualitas bagus, jahitan rapi, ukuran sesuai, bahan enak ringan nggak terlalu berat. Lebih bagus lagi bila di bagian tangan pakai rekatan, kalau pakai karet agak sakit, te...",bintang 5,
"Bahannya bagus, pengirimannya cepat sesuai jadwal, sellernya juga ramah.. Semoga awet dipakainya",bintang 5,
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg,, Keren jaketnya, sesuai gambar,, bahan bagus jaitan rapih, motif bagus,, dicoba langsung tes air, angin ok...",bintang 5,
"Barang sdh diterima, seller cukup fast respon, kualitas bahan cukup baik.. Semoga pas dan awet",bintang 4,2 bulan lalu
