review,rating,date
"packing bagus, produk bagus. Lebih baik produk ini dari pada beli jas import bekas.",bintang 5,8 bulan lalu
Model nya keren gagah kek pejabat mantap top is the best rafiaahmat keren josssssssssss,bintang 5,4 bulan lalu
bahan bagus. pengiriman super cepat..... ku kira PO ternyata langsung dikirim. kerennn Ukurannya pas  Berat badan < 60 kg,bintang 5,
"Terima kasih, barang sudah diterima dengan baik, sukses untuk lapak jualan nya 👍",bintang 4,
"Ukurannya pas, modelnya bagus, bahannya tebal, ada lapisan puring dan busa dibahunya",bintang 5,
"barang dikemas rapih dan baik, respon cepat, sesuai dengan gambar, bahan baik, jahitan rapih, secara keseluruhan rekomen seller",bintang 5,11 bulan lalu
"cukup puas sih sama produk dan size nya. bahan okee, size pas walaupun jaitan lengan kiri gak simetris gapapalah gak terlalu mencolok juga🤘🤘",bintang 5,
"Jas Bagus bahannya adem, enak dipakai, anak saya suka sekali, 
seller ramah. Terima kasih",bintang 5,
"Ukuran pas, tinggi 175 cm, bb 65 pake L
Dengan harga sebanding dengan kualitas cuma lingkar ketiak perlu dikecilkan sendiri, bahan bagus, terima kasih.",bintang 5,
Mantap barang sudah nyampe sesuai pesanan ukuran oke juga pas enak juga dipake nya bahan juga oke. Thanks,bintang 5,
"Jas blazernya bagus bgt bahannya, rasanya jg nyaman ketika dipake. Recommended lah",bintang 5,
"barang nya realpic,bahan dan jahitan cukup bagus,ukuran pas.paking nya jg rapi",bintang 5,4 bulan lalu
"Memuaskan, bahan bagus, jahitan rapih cuma TB 175 BB 70 kalau mau fit ambil M sepertinya, saya ambil L pas aja tp gak fit",bintang 5,
"Bahan dan potongan sesuai dengan harga, pengiriman cepat. Tapi, size yang dikirim ga sesuai dengan yang dipesan, saya pesan M yang datang S. Untungnya, pas ga kekecilan....",bintang 4,
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm Tinggi badan > 180 cm Berat...,bintang 5,11 bulan lalu
"Bahan cukup bagus, cukup tebal, dgn busa pada bahu. Ukuran bodypress utk  tinggi 171 berat 78. mgkn XL lebih nyaman lagi digunakan.",bintang 5,
Ukurannya ccok bahannya bagus. Next beli lg dngan warna lain. Terimakasih,bintang 5,
"Blazer nya bagus dan ukuran sesuai untuk saya dengan berat badan 78kg tinggi 170cm.
cuma kancing depan nya copot 1",bintang 5,
"pas di badan,, ukuran sesuai dengan yg tertulis di deskripsi,, respon oke,,",bintang 5,
Packing aman dan rapi. Seller komunikatif. Style sesuai size deskripsi. Saran saya lebihkan size di atas biasa yg kamu pake soalnya ini potongannya slim fit.,bintang 5,2 bulan lalu
seller informatif dan size yang disarankan juga pas. thanks,bintang 5,
Barang bagus packing rapi pengiriman cepat mantap 👍,bintang 5,
"Size XXL yang kita order ukurannya gak sesuai deskripsi. Dalam deskripsi produk ini keterangan XXL;
Lingkar Dada 120
Lingkar Pinggang 108
Lebar Bahu 52
Panjang Badan 79
P...",bintang 3,
"bahan dan jahitan sesuai harga, masih lumayanlah",bintang 4,7 bulan lalu
"Recomended banget, pengiriman cepat barang bagus, dan pass banget di badan saya bb.80 tg 172 pkai XXL. sukses terus dan amanah ya parayu",bintang 5,
"bgs, cepat, baik, sdikit salah pengiriman, MESEN KANCING 2 SESUAI DESK . TAPI PENGIRIMAN KANCING 1.barang sesuai harga",bintang 5,
Modelnya pas sesuai harga Ukurannya pas Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm,bintang 5,
pesanan yg kedua ini dg ukuran yg sama tp lebih kecil dan bagian bawahnya spt tdk simetris,bintang 3,7 bulan lalu
produknya bagus..ukuran sesuai size chart..detil sesuai deskripsi..thanks ya,bintang 5,
barang aman penyampaian cepat sipp deh jas nya juga cakep banget buat harga segitu best lah recomended dan alhamdulillah size nya sesuai pesanan  👍🏼🗿👍🏼👍🏼👍🏼,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
"Blazer Bagus, Harga Luar Biasa Murah, Barang Baru.",bintang 5,
Bahan oke dan memuaskan,bintang 5,
"Sesuai deskripsi, sesuai ukuran, bahan bagus, jahitan rapi, packing rapi dan pengiriman cepat.. Thx gan sukses selalu",bintang 5,2 bulan lalu
"cakep even pengiriman lama smp tujuan.. bahan oke, jahitan bagian dlm/puring agak kurang bagus.. overall mantap!!",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg,bintang 5,
"model cakep, bahan ok pas dibadan dipakai nyaman, 
recomended seller A +",bintang 5,
"seller fast respon dan ramah, bahan jas bagus dan rapi sesuai harga, cuman utk ukuran agak kecil sedikit dari deskripsi yg tertera, disarankan klo mau beli up 1 size lebi...",bintang 5,
"Bahannya bagus, tebal n pas di badan, thanks seller",bintang 5,
"bagus banget barangnya, bahannya juga nyaman dan ukurannya pas",bintang 5,
"Saya suka bahannya alus, bagus dan tebal. Pas mau beli agak ragu mau pilih ukuran M atau L, krn ukuran badan suami pas di M tp tyt lengannya krg panjang. akhirnya diperma...",bintang 5,
Beli lagi ditoko ini karma uk.Xs nya yang pas. dan bahannya juga cukup bagus sesuai harga. Masalah benang ga terguntingmah biasa. Request ditambah pilihan warna nya Hijau...,bintang 5,
"paket sdh diterima, sesuai pesanan. produk lumayan ok,  sesuai dgn ukuran badan.👍",bintang 5,
Ukurannya pas. bahan bagus sesuai dengan deskripsi,bintang 5,11 bulan lalu
kereeen barangnya. ukuran pas nyampe jugak cepet mantaplah pokoknya 👍👍,bintang 5,
"pesen navy blue, yg sampai hitam.
pengiman delay. tanggal diubah dari estimasi awal tokped yg sayangnya di tanggal itu lagi gak bisa terima dan cek barang.

pas udah dice...",bintang 1,
ukuran kebesaran bisa dituker dan admin fast respon,bintang 5,
"Barang sesuai, ukuran XL pas sesuai panduan, bahan bagus, harga bersahabat dan bersaing, packing aman, pengiriman oke, makasi Ukurannya pas Tinggi badan 171 - 180 cm Bera...",bintang 5,
bahan bagus lembut pengiriman juga cepat harga terjangkau,bintang 5,
"bahannya tebel adem dan bagus rapih, worthed lah untuk harga segini",bintang 5,6 bulan lalu
"bahan bagus, tebal ada dalamnya , jahitan rapih",bintang 5,2 bulan lalu
"Tinggi badan 171 - 180 cm Berat badan > 80 kg. Jas Blazernya Bagus, diluar ekspektasi saya karena saya pikir harga under 200.000 pasti alakadarnya, Gak taunya luar bia...",bintang 5,
"Ukurannya pas bahan halus mantap PKK nya, pertahankan
kurir oangganan",bintang 5,
"kebesaran.... hhhh .. 
respon penjual lumayan bgus.. katanya bisa di tukar...",bintang 5,
Ukurannya pas bahan adem halus jahitan rapih puas pkknya,bintang 5,
"saya sangat puas dengan jas saya ini, karena pertama kali punya jas. terimakasih ya 👍",bintang 5,
"Bahannya bagus, pengirimannya cepat, sizenya sesuai",bintang 5,
"fitment nya bagus, untuk bahan dan kerapihan ya sesuai harga ya. tapi bagus kok kalo buat budget minimalis",bintang 5,7 bulan lalu
"model sesuai dengan gambar, ukuran cukup pas dengan tb 164cm dan bb 50kg.

kualitas jas bagus, worth it sekali bila dibandingkan dengan harga.. maaf fotonya butek, tapi u...",bintang 5,8 bulan lalu
"Ukurannya pas
Bahan nya adem
jahitan rapi",bintang 5,10 bulan lalu
bahannya nyaman..ukurannya pas next pesan lagi,bintang 5,
"keren banget sih, ukuran pas banget, kualitas okay 

thank you seller n tokped Pelayanan nya Bagus dan cepat",bintang 5,
"Pas, sesuai yang di sarankan.
saran upgrade lagi innernya.
overall ok lah, sesuai harganya.",bintang 5,
bahan dan model bagus.. ukuran pas.. harga ekonomis..,bintang 5,
"model keren pas di badan ,bahan lembut...pelayanan respon cepat dan bisa tepat waktu...mantul",bintang 5,
"mantul, bahan bagus. packing rapi",bintang 5,
bahan bagus dan tebal...proses dan pengiriman cepat...ukuran XL dibahu pas bgt tapi dibadan kekecilan di bagian pinggang dan perutnya mngkin krn bb87...sdg menunggu prose...,bintang 5,
"Tampak luar oke banhet, tapi pas mu dicoba tangan kiri nyangkut ga mau keluar. Ternyata jahitan di tangan sebelah kiri melintir, jadi harus extra cost nih buat dibenerin...",bintang 3,
Cakepppp berkelasss. Rapih. Adem dipakai. Topp bangetttt..,bintang 5,
"Ukurannya pas, bagus barangnya, pengiriman cepat",bintang 5,
"jasnya kekecilan di anak sy tapi bisa ditukar, Terima terima seller responnya",bintang 5,
"Mantap, pas ukurannya, bahanya juga bagus",bintang 5,
barang sudah sampai dengan selamat. pelayanan dan pengiriman cepat,bintang 5,
"rapi, jika perlu penyesuaian pun tidak banyak, hal yg dapat dimaklumi karena tidak diukur langsung kepada pemakainya.... ukuran akurat. material OK",bintang 5,10 bulan lalu
Alhamdulillah ukurannya pas & penjualnya komunikatif. makasih parayu 👍,bintang 5,
"Kain tebal, bagus dan lumayan cepat pengiriman nya",bintang 5,
packing rapi.  bahannya mantap.,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg barang lumayan bagus dan respon pelapak cukup cepat barang preorder gak tau cepat dikirim,bintang 5,
"modelnya bagus & harganya murah, ukuran sesuai dgn badan 👍👍",bintang 5,
"bagus, pengiriman cepat  recomended seller",bintang 5,
bagus. cpet bgt diprosesnya. on time utk saya yg mau pake 2 hari kemudian abis pesan,bintang 5,bagus. cpet bgt diprosesnya. on time utk saya yg mau pake 2 hari kemudian abis pesan
"Jas Blezernya cukup bagus diharga yang segitu, agak kaget juga sih pas nerimanya keren👍👍",bintang 5,
Ukurannya pas  Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg recommended,bintang 5,11 bulan lalu
pembelian kedua dan langsung beli dua ..kayaknya mau beli lagi nih,bintang 5,8 bulan lalu
pas jas nya Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Ukurannya pas banget. Tinggi badan 160 - 170 cm. Berat badan 60 - 70 kg.,bintang 5,
"Ukurannya pas,Tinggi badan 160 - 170 cm Berat badan < 60 kg, ukuran M.",bintang 5,11 bulan lalu
oke kegedean dikit di lengan ketiak tapi mantap vermak dikit. bb 67 tb 169,bintang 5,
"Barang bagus, sesuai harga. gak nyesel deh.",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Ukurannya pas Tinggi badan < 160 cm Berat badan < 60 kg,bintang 5,11 bulan lalu
"keren parah modelnya harga kaki 5 
kualitas bintang 5",bintang 5,11 bulan lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5,
aslinya... bagus semuanya 🤭🤭,bintang 5,
"Paketnya udah sampe dengan baik, barang good ...
respon seller cepet..
Tengkyuuuu...",bintang 5,
"jas nya bagus, pengiriman cepat",bintang 5,
"barangnya mantap, worth it banget",bintang 5,
"sesuai pesanan....paket di kemas rapi, pengiriman juga baik.
Semoga awet",bintang 5,
"Barang sudah sampai dengan Aman, Sehat Wal Afiat! Tidak bercacat maupun bercela. Ukuran Pas! 👍",bintang 5,
"Pengiriman cepat, kualitas bagus",bintang 5,11 bulan lalu
"barang yang dikirim tidak sesuai pesanan,
yang pesan jas yang datang kemeja",bintang 1,
"Ukurannya pas, pesanan cepat sampainya",bintang 5,11 bulan lalu
Ukurannya pas Berat badan > 80 kg,bintang 5,10 bulan lalu
Penjual komunikatif dan helpful,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5,
"pas harga murah dengan kualitas okee, bagian tangan ujung agak terlalu lebar",bintang 5,
"ukurannya ternyata terlalu slim fit, harus up size 2 ukuran. tapi overall nyaman",bintang 4,
"keren.. barangnya bagus banget.. 
udah dicoba juga... 
terbaik",bintang 5,
"pas dibadan, jahitannya rapi, bahannya jg lumayan bagus. harga sangat terjangkau tapi kualitas cukup baik.",bintang 5,4 bulan lalu
"ya oke sih kualitas sesuai harga, bahan agak kasar, cuman pola jahitan ketiak terlalu bawah kurang naik alhasil sama sekali jd tidak nyaman di pakai",bintang 5,
"modelnya bagus, sesuai dengan ekspetasi. bahannya juga bagus. rekomendasi untuk yang mau cari jas blazer.",bintang 5,
"Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg

bahan lumayan bagus, furing dormeil",bintang 4,
"Pengiriman cepat, pelayanan baik, barang bagus, bahannya halus, keren. Agak gede sdikit msh bs ditukar dgn ukuran yg pas. Recomended",bintang 5,
"Cocok banget, rapi dan nyaman dipakai, bahannya juga Ok, Mantap puas lah..",bintang 5,
"Worth it banget diharga segini, kirain bakalan dapet jas yg biasa aja taunya diluar ekspetasi. Bahannya nyaman dan bagus setara jas mahal. Ukurannya juga pas cocok sesuai...",bintang 5,
"produk nya cakep, bahannya bagus, tidak mudah lecek tapi tidak panas. jahitan sangat rapi. model pas dipakai di badan, kebetulan anak saya yg makai.",bintang 5,
"baguss sih, tapi salah size hehe",bintang 5,
"Bahannya oke
Jahitannya rapi
dan yang paling penting sellernya komunikatif
btw sori lupa ga sempet foto barangnya haha

Top lah",bintang 5,
"untuk ukuran pas, rapi juga. Udah sesuai lah, cuma buat bagian lengannya kurang rapi",bintang 5,
ukurannya pas di badan dan bahan jasnya pun bagus,bintang 5,
"keren bgt ini..terimakasih dan sukses.
bisa pas,hanya tangan kepanjangan sedikit,kain bagus,tebal.
pengiriman cepat",bintang 5,
"packing rapih, bahannya tebal, lapisan dlm pakai furing Ukurannya pas",bintang 5,
"Jahitannya rapi, furring nya full seluruh badan dan lengan, bahan cukup tebal. Kekurangannya hanya di padding yang berbeda antar kiri dan kanan, tapi masih worth the pric...",bintang 5,
"Lumayan bagus, tapi bagian pergelangan tangan terlalu sempit.",bintang 4,
Ukurannya terlalu kecil buat saya. lingkar badan pas tapi panjang lengan agak kependekan.,bintang 4,
"bahannya tebal, jahitan bagus cuma ukuran XLnya agak kebesaran",bintang 5,10 bulan lalu
"keren banget, pas dibadan jadi kayak gagah gituu pas djpake.
cocok banget buat acara formal kayak wisuda dll",bintang 5,7 bulan lalu
"Sangat bagus untuk harga segini. Jahitan rapi, detail2nya juga cukup rapi. Untuk tinggi 167 dan berat 53 cukup ukuran S",bintang 5,
"that's great, but agak kegedean untuk tinggi 189 but its okay, over all good 🎉🎉",bintang 5,
"pas di badan.. cm agak kurang rapi dikit di bagian kerah.. 
kmrn salah baca.. tak kira yg 2 benik jebul yg satu kancing.. gapapa.. makasih",bintang 4,11 bulan lalu
"pas utk badan sy, hanya bahu agak lebar, tpi karena emang size besar wajar, karena saya gemuk, smoga awet",bintang 5,
"bahannya bagus, sesuai dengan gambar, pengiriman seperti tokonya di sebelah rumah, cepet bener...",bintang 5,
bahan bagus dan nyama digunakan untuk harganya,bintang 5,10 bulan lalu
"walau uda XXL masi terasa kurang longgar, bahan bagus, Tks",bintang 4,
"Jasnya dalam kondisi bagus, jahitan rapi, ukuran pas",bintang 5,
"Pengiriman cepat! bahan bagus, fit di badan, packing rapih.",bintang 5,
"bahannya mewah, murah tapi ga murahan
ukuran XXL cukup untuk TB 179 BB 90
recommended store",bintang 5,
Barang berfungsi sebagaimana fungsinya tanpa ada masalah semuanya aman,bintang 5,6 bulan lalu
