review,rating,date
"Modelnya emang keren. bahannya lumayan enaklah ya, cocok dipake buat outer. ukuran XXL pas buat saya",bintang 5,9 bulan lalu
"seneng banget nyampenya cepet, aku rada takut karena kemungkinan nyampenya paling lambat Selasa pdhl mau di pake Sabtu. tapi untung lebih cepet dan ga ada rusak atau noda...",bintang 5,2 minggu lalu
"bagus banget kimononya, tapi sayang ada noda dibagian dada, ntah bisa hilang ato tidak kalo abis dicuci.",bintang 5,
"Bahan bagus , gak panas dipakai, desain cakep dah 👍",bintang 5,
"agak skeptis awalnya, karena lihat toko lain kok ada kualitasnya kurang bagus
pas dateng kualitasnya diatas ekspektasi, puas sama kualitas printnya
ukurannya jg pas di ba...",bintang 5,
"penjual fast respon, barang langsung diantar, barang sama persis seperti pada foto",bintang 5,
"Tinggi badan < 160 cm Berat badan < 60 kg
pengriman nya cepatt, barang baguss, bahan nya super baguss😍
respon penjual juga ramah, terimakasii❤❤",bintang 5,
"Seller fast respones, sebelum barang dikirim seller memfotokan realpic barang, barang sesuai ekspetasi, bagus bngt.",bintang 5,
"Seller sangat membantu, orderan  lgs di proses dan dikirim, barangnya bgs, puas bgt",bintang 5,11 bulan lalu
bahan tipis. cukup oke untuk dipake sehari-hari,bintang 5,2 bulan lalu
Bahan halus tidak panas. Respon seller cepat.,bintang 5,
"seneng bgt seller fast response, cepet sampai, bahannya halus dan ngga terlalu tipis saya suka.",bintang 5,
Not bad. Bagus desain dan bahan kain nya. Cuma ada beberapa bagian yg salah jahit saja,bintang 5,4 minggu lalu
"ya buat seharga segitu sih sesuai ya.. 
jaitan nya kurang apalagi bagian bawah.. kalo model sih bagus",bintang 5,1 bulan lalu
"sesuai banget modelnya dengan keinginan.
bahan lembut. pelayanan cepat dan ramah",bintang 5,
"barang sampai dgn baik, ukuran dan kualitas bagus cocok",bintang 5,
"seller nya ramah, fast tespon, barang juga langsung dikirim. terima kasih",bintang 5,
cepet prosesnya barangnya juga bagus harganya pas,bintang 5,
"ukurannya pas, model sesuai gambar, pengiriman cepat, terimakasih ^^",bintang 5,
"Mantabbb, kualitas bagus dan sesuai dengan gambar yeyyy... pengiriman tetap waktu juga 🙏 terima kasih",bintang 5,7 bulan lalu
"Pengiriman cepat banget, Produk keren sesuai Deskripsi..",bintang 5,
"Barangnya lebih bagus daripada gambar. Print ok, glossy juga",bintang 5,1 bulan lalu
bahan bagus silky adem ... pake buat acara seragam ajib,bintang 5,5 bulan lalu
"Model keren ni, bahan okeee motif asikkk.",bintang 5,
"ikan nya warna coklat di pictnya warna putih,sedikit tidak sesuai pict,tapi gpplah udah ke Klaim",bintang 4,
bahan nya enak asli dan sesuai foto,bintang 5,
mantap Ukurannya pas..bahan ok,bintang 5,
"Modelnya keren, nyaman dan ukuran pas.",bintang 5,
"barang sudah sampai, sesuai dengan pesanan mantap",bintang 5,
yang datang polos doang tanpa motif sama sekali,bintang 1,8 bulan lalu
"ntapppp... jd pngn beli lg yg desain lain... buat jalan"" cocok beud",bintang 5,
"Model ya keren, ukuran pas, pakainya gampang. 
Tapi kekuranganya penjualnya prosesnya kelamaan, sampainya nggak tepat waktu, estimasi 7 januari datangnya 8 januari, jadin...",bintang 4,
BARANG BELUM SAYA TERIMA. TAPI DI TULISAN SUDAH DITERIMA. KURIR JUGA TIDAK MENELPON SAYA!!!! YANG DI FOTO JUGA BUKAN RUMAH SAYA. ANEHH,bintang 1,
"pas lihat ulasan yg lain agak waswas karna beberapa polanya ga nyambung di bagian depan (mungkin karna produksi masal). berdoa"" untung dapetnya yang polanya masi nyam...",bintang 5,
"Barang bagus, respon pnjual cepat pengiriman pun cepat . .mantap 👍",bintang 5,
"Bagus, tapi nggak bisa berharap 1 hari pengiriman even pakai YES",bintang 5,"Bagus, tapi nggak bisa berharap 1 hari pengiriman even pakai YES"
Barang sesuai deskripsi dan pengirimannya cepat,bintang 5,
xxl pun masi kekecilan... nyaris ga muat 😭,bintang 4,
mantap min amanah barangnya bagus puas aku min,bintang 5,
mantab cmn ukurannya ga sesuai ekspetasi aja jadinya ngepress bgt ama badan,bintang 5,10 bulan lalu
"model keren, saran tambah ukuran yang lebih besar.",bintang 5,
"Barang sudah sampai, kualitas juga bagus top pokoknya👍",bintang 5,
Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg Ukurannya pas,bintang 5,10 bulan lalu
"modelnya keren, pengiriman cepat",bintang 5,
"bagus. sayang pake Anteraja yg nextday, beli minggu siang, sampenya rabu siang",bintang 5,"bagus. sayang pake Anteraja yg nextday, beli minggu siang, sampenya rabu siang"
"Ukurannya terlalu kecil, udah ambil XXL ,Tinggi badan 171 - 180 cm",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
ada beberapa jahitan nyangkut ke kain lain,bintang 4,1 bulan lalu
"bagus sesuai gambar,cuma kata bapa saya macam baju ibu hamil😭😭😭",bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
Bahannya bagus dan jahitannya rapi,bintang 5,9 bulan lalu
"kimono nya bagus.

tp jasa kurir nya kurang OK, pilih opsi yg next day tp nyampe nya 2 hari",bintang 5,"kimono nya bagus.

tp jasa kurir nya kurang OK, pilih opsi yg next day tp nyampe nya 2 hari"
Response cepat.... barang bagus,bintang 5,
ukuran xxl nya kecil seperti L,bintang 4,7 bulan lalu
kualitas sesuai di gambar mantap,bintang 5,
"bagus, adek gua suka👍",bintang 5,
beli yang ke dua... bagus banget,bintang 5,
"barang yg saya beli telah hilang di pengiriman, tp jasa kurir segera merespon dng mengurus refund dari dana saya n alhamdulillah sekarang dana sdh di ganti.",bintang 1,
"Nice, pas juga, bahan oke",bintang 5,
Fast response👍👍👍,bintang 5,10 bulan lalu
Bagus n pas di badan,bintang 5,
Ukurannya pas,bintang 4,10 bulan lalu
Ukurannya pas,bintang 4,11 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
sampai dengan selamat,bintang 5,
sesuai deskripsi toko,bintang 5,
SUKAK 🤩🤩🤩🤩,bintang 5,
kerenn ihhh top laa,bintang 5,
kerennn bgt browk,bintang 5,9 bulan lalu
"良い製品です!! 
満足でした!! ありがとうございます!! 
nanti beli lagi!!",bintang 5,
tidak cocok,bintang 2,
pas,bintang 5,
goodjob,bintang 5,
good,bintang 5,
Kerennn,bintang 5,
BAGOOOOOSSSSS,bintang 5,
sukaa bgt 😍,bintang 5,2 bulan lalu
keren,bintang 5,
bagus. makasih gan 👍,bintang 5,
,bintang 2,
,bintang 2,
,bintang 2,
mantap,bintang 5,
"sesuai deskripsi dan gambar real, mantab",bintang 5,
"manteb banget kain nya enak, pas ukuran nya di badan, seller fast respond 👍👍👍",bintang 5,
"Real pict, pengiriman nya sangat cepat memuaskan sekali Terima kasih.",bintang 5,
"Barang sangat cepat di proses, pesan sabtu sore langsung dikirim hari itu juga. Kualitas barang bagus",bintang 5,"Barang sangat cepat di proses, pesan sabtu sore langsung dikirim hari itu juga. Kualitas barang bagus"
"lumayan lah ga begitu mirip dari ganbar, tp barang nya bagus.",bintang 4,
cepat pengirimannya,bintang 5,
mesen ukuran M kok yg dateng L,bintang 5,
"Kimono sdh datang tepat waktu, bagus dan kereeenn.. Tks yaa.",bintang 5,
