review,rating,date
"Packing sangat rapi dengan bungkus plastik kuning ciri khas KALIBRE, pengiriman cepat, produk sangat bagus, rapi, bahan polyester berkualitas, nice. Hanya saja desain kan...",bintang 3,
"Model keren, jahitan rapi, ringan dipakai.",bintang 5,9 bulan lalu
"barang sesuai,pengiriman cepat n packing rapi..top dah 😁👌",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar,bintang 5,10 bulan lalu
lumayan okee... kirain agak tebel ternyata tipis...,bintang 5,
"bagus. banget,kualias,model,dan bahannya mantap",bintang 5,3 bulan lalu
Bagus. Sesuai gambar. Jahitan rapi. Sempurna. Keren 👍🏽,bintang 5,5 bulan lalu
"Product Keren, memuaskan , sudah 4 kali order item yang sama.  
Dan barang awet.",bintang 5,
nnnnnnnnnn iiiiiiiiii ccccccccc eeeeeeeeee.....TTTTT OOOOO PPPPP BBBBB GGGGG TTTTT,bintang 5,8 bulan lalu
"nice, ringan, dan cukup hangat",bintang 5,5 bulan lalu
Tinggi badan 171 - 180 cm Ukurannya pas,bintang 5,
great,bintang 5,12 bulan lalu
"Barang sudah diterima, semoga awet, terimakasih",bintang 5,5 bulan lalu
👍👍,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Produk sesuai pesanan,bintang 5,
terimakasih semoga sukses dan berkah🙏🙂,bintang 5,7 bulan lalu
the best,bintang 5,
mantap cepat sampai,bintang 5,2 bulan lalu
Top 👍,bintang 5,
,bintang 1,10 bulan lalu
barang sdh pas,bintang 5,
,bintang 5,
Bagus jaketnya,bintang 5,
"Barang lumayan lama sampenya,,, dan sayang karet pengencang bagian bawahnya lepas satu",bintang 3,
Model bagus. Harga kompetitif. Rompi nya keren!.,bintang 5,
lihat bintang,bintang 5,
mantap,bintang 5,
kualitas barang bagus. pengiriman lambat & tidak ada diskon walaupun beli banyak,bintang 4,
