review,rating,date
seller ramah fast respons pengiriman jg cpt kaos'a sesuai deskripsi bahan'a lumayan tebal pas bgt di badan thanks tokped seller dan kurir,bintang 5,3 bulan lalu
"produk original, harga murah, packing rapi, pengiriman cepat, sukses buat seller",bintang 5,
"bahannya bagus, ga gatel dan ukurannya pas, yang paling penting dengan harga yang murah tapi kualitas ga murahan. Thank u",bintang 5,
Barang diterima dalam kondisi baik. Packing aman. Pengiriman cepat (Penjual + SiCepat). Terima kasih,bintang 5,3 minggu lalu
bahan bagus ... warna kuning telor bebek..bukan Kuning biasa.tapi ok Bagus.. terima kasih,bintang 5,
"Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg, harga murah & bahannya lumayan",bintang 5,
"order warna mint namun kosong, bagusnya adalah toko konfirmasi mengenai hal tsb. pengiriman pun cepat, jd overall ok👌🏻",bintang 5,
"lumayan, bahan tidak terlalu tebal tapi tidak menerawang juga, tidak panas.  Ukurannya pas.",bintang 5,
"Pembelian kedua, sesuai pesanan, mantap, thanks seller",bintang 5,
"kualitas lumayan untuk harga bajunya segitu, bahan tidak cocok untuk cuaca panas",bintang 5,11 bulan lalu
"Ukurannya pas, bahan lumayan tebal, melebihi ekspektasi.
Recommended seller",bintang 5,
ukuran pas bahan tidak tipis pengiriman cepat. terima kasih,bintang 5,9 bulan lalu
"pesan 2 pcs, 
yg warna biru tak ada cacat, bahan kurang adem
yg abu2 muda bahan lebih adem tapi ada yg sobek (lubang) dekat ketiak.",bintang 5,
"bajunya ok
bahannya halus
pengiriman juga cepat
 Ukurannya pas",bintang 5,
"Sy suka barang ini , kwalitas , harga , ukuran semua nya Pas dibadan dan dihati ... mantap . Response dan pengiriman juga Oke",bintang 5,
"bahannya tipis 
tapi gpp buat harga segitu 
makasih",bintang 5,
"bahan ok, model bagus, warna kontras banget, pengiriman cepat, respon ok",bintang 5,9 bulan lalu
"Ini pembelian ke 2, packing rapi, aman, cepat sampai, bahan dan jahitan bagus.
Semoga sukses",bintang 5,
"model keren, bahan nya bagus dengan harga segitu",bintang 5,
"modelnya keren, bahan bagus, warna kontras, pengiriman cpt",bintang 5,9 bulan lalu
Bagus bahan oke sesuai ukuran sama warna yg dipesen 🙏,bintang 5,
"Awal pesen 3.. sekarang pesen lagi 7.. enak buat d pake sehari""👍👍👍",bintang 5,"Awal pesen 3.. sekarang pesen lagi 7.. enak buat d pake sehari""👍👍👍"
"seller tidak mebaca dengan teliti.
pesan 3 warna beda, pas dikirim 2 warna sama.",bintang 4,8 bulan lalu
barang nyampe agak lambat tp terobati dengan kwalitas yg bagus👍👍,bintang 5,
bahan nya tipis...............  ............p,bintang 1,
"Barangnya sangat bagus, pengiriman sangat cepat❤️",bintang 5,
"Mohon maaf baru kasih ulasan,Alhamdulillah kaosnya lumayan bagus buat kerja karena belum dapat seragam dr pabrik,pengiriman sesuai,barangnya juga sesuai,toko amanah,terim...",bintang 5,
barang diterima paket rapi dan cepat nyampenya🙏,bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg,bintang 5,11 bulan lalu
"Ukurannya pas Tinggi badan < 160 cm
kerenn lah pokona",bintang 5,
tipis sesuai harga bahan nya agak panas,bintang 5,
Gerceppp ...barang lumayan lher tuk seragam,bintang 4,
bagus ukurannya pas dan bahan tebal..,bintang 5,
di bilang bagus banget sih ga lumayan lah sesuai harga,bintang 5,
"Pembelian ke 2 , barang ok ,, ukuran pas",bintang 5,
bahan nya tipis...... ................. ............p,bintang 1,
Bahannya dingin dan bagus,bintang 5,11 bulan lalu
"packing baik, pengiriman oke, bahannya panas, memang disebutkan bahan uniqlo, jahitan lumayan lah.",bintang 5,11 bulan lalu
"bahan adem, ukuran sesuai, seller gercep dan ramah, harga ramah direkening",bintang 5,
"Bahan bagus, lembut, dan adem. Pelayanan toko juga ramah dan responsif.",bintang 5,
"ukuran Pas, bahan OK, pengiriman cepat Dan Aman.. recommended seller",bintang 5,
"bajunya oke, cuman pas kebetulan toleransi ukurannya bukan 2 CM jadi agak kekecilan",bintang 5,
"kualitas ok harga terjangkau ga malu2in
kualitas ok harga terjangkau ga malu2in
kualitas ok harga terjangkau ga malu2in
kualitas ok harga terjangkau ga malu2in
kualitas o...",bintang 5,9 bulan lalu
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg;Bagus kaosnya bahannya tebal dan nyaman dipakai,bintang 5,
bagus cuman lengannya kurang panjang sedikit,bintang 5,
"Mantap👍🏻👍🏻👍🏻Bahannya gak panas dan jahitannya rapi, Bagus kualitasnya👌🏻",bintang 5,
"Ukurannya pas, bahan lembut, pesanan dan pengiriman cepat. Thanks Seller.",bintang 5,10 bulan lalu
Ukurannya pas dan ga bikin gerah. nyaman di pake. sesuai deskripsi. mantap deh 👍,bintang 5,11 bulan lalu
"barang cepat sampai, kwalitas bahan bagus. terimakasih",bintang 5,
bagus kualitasnya. ternyata ukuran M kalo di cewe mayan gede ya hehehhe. overall oke. thanks seller.,bintang 5,
mantap barang sudah sampai bahan adem dan tebal bagus,bintang 5,
"pengiriman cepat bahan kaos bagus halus, trm kasih",bintang 5,
kaosnya bagus untuk harga sgtu... nyaman dipake. pengiriman jg cepet,bintang 5,
barang lumayan bagus. seller responnya jg lumayan bagus. cuma kurirnya (ID express)  lemot dan ruwet banget,bintang 4,
"ukuran sesuai, bahan adem, josss mantap dgn harga ramah rekening",bintang 5,
wah gila harganya cuma 30ribu kualitas nya mantep parah,bintang 5,
"pengiriman cepat bahannya bagus, next beli lagi di sini",bintang 5,9 bulan lalu
"Paket telah diterima dengan baik. Produk sesuai Deskripsi, Pelayanan & pengiriman cepat. Terimakasih Seller dan Parcel Courier atas pelayananya.",bintang 5,
"bahannya cukup tebal, warna sesuai permintaan.",bintang 5,
"Pengiriman dan packing bagus, lmyn bahannya hnya lengannya agak sempit",bintang 5,
sesuai deskripsi dan harga. respons dan pengiriman cepat,bintang 4,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg.Bagus kaosnya ;banyak warnanya biasanya saya pakai buat olahraga pagi,bintang 5,
"mantap, ukurannya pas, barang sampai dengan aman, makasih",bintang 5,9 bulan lalu
barang bagus keren .. pas tp lenganya kekecilan saya jadi seperti hulk,bintang 5,
"respon cepat, pengiriman sesuai permintaan . 👍 Ukurannya pas Berat badan < 60 kg",bintang 5,
b. saja. sayang untukXXL ukuran tangannya pendek sekali,bintang 5,
"pengiriman cepat ,barang sesuai pesanan..baik & puas",bintang 5,
"Ukurannya pas
bagus dah
warna bagus
kain bagus
langsung aja diorder teman teman",bintang 5,
"Barangnya cepat, tepat dan jahitan rapih 👍",bintang 5,
"ukuran esuai, warna sesuai, seller fast respon, ajiiibb",bintang 5,
manteb.. L nya pas di badan.. warnanya juga gak luntur pas di cuci👍,bintang 5,
bahan lmyn bagus..tepat waktu jd keburu buat di sablon,bintang 5,9 bulan lalu
Ukurannya pas Berat badan < 60 kg Tinggi badan 171 - 180 cm,bintang 4,10 bulan lalu
"terimakasih baju datang sesuai estimasi👍👍👍
bahan sesuai sama harga sukses ya...",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg,bintang 5,
"Sesuai pesanan, komplit, Bagus. terima kasih",bintang 5,
"Barang datang sesuai pesenan, cepat sampai dan barang sesuai sama harga.",bintang 5,
pesan kuning di kirim kok orange ya kayak belanda lagi orangenya,bintang 3,
"bahan bagus, warna kontras.",bintang 5,9 bulan lalu
"Kaosnya bagus, dan sdh beberapa kali saya beli disini hasilnya puas. Terima kasih",bintang 5,
"bahan adem, ukuran pas, jahitan rapi",bintang 5,
bahan nya panas jdi agak kecewa,bintang 5,
terima kasih. pesanan sudah sampai. bahan kaosnya cukup baik.,bintang 5,
"Produk bagus, kualitas sesuai harga..",bintang 5,
sesuai harga ya .. kalo mwo bagus ya harga bagus juga....,bintang 5,
bagus bahannya adem sangat puas,bintang 5,
hasil jahitan rapih,bintang 5,
"Pesan 2 kaos polo shirt, sudah ditaruh keterangan di notes rinciannya 1 pc hijau army size L dan 1 pc maroon size L.
Tapi yang dikirim dua2nya hijau army. Dichat tidak ad...",bintang 2,
"fast response, barang sesuai... mantap",bintang 5,
bagus cuman kurang tebal aja sih,bintang 5,
bahan gak tebel..... warna sih bagus.,bintang 5,
"barangnya diluar ekspetasi dengan harga semurah itu, mantaaap 👍. pertahanin kualitasnya yah 👍👍👍",bintang 5,
"Ukurannya pas, sampainya cepat",bintang 5,
pas & nyaman di pakai......trimssss,bintang 5,
barang sudah diterima sesuai dengan deskripsi,bintang 5,
Ukurannya pas Berat badan 71 - 80 kg,bintang 5,10 bulan lalu
Barangnya mantab dan pengiriman cepat. Terima kasih,bintang 5,
barang sesuai dengan deskripsi,bintang 5,
Bagus. Cepat sampai. Suka. Terima kasih,bintang 5,9 bulan lalu
Abang kurir loyalitas bgt sampe hampir tengah MLM paket masih dianterin,bintang 5,
"penjual tidak teliti memeriksa orderan . saya order warna biru benhur dikirimnya biru navy padahal kausnya untuk seragam msy dibalikin ribet, jadi kecewa",bintang 3,2 minggu lalu
"Ukurannya pas,bagus,trimakasih",bintang 5,
thanks bajunya bagus Ukurannya pas,bintang 5,
paket blom dibuka cmn lg mood bagus bintang 5 lah haha,bintang 5,
"barang sudah sampai dan sesuai pesanan, semoga awet dan bermanfaat, sukses selalu tokonya dan terima kasih",bintang 5,5 bulan lalu
okay sangat baik untuk harga sedemikian,bintang 5,
"ukuran M kecil, ukuran untuk anak2",bintang 2,
Ukurannya terlalu kecil,bintang 4,
kaos pas di badan,bintang 4,
warna lbh ke orange bukan kuning,bintang 3,
bahan bagus,bintang 5,
Ukurannya pas terimakasih banyak,bintang 5,
ukuran L nya kecil,bintang 3,
Barang yg dikirim sesuai penawaran,bintang 5,
bahannya ok,bintang 5,3 bulan lalu
"nyaman dipakai.
semoga awet",bintang 4,3 hari lalu
Terlalu tipis,bintang 2,
"Sesuai harapan, trm ksh",bintang 5,
pas semoga bahan adem,bintang 5,
Ada harga ada kualitas,bintang 3,
Ukurannya pas,bintang 5,11 bulan lalu
Ukurannya pas,bintang 5,11 bulan lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas...,bintang 5,
"Ukurannya pas
👍👍👍",bintang 5,
sesuai dgn deskripsi,bintang 5,
sesuai dengan deskripsi,bintang 5,
sesuai dengan deskripsi,bintang 5,
BRG ya bgs aku SK mksh kak,bintang 5,
Barang dan pengiriman OK,bintang 5,
Barang nya bagus,bintang 5,
,bintang 5,1 minggu lalu
sesuai dengan deskirpsi ...,bintang 5,
,bintang 5,
Pesen M dikirim L alhasil kegedean,bintang 1,
"Pas, mantap",bintang 5,
cuttingan kaos jelek,bintang 1,11 bulan lalu
fast respont,bintang 5,
terima kasih barang sudah sampai,bintang 5,
terima kasih brng sdh di terima dgn baik,bintang 5,
sesuai harga,bintang 4,
sesuai harga,bintang 4,
pesen lagi,bintang 5,
Bagus,bintang 5,
Recomended lah barangnya,bintang 5,
mantabs gan sesuai,bintang 5,10 bulan lalu
mantabs gan sesuai,bintang 5,11 bulan lalu
mantap,bintang 5,
ngepres,bintang 5,
ok good,bintang 5,
Terima kasih recommended,bintang 5,
ok,bintang 5,
Kaos bagus. Terima kasih,bintang 5,
okeeeeeee,bintang 5,
terima kasih,bintang 5,
terima kasih,bintang 5,
👍👍👍,bintang 5,
,bintang 1,
"bagus barangnya sesuai harga,,pasti jd langanan,,klu ada yg kerah buat anak bagus,",bintang 5,
👍✨,bintang 5,
