review,rating,date
"Bahan nya bagus , jahitannya rapi 🙏🏽🙏🏽
Beli buat doii hihii , next kayanya mau beli warna lain 😁🫶🏽",bintang 5,
"mantap, sesuai ekspektasi, bahan lembut dan enak dipakai",bintang 5,
Nyaman banget di pakai bahannya adem rekomen buat yang sering hangiut 💖💖💖😭,bintang 5,
"Ga lolos quality control nih, bolong di jaitan lengan bawah",bintang 2,
"BAD QC saku bolong,gk bs retur krn gk ada video unboxing",bintang 2,
Tinggi badan 160 - 170 cm Ukurannya terlalu kecil Berat badan 60 - 70 kg,bintang 5,11 bulan lalu
"bahannya bagus, pas juga
next beli lagi👍🏽🔥🔥",bintang 5,1 bulan lalu
"sebenernya barangnya udh sampai dari lama, cuma berhubung pacarku ultahnya kemarin, jadi baru dikasih ke dia kemarin. happy bangetttttt pacarku sukaaaa sekaliiiii katanya...",bintang 5,1 minggu lalu
"Baru dipakai sekali ritsleting langsung lepas, mengecewakan",bintang 1,11 bulan lalu
barang sdh nyampe.. sesuai pesann.. pengirman cepat kurir baik.. trmksih seller.. trmksih tokopedia,bintang 5,
"Tinggi 181 cm berat 87 cm pakai ambil XL ternyata agak kebesaran, kalau mau ambil yg fit mending size L.. untuk bahan oke, dalam nya halus",bintang 5,5 bulan lalu
Barang original bahan nya tebal mantaapp poll,bintang 5,4 hari lalu
bahannya tidak tebal tp tidak terlalu tipis juga. mungkin harga di bawah 160k lebih worthid.,bintang 4,
pesanan sesuai. packing rapih sweaternya bagus pas tinggi 165 bb 60.,bintang 5,9 bulan lalu
"Xl pas bgt buat yg 170an, bahannya nyaman hangat bgt, harga juga affordable. thanks kattoen.",bintang 5,6 bulan lalu
"Ukurannya pas, bahannya biasa aja.  Tinggi badan 160 - 170 cm Berat badan > 80 kg",bintang 5,
"ga ada cacat sama sekali, jahitan luar dalam ga ada komplain",bintang 5,8 bulan lalu
Halus bahannya,bintang 5,
"kayanya harus ada panduan cuci deh, soalnya pas dicuci rada luntur, dan rada kusut permukaannya",bintang 4,
"modelnya beda dari yang biasa, keren abis lah Ukurannya pas",bintang 5,
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5,
"tidak pernah mengecewakan. dari jaman kuliah 2012 di malang, tau brand kattoen, dan beli jaket, hoodie, kaos panjang pendek disini buat pacar yg udah jd suami. makasih se...",bintang 5,
"nyaman, bahan tebal Ukurannya pas",bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg,bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg,bintang 5,
bahan daleman jaketnya menempel di baju dan resleting nya rusak setelah 2 minggu pemakaian,bintang 2,bahan daleman jaketnya menempel di baju dan resleting nya rusak setelah 2 minggu pemakaian
Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,11 bulan lalu
secara keseluruhan suka banget sih,bintang 5,4 minggu lalu
mantap pokoknya modelnya,bintang 5,6 bulan lalu
barang bagus sesuai deskripsi,bintang 5,
Bahannn lembut,bintang 5,1 minggu lalu
"Barangnya oke, lembut, adem",bintang 5,
Size XL pas di TB 180 BB 65,bintang 5,1 minggu lalu
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Ukurannya pas,bintang 5,
Bagus premium,bintang 5,1 minggu lalu
"Mantap, sesuai pesanan",bintang 5,4 minggu lalu
,bintang 5,
Lebih dari yang diharapkan,bintang 5,3 minggu lalu
"Mantap, terimakasih",bintang 4,
Recomend,bintang 5,
Paket cepat sampai,bintang 5,1 minggu lalu
baguuussss kereeennnñn goks,bintang 5,2 bulan lalu
semoga pas,bintang 5,
,bintang 5,1 bulan lalu
