review,rating,date
"pengiriman cepat, respon pejual baik, bahan halus dan enak dipakai, tapi kurang quality control banyak sisa benang jahitan yg belum dirapihkan dan foto yg tertera /dipaja...",bintang 5,
bahan bagus tapi ukuran xxl pun masih kurang besar sedikit,bintang 5,8 bulan lalu
"Bahannya bagus, jahitan bagus, adem kalau dipakai, cepat diproses dan cepat tiba ditujuan. Terima kasih banyak Kak...",bintang 5,
"Packing plastik 2 lapis cukup aman, kemeja dilapisi furing, ukuran cocok dan enak dipakai, pengen beri * 9 utk kualitas barang 👌 dg harga yg terjangkau 👍 terimakasih ya...",bintang 5,9 bulan lalu
"Pembelian yang kedua, bahan adem, harga terjangkau dan cepat proses. Terima kasih banyak Kak...",bintang 5,
"Ini adalah pembelian saya yang ketiga, di Toko dan Model Baju dan Ukuran yang sama. Senang berbelanja di Toko ini, cepat respons dan cepat proses. Terima kasih banyak Kak...",bintang 5,
mantap barang sesuai Kainnya adem. Pas ukurannya.,bintang 5,
"bahan alus, warna saat di kamera sama dengan dilihat dengan mataa agak beda.. di kamera tampak lebih terang dan cerah. di kenyataannya soft nyaaa malah jatohnya jadi kusa...",bintang 4,
"barang model nya pas, bahannya berkualitas, nyaman dipakai. semoga barang awet dan bermanfaaat.",bintang 4,
"size nya sudah pas,cuma bagian ketiaknya pola jahitannya agak sempit,",bintang 4,4 bulan lalu
Barang oke harga oke pengiriman oke cuma warna beda sedikit dengan yang ada di gambar.,bintang 5,
"kemejanya bagus , kirimnya cepet bgt Ukurannya pas",bintang 5,
"jahitan rapi, dilapis furing, tp furing yg biasaaaa bgt, kain batiknya jg tipiiiiisss bgt, harga kemahalan",bintang 2,
baju ada bolong dilengan depan kanan,bintang 3,7 bulan lalu
"Motif bagus. Jahitan rapi. Bahan halus, nyaman dipakai.",bintang 5,
"Lebar lengan terlalu kecil dan panjang, tidak proporsionil.",bintang 5,10 bulan lalu
"banyak benang2 yg belum digunting, jadi terlihat quality controlnya kurang baik, padahal utk harga segitu hatusnya bisa lebih rapih",bintang 4,
Baju diterima dalam kondisi baik. Material bagus bahan halus.,bintang 5,2 minggu lalu
"bahannta bagus,cuma ada noda dikit di bajunya.",bintang 4,
"bagus, persis spt gambar, pakai furing jd rapi",bintang 5,
"Batik nya bagus, saran saya pilih ukuran 1 lever diatas yg biasa dipakai",bintang 5,
"..kualitas oke, jahitan rapi, pengiriman superrrr cepat,sabtu order,senin siang sampai,.",bintang 5,
warnanya tidak cerah,bintang 4,3 bulan lalu
semoga semakin baik melayani dan kualitas produknya,bintang 4,
"Ukurannya kurang pas untuk orang dg TB 176, cingkrang euy.. kain adem jaitan rapi.",bintang 5,
"Warna tidak sesuai di Pic, tdk soft tetapi berkesan kusam",bintang 4,
sesuai pesanan pengiriman cepat puas sama barang nya Pokok nya ok,bintang 5,4 minggu lalu
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg,bintang 5,
"terbaik ini, barang bagus, repeat order nih bakalan",bintang 5,1 bulan lalu
"ok ukuran pas, bahan haius Ukurannya pas",bintang 5,
Baju tdk proposional.. lengan kecil badannya besar.. sangat tidak nyaman untuk dipakai.,bintang 2,
batik nya bagus dan keren   rapi jahitan nya,bintang 5,
pelayannya bagus cepat dan kurirnya OK,bintang 5,
"barang ndan sesuai foto, warnanya kusam",bintang 3,
barang sdh diterima dlm kondisi bagus,bintang 5,
penjual mengganti dg yg tdk sesuai dg pesanan. juga warna tdk sesuai dg pesanan,bintang 1,1 bulan lalu
Ukurannya pas Tinggi badan < 160 cm,bintang 5,
keren dan santai Ukurannya pas,bintang 5,10 bulan lalu
Kainnya adem. Batiknya keren.,bintang 5,
"Warna tidak sesuai, lebih redup",bintang 1,
Ukurannya agak kekecilan,bintang 5,12 bulan lalu
pas nyaman di pakai,bintang 5,5 bulan lalu
pritntingnya kurang halus,bintang 3,
Good & nice quality,bintang 5,
barang sdh datang kualitas lumayanlah,bintang 4,
Ukurannya pas,bintang 5,
Ukurannya pas👍👍,bintang 5,
sipp,bintang 5,
ok,bintang 5,
cukup okee lah,bintang 5,
Terima kasih ya,bintang 5,
-,bintang 4,
👍👍👍🙏,bintang 5,
,bintang 1,
Kainnya adem. Motif batiknya ciamik. Pas ukurannya. Proses pesanan cepat. Respon penjualnya top.,bintang 5,
Batiknya keren Packaging aman 🙏,bintang 5,
jahitan halus dan bahan tidak mudah kusut,bintang 5,
Puas... terima kasih...,bintang 5,
Pas ukurannya. Nyaman dipakai 👍. Kainnya adem. Batiknya keren.,bintang 5,
Nyaman dipakai 👍.,bintang 4,
"jahitan rapih bagus bahannya. warna diphoto agak beda dg aslinya, but is oke Kainnya adem. Nyaman dipakai 👍.",bintang 5,
Batiknya keren. Nyaman dipakai 👍.,bintang 5,
Nyaman dipakai 👍. Pas ukurannya. Kainnya adem.,bintang 5,
Motif batiknya ciamik. Kainnya adem. Batiknya keren. Proses pesanan cepat. Penjualnya ramah banget. Packaging rapi. Pas ukurannya.,bintang 5,
"bagus, persis gambar dan ukuran jg sesuai dg yg diminta. pengiriman brg jg cepat. ok banget deh.",bintang 5,
Batiknya keren.,bintang 5,
cakepppp....,bintang 5,
bagus sesuai display,bintang 4,
Kainnya adem. Penjualnya ramah banget.,bintang 5,
Nyaman dipakai 👍.,bintang 5,
Kainnya adem. Batiknya keren. Motif batiknya ciamik. Nyaman dipakai 👍. Pas ukurannya. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top. Pen...,bintang 5,
