review,rating,date
"Bahannya adem dan lembut, jahitan masih bisa lebih diperbaiki lagi, bukan tipikal bahan yg tebal, sekedar saran di point lubang masuk utk lengan bisa agak diperbesar agak...",bintang 4,1 bulan lalu
"paket jaket sesuai dan bagus
packing rapih dan aman
seller quick response",bintang 5,2 bulan lalu
"sesuai deskripsi, nyaman dipakai, pengiriman ok.",bintang 5,1 bulan lalu
"Cocok jadi add on tuk baju, jadi Japanese Style. Bahan oke, jahitan rapi. BB TB 61 170 size M/L. Barakallah.",bintang 5,11 bulan lalu
"Sempet salah kirim warna lain, tapi Seller gercep kirim yg warna sesuai pesanan pke Gosend. Appreciate customer service nya Keren 👍🏻 Bahan ok. Semoga ada ukuran di atas...",bintang 4,1 bulan lalu
try on pertama good. next bakalan beli semua varian warna. buat daily ngantor oke,bintang 5,1 bulan lalu
"kualitas bahan bagus dan nyaman dipakai, terima kasih..",bintang 5,1 bulan lalu
"pengiriman cepat, packing ok, kualitas barang jg ok",bintang 4,1 bulan lalu
barang diterima dng baik dari pak kurir paket....modelnya keren...potongannya pas...kualitas diy Store...semoga awet. tks pak kurir tks seller tks tokped,bintang 5,1 bulan lalu
"Suka banget sama outernya, sesuai ekspetasi. Model kimono dan wrn green passs sesuai selera aku. Harga jg sesuai, ditunggu lagi model"" lain dan ini cocok jg utk femal...",bintang 4,2 bulan lalu
cakepp,bintang 5,1 bulan lalu
,bintang 3,2 bulan lalu
