review,rating,date
"Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok. 
Sesuai ekspektasi, puas",bintang 5,9 bulan lalu
"warnanya hitam pekat, Pas di badan Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
maaf foto & video ga sesuai, karna waktu review sdng di luar rumah",bintang 5,
Jaket kekinian yg hype abis. Ukurannya pas,bintang 5,
"mending beli ini aja udah.
tetep worth kok kalo di harga segini🔥🔥🔥🔥",bintang 5,6 bulan lalu
"Jaketnya bagus, bahannya tebal, warna pekat. Bagian button slit mungkin harus sedikit di perhatikan, karena masih ada sisa jahitan kelebihan. Overall memuaskan jaketnya!",bintang 5,
"Bahan tebal, ukuran sesuai perkiraan, belum dicoba buat aktifitas sih tapi kayaknya nyaman, pengemasan juga aman. Terima kasih!",bintang 5,
"modelnya keren, bahannya bagus, kainnya alus ga bikin gatel, warna sesuai, size sesuai. 
TB saya kira² 165 bb 55-60 (saya udh lama ga nimbang bb), saya pakai L agak kepan...",bintang 5,
"kualitas mantap, pengiriman cepat, bahan nyaman, size chart pas, nggak rugi nunggu lama restock, semoga awet 👌🏻",bintang 5,
"kualitas mantep banget, bisa tuker size krna yg dibeli kebesaran, dan direspon dgn baik oleh para adminnya, pertahankan kualitas dan pelayanannya yg keren ini",bintang 5,
"Barangnya bagus, kainya tebel, penjual responsif sekali, dan pengiriman cepat, ini udah yang ke-2 kalinya beli jaket di toko ini.. mantap pisaan..",bintang 5,
"Pengemasan cepat, packing aman. Pengiriman Sicepat mantul. Produk oke, sesuai pesanan. Cuma pas cek kantong depan sebelah kanan eh bolong. QC nya kelolosan nih",bintang 4,
"ukurannya pas, bahannya bagus, pengemasannya cepat. keren pokoknya",bintang 5,9 bulan lalu
"Modelnya keren, dipakenya pas di badan, bahannya juga enak di kulit kita. Recommended Seller pokoknya...",bintang 5,
"Kualitas bagus, ukurannya pas, packing rapi. pokoknya recomended. udah langganan",bintang 5,2 bulan lalu
"mantappp, cocok untuk tinggi 162cm, berat badan 60kg, di dalamnya ada kantong lagi, kualitas bahan oke, sesuai dengan harganya",bintang 5,6 bulan lalu
"bahan bagus, cuma lengannya kepanjangan buat aku, semoga awet",bintang 5,
"Ukurannya pas pake banget, Tinggi badan 160 - 170 cm, Berat badan 60 - 70 kg
Cakep banget dah, emang trusted livehaf, pembelian kedua , abis ini order yang warna lain lag...",bintang 5,
"Masukan aja ya, ini pembelian ke dua dengan item yang sama (beda warna, dan pembelian pertama dan kedua tidak sampai 1 bulan rentang waktunya), tapi pada pembelian kali i...",bintang 3,
recomended banget pokonya bahan bagus seller ramah sekali amanah banget mantap🤩 Tinggi badan 160 - 170 cm,bintang 5,
"sampenya cepet, fast respon, modelnya keren, untuk ukurannya pas sesuai rekomendasi dari tinggi dan berat badan",bintang 5,8 bulan lalu
"Respons cepat, barang bagus bahan tebal, pilihan warna semua bagus..
Mau juga yg light cream..",bintang 5,3 bulan lalu
"Bahannya bagus tebel, jahitan mantap nyaman juga dipakenya. Sesuai ekspestasilah. Mantap deh pokonya",bintang 5,
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,bintang 5,
Tebal berkualitas 👍. Modelnya stylish 😎. Desainnya kece. Bahannya bagus. Nyaman dipakai 👍. Ukurannya sesuai. Jahitannya top markotop. Penjualnya ramah banget. Proses p...,bintang 5,
"respon penjual bagus, bahannya kainnya bagus, pas baru sampai langsung dicoba pakai, nyaman banget, ukuran sesuai dgn bb 😁. best deh pokoknya",bintang 5,
"pengiriman si cepat mending hapus aja, 2 hari lebih ngendok di tempat sortir terakhir",bintang 5,"pengiriman si cepat mending hapus aja, 2 hari lebih ngendok di tempat sortir terakhir"
"Beli ukuran XL, di deskripsi LD 59 cm, ternyata cuma 55 cm, kayak yg L. Di kerah labelnya XL. Pantesan ngatung dan di lengan sempit. Jadinya ga bisa dipakai. 
Bahan, jahi...",bintang 2,
"Ukurannya pas
Bagus banget, adem, dan mantap.
Saku nya banyak.
Bisa beli lagi, warna lain
Cuman pengirimannya, lambat banget.
(saran saja, ditambah opsi untuk pengiriman)...",bintang 5,
"Modelnya keren, ukuran pas di badan, bahan kain enak dipakai",bintang 5,
"pas untuk uk dibadan, cuma menurutku bagian lengan terlalu press (masi ada space ±2cm)",bintang 4,4 bulan lalu
Bahan dan kualitas bagus. Recommended 👍,bintang 5,
"modelnya udah pasti kece. bahan tebal, adem, nyaman dipakai.",bintang 5,
"pengiriman cepat, bahan OK dan kualitas bagus",bintang 5,5 bulan lalu
mantap sesuai ekspektasi. bahan oke banget,bintang 5,
"Lebar pas, cuma panjang lebgan krg panjang sedikit 😃
Overall produk keren",bintang 5,
"Enak sih bahannya adem, cocok lah, ngepas di gua, keren pokoknya",bintang 5,
"Tebal berkualitas, Modelnya stylish, Packaging aman , Proses pesanan cepat. Top deh",bintang 5,
"Keren modelnya, cm rada sedikit kebesaran atau emang modelnya",bintang 5,
"Kualitas oke, fabric tebal, jahitan bagus! 
Selalu puas belanja disini. Next bakal order lagi. 

Thanks",bintang 5,9 bulan lalu
"Pengemasan dan pengiriman cepat, produk sesuai ukuran, terimakasih semoga awet dan gak luntur",bintang 5,
"keren kirain bakal kegedean ternyata pas, suka banget sama livehaf",bintang 5,
Barang sesuai deskripsi pengiriman cepat toko recomded puas beli disini,bintang 5,3 bulan lalu
udah nyampe...packing rapih...semoga awet...ro ke sekian kali...model ok...bahan ok... potongan dan jahitan ok. tks seller tks pak kurir tks tokped,bintang 5,2 bulan lalu
"overall good 👍👍👍👍 kayanya klo ukuran XL lebih mantep lagi dipake nya.

 Tinggi badan 160 - 170 cm Berat badan > 80 kg",bintang 5,
